ID,Name,Moksha,Source,Example,Comment
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT035,Is there reflexive conjugation?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"There is no reflexive conjugation, there is only the passive/reflexive marker v, e.g. käd'-ǝn-za tapa-v-s't' (hand-PL-POSS.3SG break-PASS-PST1.3PL) 'his/her hands got broken'"
UT036,Are there syntactically ditransitive verbs?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"However, verbs like 'feed' and 'give drink' can take two objects, one in the ablative and the other one in the nominative/genitive, e.g. andǝ-maz' jam-da (feed-3PL>1SG porridge-ABL) 'They fed me with porridge'."
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"In Moksha, 2nd and 3rd person plural is always distinguished: kunda-samas't' (catch-PRS.2PL>1SG/1PL) 'you catch me/us' and kunda-samaz' (catch-PRS.3PL>1SG/1PL) 'they catch me/us'."
UT038,Can an impersonal (or passive) form be used instead of a finite plural form with an overt subject expression?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT039,Can third person plural verb forms be used for impersonal reference?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT039,
UT040,Can second person singular verb forms be used in generic meaning?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT040,
UT042,Are clauses with only infinitive predicates possible?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT042,
UT043,Can verbs in purposive subordinate clauses be in bare infinitive form?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT043,
UT044,Are there sentences without overt verbal arguments (e.g. weather verbs)?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT044,
UT045,Is copula needed for predicate nominals in the 3rd person form of the present tense?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,The copula is covert: son mokšа (3SG.NOM Moksha) 's/he is a Moksha'.
UT046,Is a copula needed for predicate nominals in the past and/or future tense?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT046,"The copula in the present tense has future reference.  In the past tense, it is possible to use the copula with predicate nominals, but predicate nominals can also be conjugated in the second past tense: Mar'a stir'-ks mazije-l' (Mary girl-TRA beautiful-PST2.3SG) Mary was beautiful as a girl."
UT047,Can locative adverbial phrases act as predicates without a copula?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT047,In other persons the locative adverbial gets verbal endings: Mon kud-s-an (1SG house-INE-1SG) 'I am at home'.
UT048,"Can the same coordinating conjunction be used for NPs, VPs, and clauses?",0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"It is possible to use the same coordinating conjunction in all cases, though with nouns different types of coordinating is also possible: t'äd'ä-t-s't'iR'-t' (mother-PL.NOM-girl-PL.NOM) 'mothers and daughters'."
UT049,Does existential negation have a separate operator?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT049-1, UT049-2","In existential sentences, the negation particle aš is used. In other sentences, the negation particle af is used in the present tense and the negation verb iz'- or aš- (which conjugates according to person) in the past tense."
UT050,Can standard negation be asymmetric in the present tense?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"In the present tense, negation is symmetric, e.g. koRt-an : af koRt-an (speak-PRS.1SG : NEG speak-PRS.1SG) 'I speak : I don't speak'."
UT051,Can non-finite dependent clauses use the standard negation construction?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT051,
UT052,Is there a special negator that combines with non-finite forms?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT052,"Participle and gerund forms are negated with the negative construction apak + connegative (in Moksha the connegative with the participle apak ends in k, similar to the imperative of the 2nd person singular), instead of other constructions used with finite verbs."
UT053,Are there special negative non-finite forms?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT054,Is there an impersonal passive construction?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT055,"Are there nonfinite forms specialized on the relativization of particular core participants, e.g. subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT055,
UT056,"Are there nonfinite forms that can relativize at least all core participants (S/A/P) and possibly also some noncore participants, e.g. locative adverbials, instruments, etc.?",1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT056,See also UT055.
UT057,"Are there nonfinite forms that can relativize at least some noncore participants, e.g. locative adverbials or instruments, but cannot relativize all or some of the core participants, e.g. subjects?",0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negation marker?",0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT059,Is there a future participle?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT060,Are there participles that can encode their subject by possessive suffixes?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT060,
UT061,Can subject in at least some participial subordinate clauses be encoded in the same way as in independent clauses?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT062,Are there participles that obligatorily agree with the nouns they modify in case and number (in all contexts)?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT063,Are there nonfinite forms that can be used both as participles and action nominalizations?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT063-1, UT063-2",
UT064,Are there nonfinite forms that can be used both as participles and agentive nominalizations?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT064-1, UT064-2",
UT065,"Are there nonfinite forms that can be used both as participles and converbs without any additional morphological material, such as case markers?",1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"The past participle and the gerund are syncretic only in the negated forms. In affirmative forms, there are different endings for the past participle and the gerund."
UT066,Is OV the neutral order in affirmative imperative clauses?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,saJ-t' mar' (take-IMP.2SG apple) 'Take an apple'.
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT067,"It is possible to place an object between the negative marker and the main verb, but it is not very common. "
UT068,Are there preverbs?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT069,Are there verbal prefixes?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT071,Can modifiers of action nominalization in agent and patient roles both be encoded like possessors?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT071,
UT072,"Can the modifier of action nominalization in patient role (e.g. ""drinking of coffee"") be encoded like the direct object?",1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT072,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT073-1, UT073-2",
UT074,Is it possible to form synthetic superlative?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT075,Can adpositions have person/number marking?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT075,
UT076,"Are there separate adpositions to express goal, source, and location (without there being syncretism)?",1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT076,
UT077,Is case compounding possible?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT077,
UT078,Are there case categories only found in pronouns?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,It is possible to use either the nominative or the ablative with numerals.
UT080,Is the singular form of the noun also used with numerals bigger than 1?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT080-1, UT080-2",Both the singular and the plural is possible with numerals bigger than 1. 
UT081,Is there a genitive case that has an affix?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT081,
UT082,Is there a case used to express indirect object/receiver/goal (different from a local case)?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT082,
UT083,Is there a terminative case?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT084,Is there a separate case to indicate without what/who an action takes place / does not take place?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT084,"The abessive can be used as a case-ending or in an adnominal function as an adjective. The latter function might be more frequent. Therefore, the abessive is not considered as a case-ending in most of the grammars."
UT085,Is there a separate case to mark the motion along or by the referent of the noun (prolative)?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT085,
UT086,Is there a locative case that marks goal?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT086,
UT087,Is there a locative case that marks location?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT087,
UT088,Is there a locative case that marks source?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT088,
UT089,Is there case syncretism of goal and location marking?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT090,Is there case syncretism of location and source marking?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT091,Are there two sets of local cases?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT092,Is there a third set of local cases?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT093,Is there a separate case for marking the means by which something is carried out (instrumental) and/or accompaniement (comitative)?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,The inessive -sa expresses the instrumental as well: mašina-sa (car-INE) 'with a car'.
UT094,"Is there a separate case for marking accompaniment, which is different from the instrumental?",0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT095,Is there a separate case for marking the result of change (translative) and/or a state of being (essive)?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT095,
UT096,"Is there a separate case for marking the state of being (essive), which is different from the translative?",0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT097,Is there a separate morphological marker for expressing equative meaning?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT097,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,The dative is used (see UT082).
UT099,Is there in addition to the basic declension a declension different from a possessive declension? ,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT099,"Moksha has three declension types: basic declension, definite declension (expresses that the referent of the noun is known to the speaker and the listener) and the possessive declension."
UT100,Is it possible to use singular with paired body parts/clothing/accessories that accompany them?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT101,Can the marking of the possessor in the attributive construction vary?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT103,Is non-singular possession marked in the possessive declension?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT103,
UT104,Can 2Sg possessive suffix be used to mark definiteness?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT105,Can 3Sg possessive suffix be used to mark definiteness?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT105,"The 3SG possessive suffix can be used instead of the definite declension with some unique nouns, however, this use is restricted."
UT106,Is there human vs. non-human distinction distinction in independent interrogative pronouns?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT107,"When used as a relative pronoun, is it common to use 'who' for animates other than humans?",0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"The pronoun kijä 'who' is not used frequently, but the kona 'who, that, which' is used instead. It appears with animates: loman'-c'/buka-s', kona sa-s' c'ej (person-DEF.NOM/ox-DEF.NOM that come-PST1.3SG here) 'The person/ox that came here' as well as with inanimates valks-s', kona lis'-s' mel'ä (dictionary-DEF.NOM which come.out-PST1.3SG) 'the dictionary that came out last year'."
UT108,"When used as a relative pronoun, is it common to use 'who' for inanimates?",0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"Kona 'who, that, which' is used with both animates and inanimates (see UT107)."
UT109,Can a demonstrative stem be used in the function of a pronoun with 3rd person singular human referent?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT109,
UT110,Are there possessive suffixes whose position in relation to case/number suffixes can vary? ,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT110-1, UT110-2","The possessive suffixes usually follow the case suffixes, except for the genitive and dative, which precede the possessive suffixes."
UT111,Is the order of number and case suffixes fixed across the paradigm the same?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT111,"Plural marking is used in the basic declension only in the nominative. In other cases, the singular and the plural is distinguished only in the definite declension. The singular is unmarked, whereas in the plural the plural suffix t : t' (sometimes just the voicelessness of the previous consonant) follows the noun, and it is followed by the definiteness marker and the case ending."
UT112,Are there different words for mother’s brother and father’s brother?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT112-1, UT112-2",
UT113,Are there different words for younger and older relative for other relations than siblings?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT113-1, UT113-2, UT113-3",
UT114,Is there animacy distinction for both concepts 'new/young' and 'old'?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"There is only distinction for 'old', i.e. tašta 'old (inanimate)', s'ir'ä 'old (animate)'."
UT115,Is there distinction for both 'warm' and 'cold' based on whether referring to weather or to temperature of objects?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"There is only distinction for cold: kel'mä ved' 'cold water', ušǝ-sa jakšama (outside-INE cold) 'it is cold outdoors'."
UT116,Is there contrastive length of consonants?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT117,Is there contrastive length of vowels?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT118,Is there contrast between short and long unstressed vowels?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT119,Is there contrast in duration of geminate consonants?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT120,Are there more than two phonological quantities?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT121,Are there extralong syllables?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT122,Is the main foot structure trochaic?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,See UT125.
UT123,Is there lexically distinctive word stress?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT124,Is there morphologically conditioned stress?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"The variants of the emphatic particle (clitic), -ga, -ge, -ka, -ke, -vok, -nga 'even, too': mon-ga 'me, too' tend to have primary or secondary stress."
UT125,Is there fixed primary stress?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"The first syllable tends to be stressed if the word is uttered as a dictionary item; in speech, mostly disyllabic feet with a stressed and unstressed syllable alternate: MOn sǝrxk-An insAru. - Mon sƏrxk-an InsarU 'I will go to Insar'."
UT126,Is there stress in heavy syllables?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT127,Is there non-initial primary stress?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"A tendency to stress the non-first syllable is noticeable in words with the high vowels i, u in the first syllable and the low vowels a, ä in a non-first syllable: śijÄ 'silver', kujA 'fat'. However, rhythmic initial-syllable stress functions in these words as well."
UT128,Is there palatal vowel harmony?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT128,
UT129,Is there velar vowel harmony?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT129,
UT130,Is there labial vowel harmony?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT131,Are there rising diphthongs?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT132,Are there lowering diphthongs?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT133,Is there qualitative contrast between subsets of short and long vowels?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT135,Is there front high rounded vowel ü [y]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT136,Is there front midhigh rounded vowel ö [ø]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT137,Is there back high unrounded vowel ï [ɯ]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT138,Is there back midhigh unrounded vowel ë [ɤ]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT139,Is there back low round vowel [ɒ]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT140,Is there contrast between low and mid front vowels (ä [æ] vs. e [e])?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT140,
UT141,Are there word-initial consonant clusters?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT141,
UT142,Are there word-internal consonant clusters in syllable onset?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT142,
UT143,Are there consonant clusters in syllable coda?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT143,
UT144,Are there clusters of three or more consonants in a word between vowels?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT144,
UT145,Are there word-final clusters of three or more consonants?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT145,
UT146,Are there palatalized dentals?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT146,
UT147,Are there palatalized labials and velars?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,"Before front vowels, labials and velars may be palatalized: ve 'night' > v'e, kev 'stone' > k'ev'."
UT148,Is there palatal stop [c]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT149,Is there palatal nasal [ɲ]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT150,Is there palatal lateral [ʎ]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT151,Is there phonemic velar nasal [ŋ]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT152,Is there dental affricate [t͡s]?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT152,
UT153,"Is there non-alveolar affricate (e.g. [t͡ʃ], [͡cɕ])?",1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT153,
UT154,Is there a phonological contrast between [s] and postalveolar sibilant [ʃ]?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),"UT154-1, UT154-2",
UT155,"Are there voiced plosives [b, g, d]?",1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT155,
UT156,Is there glottal stop [ˀ]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT157,Is there phonological contrast between plain and labial velar consonants (e.g. [k] vs. [kʷ])?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT158,Is there a constraint on word-initial r?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT159,Is there laryngeal fricative [h]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT160,Is there voiced velar fricative [ɣ]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT161,Is there voiceless velar fricative [x]?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT162,Is there voiced dental fricative [ð]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT163,Is there phonemic labio-velar approximant [w]?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT164,Is there voiceless labiodental fricative [f]?,1,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),UT164,
UT165,Is there radical qualitative consonant gradation?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
UT166,Is there quantitative consonant gradation?,0,Niina Aasmäe (p.c. 2020); Mariann Bernhardt (p.c. 2022),,
