ID,Name,Võro.South.Estonian,Source,Example,Comment
UT017,Is there a grammatical device for frequentative?,1,Sulev Iva,joosisk-õlõ-s;run-FRQ-3SG;s/he is running around;,
UT018,Is there a grammatical device for progressivity?,0,Sulev Iva,,Examples of 'be' + supine inessive are possible but infrequent.
UT019,Is it common to use a verb in the present tense for future time reference?,1,Sulev Iva,Nä lääväq puulpäävä sanna;3PL go-3PL Saturday sauna.ILL;They'll go to the sauna on Saturday;,
UT020,Is there a grammatical device for immediate future?,1,Sulev Iva,ma olõ liina mine-mä-h;1SG be[1SG] town.ILL go-SUP-INE;I'm about to go to town;,
UT021,Is there a grammatical device for pluperfect?,1,Sulev Iva,ma oll-i ten-nüq;1SG be-PST[1SG] do-ACT.PST.PTCP;I had done;,
UT022,Can aspect be expressed overtly on the negative marker?,0,Sulev Iva,,
UT023,Can tense be expressed overtly on the negative marker?,1,Sulev Iva,ma es tulõq;1SG NEG.PST come.CNG;I didn't come;,
UT024,Is there grammatical marking of mirativity?,0,Sulev Iva,,
UT025,Is there morphological marking on the verb dedicated to the expression of desire or wish?,0,Sulev Iva,,
UT026,Is there morphological marking for irrealis (e.g. hypothetical state of affairs)?,1,Sulev Iva,"ku ma saa-siq, ma elä-siq mõtsa-n;if 1SG get-COND 1SG live-COND forest-INE;If I could, I would live in the forest;",
UT027,Are verbs marked in a specific mood in counterfactual conditional clauses?,1,Sulev Iva,"ku ma saa-siq, ma elä-siq mõtsa-n;if 1SG get-COND 1SG live-COND forest-INE;If I could, I would live in the forest;",
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Sulev Iva,,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,Sulev Iva,tä ol-nõs;3SG be-POT.3SG;S/he would probably be;,More common in older language.
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Sulev Iva,,
UT031,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 3Sg?,1,Sulev Iva,tä tul-kuq;3SG come-JUSS;Let him/her come;,
UT032,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 1Sg?,1,Sulev Iva,ma te-kuq kõik tüü-q ärq;1SG do-JUSS all work-PL PFV;(S/he said that) I should do all the work;,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Sulev Iva,,"Typically, the conditional mood is used."
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Sulev Iva,,
UT035,Is there reflexive conjugation?,0,Sulev Iva,,"There are only some rudiments, e.g. tä hiit kivi järve (3SG throw.3SG stone.GEN lake.ILL) 's/he will throw the stone into the lake' vs. tä hiitäs pikäle (3SG throw.REFL.3SG down) 's/he lies down'."
UT036,Are there syntactically ditransitive verbs?,0,Sulev Iva,,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Sulev Iva,,
UT038,Can an impersonal (or passive) form be used instead of a finite plural form with an overt subject expression?,0,Sulev Iva,,
UT039,Can third person plural verb forms be used for impersonal reference?,1,Sulev Iva,Mis sääl tetäs? - Juusk-vaq;what there do.IPS.PRS - run-3PL;What is being done there? - (They are) running;,
UT040,Can second person singular verb forms be used in generic meaning?,1,Sulev Iva,mis sa hädä-gaq tii-t;what you trouble-COM do-2SG;What to do when one is in trouble;,
UT042,Are clauses with only infinitive predicates possible?,0,Sulev Iva,,
UT043,Can verbs in purposive subordinate clauses be in bare infinitive form?,1,Sulev Iva,Ma lää et oppi-q võro kiil-t;1SG go[1SG] that study-INF Võro language-PRT;I am going in order to study the Võro language;,
UT044,Are there sentences without overt verbal arguments (e.g. weather verbs)?,1,Sulev Iva,Sata-s;rain-3SG;It is raining;,
UT045,Is copula needed for predicate nominals in the 3rd person form of the present tense?,1,Sulev Iva,tä om oppaja;3SG be.3SG teacher;S/he is a teacher;,
UT046,Is a copula needed for predicate nominals in the past and/or future tense?,1,Sulev Iva,tä oll´ oppaja;3SG be.PST.3SG teacher;S/he is a teacher;,
UT047,Can locative adverbial phrases act as predicates without a copula?,0,Sulev Iva,,"It is common to use a copula, e.g. ma olõ väläh (1SG be[1SG] outside) 'I am outside'. While playing a card game one could also say ma väläh (1SG out) 'I'm out’."
UT048,"Can the same coordinating conjunction be used for NPs, VPs, and clauses?",1,Sulev Iva,kass ja pini;cat and dog;a cat and a dog;|saa-t ja anna-t;get-2SG and give-2SG;you get and give;,
UT049,Does existential negation have a separate operator?,0,Sulev Iva,,
UT050,Can standard negation be asymmetric in the present tense?,1,Sulev Iva,ma loe : ma ei loeq;1SG read[1SG] :  1SG NEG read.CNG;I read : I don’t read;,
UT051,Can non-finite dependent clauses use the standard negation construction?,0,Sulev Iva,,
UT052,Is there a special negator that combines with non-finite forms?,0,Sulev Iva,,
UT053,Are there special negative non-finite forms?,1,Sulev Iva,tege-mä-ldäq tüü;do-SUP-ABE work;undone work;,
UT054,Is there an impersonal passive construction?,1,Sulev Iva,Mei-l ele-täs häste;1PL-ADE live-IPS.PRS well;People live well here;,
UT055,"Are there nonfinite forms specialized on the relativization of particular core participants, e.g. subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Sulev Iva,loe-t raamat;read-ACT.PST.PTCP book;a book that has been read;,
UT056,"Are there nonfinite forms that can relativize at least all core participants (S/A/P) and possibly also some noncore participants, e.g. locative adverbials, instruments, etc.?",0,Sulev Iva,,
UT057,"Are there nonfinite forms that can relativize at least some noncore participants, e.g. locative adverbials or instruments, but cannot relativize all or some of the core participants, e.g. subjects?",0,Sulev Iva,,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negation marker?",0,Sulev Iva,,
UT059,Is there a future participle?,0,Sulev Iva,,
UT060,Are there participles that can encode their subject by possessive suffixes?,0,Sulev Iva,,
UT061,Can subject in at least some participial subordinate clauses be encoded in the same way as in independent clauses?,0,Sulev Iva,,
UT062,Are there participles that obligatorily agree with the nouns they modify in case and number (in all contexts)?,1,Sulev Iva,juusk-v-i-l poisõ-l om rahha;run-ACT.PRS.PTCP-PL-ADE boy.PL-ADE be.3SG money.PRT;running boys have money;,
UT063,Are there nonfinite forms that can be used both as participles and action nominalizations?,0,Sulev Iva,,
UT064,Are there nonfinite forms that can be used both as participles and agentive nominalizations?,1,Sulev Iva,juusk-ja poiss;run-AG.NMLZ boy;a running boy (lit. 'a runner boy');,
UT065,"Are there nonfinite forms that can be used both as participles and converbs without any additional morphological material, such as case markers?",0,Sulev Iva,,
UT066,Is OV the neutral order in affirmative imperative clauses?,0,Sulev Iva,juu-q tsäi-d;drink-IMP.2SG tea-PRT;Drink tea!;,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,1,Sulev Iva,ärq tsäi-d jooguq;NEG.IMP.2SG tea-PRT drink.CNG;Don't drink tea!;,It is also possible to use joogu-i / ärq jooguq tsäi-d (drink.IMP.2SG-NEG / NEG.IMP.2SG drink.CNG tea-PRT) 'Don't drink tea!'.
UT068,Are there preverbs?,0,Sulev Iva,,
UT069,Are there verbal prefixes?,0,Sulev Iva,,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Sulev Iva,,"The suffix may be attached only to the nominal form, e.g. käü-mise-kene (go-NMLZ-DIM) 'going'."
UT071,Can modifiers of action nominalization in agent and patient roles both be encoded like possessors?,1,Sulev Iva,poisi mõsk-minõ;boy.GEN wash-NMLZ;washing of the boy / washing the boy;|poisi tarõ;boy.GEN room;the boy's room;,
UT072,"Can the modifier of action nominalization in patient role (e.g. ""drinking of coffee"") be encoded like the direct object?",1,Sulev Iva,leevä küdsä-mine;bread.GEN bake-NMLZ;bread baking;|küdsä leevä;bake[1SG] bread.GEN;I will bake a bread;,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Sulev Iva,poisi-q omma-q pikä-q;boy-PL be-3PL tall-PL;The boys are tall;,
UT074,Is it possible to form synthetic superlative?,0,Sulev Iva,,
UT075,Can adpositions have person/number marking?,0,Sulev Iva,,
UT076,"Are there separate adpositions to express goal, source, and location (without there being syncretism)?",1,Sulev Iva,"järve lähkü-he : järve lähkü-h, järve lähkü-st;lake.GEN near-ILL : lake.GEN near-INE : lake.GEN near-ELA;(to) near the lake : near the lake : from near the lake;",
UT077,Is case compounding possible?,0,Sulev Iva,,
UT078,Are there case categories only found in pronouns?,0,Sulev Iva,,
UT079,Does the numeral modification of a noun have an effect on its case selection?,1,Sulev Iva,üts tütrik : kats tütrikku;one.NOM.SG girl.NOM.SG : two.NOM.SG girl.PRT.SG;one girl : two girls;,
UT080,Is the singular form of the noun also used with numerals bigger than 1?,1,Sulev Iva,üts tütrik : kats tütrikku;one.NOM.SG girl.NOM.SG : two.NOM.SG girl.PRT.SG;one girl : two girls;,
UT081,Is there a genitive case that has an affix?,0,Sulev Iva,,"There is no genitive affix, e.g. poisi tarõ (boy.GEN house) 'the boy's house'."
UT082,Is there a case used to express indirect object/receiver/goal (different from a local case)?,0,Sulev Iva,,
UT083,Is there a terminative case?,1,Sulev Iva,suurõ(-ni) mõtsa-ni;big.GEN(-TERM) forest-TERM;until the big forest;,
UT084,Is there a separate case to indicate without what/who an action takes place / does not take place?,1,Sulev Iva,suurõ mõtsa-ldaq;big.GEN forest-ABE;without the big forest;,
UT085,Is there a separate case to mark the motion along or by the referent of the noun (prolative)?,0,Iva 2007,,Forms like netilde 'via internet' are regarded as adverbs.
UT086,Is there a locative case that marks goal?,1,Sulev Iva,,
UT087,Is there a locative case that marks location?,1,Sulev Iva,,
UT088,Is there a locative case that marks source?,1,Sulev Iva,,
UT089,Is there case syncretism of goal and location marking?,0,Sulev Iva,,
UT090,Is there case syncretism of location and source marking?,0,Sulev Iva,,
UT091,Are there two sets of local cases?,1,Sulev Iva,,
UT092,Is there a third set of local cases?,0,Sulev Iva,,Other local relations are expressed by postpositions.
UT093,Is there a separate case for marking the means by which something is carried out (instrumental) and/or accompaniement (comitative)?,1,Sulev Iva,lätsi latsi-gaq kinno;go.PST[1SG] children-COM cinema.ILL;I went to the cinema with children;|sõidi auto-gaq;drive.PST[1SG] car-COM;I was driving the car;,
UT094,"Is there a separate case for marking accompaniment, which is different from the instrumental?",0,Sulev Iva,,
UT095,Is there a separate case for marking the result of change (translative) and/or a state of being (essive)?,1,Sulev Iva,Tä sa-i oppaja-s;3SG get-PST.3SG teacher-TRA;S/he became a teacher;,
UT096,"Is there a separate case for marking the state of being (essive), which is different from the translative?",0,Sulev Iva,,"The inessive case is used, e.g. tä om Talna-h ministrih (3SG be.3SG Tallinn-INE minister-INE) 'S/he is a minster in Tallinn'."
UT097,Is there a separate morphological marker for expressing equative meaning?,0,Sulev Iva,,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Sulev Iva,,
UT099,Is there in addition to the basic declension a declension different from a possessive declension? ,0,Sulev Iva,,
UT100,Is it possible to use singular with paired body parts/clothing/accessories that accompany them?,0,Sulev Iva,,
UT101,Can the marking of the possessor in the attributive construction vary?,0,Sulev Iva,,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,Sulev Iva,,
UT103,Is non-singular possession marked in the possessive declension?,0,Sulev Iva,,
UT104,Can 2Sg possessive suffix be used to mark definiteness?,0,Sulev Iva,,
UT105,Can 3Sg possessive suffix be used to mark definiteness?,0,Sulev Iva,,
UT106,Is there human vs. non-human distinction distinction in independent interrogative pronouns?,1,Sulev Iva,kiä;;who;|miä;;what;,
UT107,"When used as a relative pronoun, is it common to use 'who' for animates other than humans?",1,Sulev Iva,"kass, kiä tulõ;cat who come.3SG;The cat, which is coming;",
UT108,"When used as a relative pronoun, is it common to use 'who' for inanimates?",1,Sulev Iva,"Moodori man om kolb, kiä moodori-t edesi aja;engine.GEN by be.3SG piston who engine-PRT further drive;By the motor there is a piston, which makes the engine go further;",
UT109,Can a demonstrative stem be used in the function of a pronoun with 3rd person singular human referent?,1,Sulev Iva,Tuu tull täämbä sinnä;that come.PST.3SG today there;S/he (lit. that) came there today;,
UT110,Are there possessive suffixes whose position in relation to case/number suffixes can vary? ,0,Sulev Iva,,
UT111,Is the order of number and case suffixes fixed across the paradigm the same?,1,Sulev Iva,lavvo-lõ;table.PL-ALL;onto the tables;,
UT112,Are there different words for mother’s brother and father’s brother?,1,Sulev Iva,uno;;mother's brother;|lell;;father's brother;,
UT113,Are there different words for younger and older relative for other relations than siblings?,0,Sulev Iva,,
UT114,Is there animacy distinction for both concepts 'new/young' and 'old'?,0,Sulev Iva,,"Only nuur 'young' and vahtsõnõ 'new' differ, not vana 'old'."
UT115,Is there distinction for both 'warm' and 'cold' based on whether referring to weather or to temperature of objects?,0,Sulev Iva,,
UT116,Is there contrastive length of consonants?,1,Eva Saar,varas [ˈva.ras] 'thief' vs. varras [ˈvar.ras] 'rod; stick',
UT117,Is there contrastive length of vowels?,1,Eva Saar,tuli [ˈtu.lʲiˑ] ‘fire’ vs. tuuli [ˈtuːː.lʲi]  wind.PRT.PL,
UT118,Is there contrast between short and long unstressed vowels?,0,Eva Saar,,
UT119,Is there contrast in duration of geminate consonants?,1,Eva Saar,häpü [ˈhæp.py] shame.PRT.SG vs. häppü [ˈhæpː.py] shame.ILL.SG,
UT120,Are there more than two phonological quantities?,1,Eva Saar,silmä [ˈsil.mæ] eye.GEN.SG vs. silmä [ˈsilː.mæ] eye.PRT.SG,
UT121,Are there extralong syllables?,1,Eva Saar,juuskma [ˈjuːːsʲkʲ.ma] run.SUP,
UT122,Is the main foot structure trochaic?,1,Eva Saar,kana [ˈka.naˑ] ’hen’,
UT123,Is there lexically distinctive word stress?,0,Eva Saar,,
UT124,Is there morphologically conditioned stress?,1,Eva Saar,juuskminõ [ˈjuːːsʲkʲˌmi.nɤ] 'running',
UT125,Is there fixed primary stress?,1,Eva Saar,kana [ˈka.naˑ] ’hen’,
UT126,Is there stress in heavy syllables?,0,Eva Saar,,
UT127,Is there non-initial primary stress?,0,Eva Saar,,
UT128,Is there palatal vowel harmony?,1,Eva Saar,väsünüq [ˈvæ.sy.nyˀ] 'tired',
UT129,Is there velar vowel harmony?,1,Eva Saar,kynõlõs [ˈkɯ.nɤ.lɤs] speak.PRS.3SG,
UT130,Is there labial vowel harmony?,0,Eva Saar,,
UT131,Are there rising diphthongs?,1,Eva Saar,"laul [lauːl] 'song, singing'",
UT132,Are there lowering diphthongs?,1,Eva Saar,ua [ˈuaː] bean.GEN,
UT133,Is there qualitative contrast between subsets of short and long vowels?,0,Eva Saar,,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Eva Saar,,
UT135,Is there front high rounded vowel ü [y]?,1,Eva Saar,külä [ˈky.læˑ] 'village',
UT136,Is there front midhigh rounded vowel ö [ø]?,1,Eva Saar,köögis [ˈkøː.kis] kitchen.ILL.SG,
UT137,Is there back high unrounded vowel ï [ɯ]?,1,Eva Saar,sysar [ˈsɯ.sar] ‘sister’,
UT138,Is there back midhigh unrounded vowel ë [ɤ]?,1,Eva Saar,kynõlõs [ˈkɯ.nɤ.lɤs] speak.PRS.3SG,
UT139,Is there back low round vowel [ɒ]?,0,Eva Saar,,
UT140,Is there contrast between low and mid front vowels (ä [æ] vs. e [e])?,1,Eva Saar,kärre [ˈkær.reˑ]  'severe' vs. kere [ˈke.re ˑ] 'body',
UT141,Are there word-initial consonant clusters?,1,Eva Saar,klaas [ˈklaːːsʲ] 'glass',
UT142,Are there word-internal consonant clusters in syllable onset?,0,Eva Saar,,
UT143,Are there consonant clusters in syllable coda?,1,Eva Saar,pürsti [ˈpyrʲsʲ.tʲi] brush.GEN,
UT144,Are there clusters of three or more consonants in a word between vowels?,1,Eva Saar,pürsti [ˈpyrʲsʲ.tʲi] brush.GEN,
UT145,Are there word-final clusters of three or more consonants?,1,Eva Saar,pürst [pyrʲsʲtʲ] 'brush',
UT146,Are there palatalized dentals?,1,Eva Saar,pal´as [ˈpa.lʲas] 'naked' ,
UT147,Are there palatalized labials and velars?,1,Eva Saar,"kamm´ [ˈkamʲː] 'comb', kapp [ˈkapʲː] 'cupboard'",
UT148,Is there palatal stop [c]?,0,Eva Saar,,
UT149,Is there palatal nasal [ɲ]?,0,Eva Saar,,
UT150,Is there palatal lateral [ʎ]?,0,Eva Saar,,
UT151,Is there phonemic velar nasal [ŋ]?,0,Eva Saar,,
UT152,Is there dental affricate [t͡s]?,1,Eva Saar,tsiga [ˈt͡si.kaˑ] 'pig',
UT153,"Is there non-alveolar affricate (e.g. [t͡ʃ], [͡cɕ])?",0,Eva Saar,,
UT154,Is there a phonological contrast between [s] and postalveolar sibilant [ʃ]?,0,Eva Saar,,
UT155,"Are there voiced plosives [b, g, d]?",0,Eva Saar,,
UT156,Is there glottal stop [ˀ]?,1,Eva Saar,"kalaq [ˈka.laˀ] fish.PL, jalaq [ˈja.laˀ] 'legs'",
UT157,Is there phonological contrast between plain and labial velar consonants (e.g. [k] vs. [kʷ])?,0,Eva Saar,,
UT158,Is there a constraint on word-initial r?,0,Eva Saar,,
UT159,Is there laryngeal fricative [h]?,1,Eva Saar,hõbõhõnõ [ˈhɤ.pɤˌhɤ.nɤ] 'silvery',
UT160,Is there voiced velar fricative [ɣ]?,0,Eva Saar,,
UT161,Is there voiceless velar fricative [x]?,0,Eva Saar,,
UT162,Is there voiced dental fricative [ð]?,0,Eva Saar,,
UT163,Is there phonemic labio-velar approximant [w]?,0,Eva Saar,,
UT164,Is there voiceless labiodental fricative [f]?,0,Eva Saar,,
UT165,Is there radical qualitative consonant gradation?,1,Eva Saar,jalg [jalːk] 'leg' vs. jalaq [ˈja.laˀ] 'legs',
UT166,Is there quantitative consonant gradation?,1,Eva Saar,kõttu [ˈkɤtː.tu] stomach.ILL.SG vs. kõtuq [ˈkɤ.tuˀ] stomach.NOM.PL,
