ID,Example,Primary_Text,IPA,Analyzed,Gloss,Translation,Comment
UT055,lokkum ǩeʹrjj;read.PASS.PTCP book;book that has been read;,lokkum ǩeʹrjj,,lokkum	ǩeʹrjj,read.PASS.PTCP	book,book that has been read,
UT058,Ǩeʹrjj lij looǥǥǩani;book be.PRS.3SG read.ABE.PTCP;a book that hasn't been read;,Ǩeʹrjj lij looǥǥǩani,,Ǩeʹrjj	lij	looǥǥǩani,book	be.PRS.3SG	read.ABE.PTCP,a book that hasn't been read,
UT064,leʹjje takai jooʹtti oummu;be.PST.3PL habitual wander.PRS.PTCP person.PL.NOM;they were habitual wandering people; Feist 2010: 213-214,leʹjje takai jooʹtti oummu,,leʹjje	takai	jooʹtti	oummu,be.PST.3PL	habitual	wander.PRS.PTCP	person.PL.NOM,they were habitual wandering people, Feist 2010: 213-214
UT064,jooʹtti;;habitual wanderer;,jooʹtti,,jooʹtti,,habitual wanderer,
UT066,"mõõn ton viǯǯâd muännai ääuš;go.IMP.2SG 2SG.NOM fetch.INF 1DU.GEN axe.SG.AC];go, you, and fetch our axe!;",mõõn ton viǯǯâd muännai ääuš,,mõõn	ton	viǯǯâd	muännai	ääuš,go.IMP.2SG	2SG.NOM	fetch.INF	1DU.GEN	axe.SG.AC],"go, you, and fetch our axe!",
UT067,Jeäʹl leeiʹb poor!;NEG.IMP.2SG bread.SG.ACC eat.CNG;Don't eat bread (but eat something else);,Jeäʹl leeiʹb poor!,,Jeäʹl	leeiʹb	poor!,NEG.IMP.2SG	bread.SG.ACC	eat.CNG,Don't eat bread (but eat something else),
UT071,suu leeiʹb poorrmõš;3SG.GEN bread.SG.GEN eating;his eating of bread;,suu leeiʹb poorrmõš,,suu	leeiʹb	poorrmõš,3SG.GEN	bread.SG.GEN	eating,his eating of bread,
UT071,suu pess;3SG.GEN gun.NOM.SG;his/her gun;,suu pess,,suu	pess,3SG.GEN	gun.NOM.SG,his/her gun,
UT073,niõđ lie ääʹrj;girl.PL.NOM PRS.3PL shy.PL.NOM;the girls are shy;,niõđ lie ääʹrj,,niõđ	lie	ääʹrj,girl.PL.NOM	PRS.3PL	shy.PL.NOM,the girls are shy,
UT074,cueʹǩǩ : cueʹjjab : cueʹjjmõs;shallow : shallow-COMP : shallow-SUPL;shallow : shallower : shallowest;,cueʹǩǩ : cueʹjjab : cueʹjjmõs,,cueʹǩǩ	:	cueʹjjab	:	cueʹjjmõs,shallow	:	shallow-COMP	:	shallow-SUPL,shallow : shallower : shallowest,
UT075,âlnnan : ââlnad : ââʹlnes;;on me : on you : on him/her;,âlnnan : ââlnad : ââʹlnes,,âlnnan	:	ââlnad	:	ââʹlnes,,on me : on you : on him/her,
UT079,mon veʹt pukkveezz leʹjjem lååi peiʹvved;1SG.NOM EMP in.all be.PST.1SG ten.SG.NOM day.PART;altogether I was there for ten days!;,mon veʹt pukkveezz leʹjjem lååi peiʹvved,,mon	veʹt	pukkveezz	leʹjjem	lååi	peiʹvved,1SG.NOM	EMP	in.all	be.PST.1SG	ten.SG.NOM	day.PART,altogether I was there for ten days!,
UT079,nellj oummu mõʹnne tuõddra;four.SG.NOM men.SG.GEN go.PST.3PL fell.SG.ILL;four men went to the fell;,nellj oummu mõʹnne tuõddra,,nellj	oummu	mõʹnne	tuõddra,four.SG.NOM	men.SG.GEN	go.PST.3PL	fell.SG.ILL,four men went to the fell,
UT080,nellj oummu mõʹnne tuõddra;four.SG.NOM men.SG.GEN go.PST.3PL fell.SG.ILL;four men went to the fell;,nellj oummu mõʹnne tuõddra,,nellj	oummu	mõʹnne	tuõddra,four.SG.NOM	men.SG.GEN	go.PST.3PL	fell.SG.ILL,four men went to the fell,
UT084,võõnâs ij jååʹđ ääirtää;boat.SG.NOM NEG.3SG travel.NEG oar.SG.ABE;the boat won't move without an oar;,võõnâs ij jååʹđ ääirtää,,võõnâs	ij	jååʹđ	ääirtää,boat.SG.NOM	NEG.3SG	travel.NEG	oar.SG.ABE,the boat won't move without an oar,
UT086,suäna mõʹnne meäcca;3DU.NOM go.PST.3PL forest.SG.ILL;the two of them went to the forest;,suäna mõʹnne meäcca,,suäna	mõʹnne	meäcca,3DU.NOM	go.PST.3PL	forest.SG.ILL,the two of them went to the forest,
UT090,Pâʹss Treffan oummu sami liâ ceerkvest sluužvmen; Holy Trifon.SG.GEN person.PL.NOM quite be.PRS.3PL church.SG.LOC worship.PROG.PTCP;Holy Trifon's people are just in the church worshiping;,Pâʹss Treffan oummu sami liâ ceerkvest sluužvmen,,Pâʹss	Treffan	oummu	sami	liâ	ceerkvest	sluužvmen,Holy	Trifon.SG.GEN	person.PL.NOM	quite	be.PRS.3PL	church.SG.LOC	worship.PROG.PTCP,Holy Trifon's people are just in the church worshiping,
UT090,eʹčč da jeäʹnn puõʹtte ceerkvest põrttseez;father.SG.NOM and mother.SG.NOM come.PST.3PL church.SG.LOC house.SG.ILL.3PL;father and mother came from the church to their house;,eʹčč da jeäʹnn puõʹtte ceerkvest põrttseez,,eʹčč	da	jeäʹnn	puõʹtte	ceerkvest	põrttseez,father.SG.NOM	and	mother.SG.NOM	come.PST.3PL	church.SG.LOC	house.SG.ILL.3PL,father and mother came from the church to their house,
UT093,son skläddneeiʹbin ǩiõʹtte čuõʹǧǧii;3SG.NOM penknife.SG.COM hand.SG.ILL prick.PST.3SG;he pricked the hand with a penknife;,son skläddneeiʹbin ǩiõʹtte čuõʹǧǧii,,son	skläddneeiʹbin	ǩiõʹtte	čuõʹǧǧii,3SG.NOM	penknife.SG.COM	hand.SG.ILL	prick.PST.3SG,he pricked the hand with a penknife,
UT095,tuuʹl sääʹm leʹjje älggam ââʹnned tõn ǩieʹđj Vuâsppååʹden;formerly Skolt.Saami.PL.NOM be.PST.3PL start.PST.PTCP use.INF DIST.SG.ACC rock.SG.ACC god.ESS;formerly the Skolt Saami started to use that rock as a god;,tuuʹl sääʹm leʹjje älggam ââʹnned tõn ǩieʹđj Vuâsppååʹden,,tuuʹl	sääʹm	leʹjje	älggam	ââʹnned	tõn	ǩieʹđj	Vuâsppååʹden,formerly	Skolt.Saami.PL.NOM	be.PST.3PL	start.PST.PTCP	use.INF	DIST.SG.ACC	rock.SG.ACC	god.ESS,formerly the Skolt Saami started to use that rock as a god,
UT101,muu eʹčč;I.GEN father;my father;,muu eʹčč,,muu	eʹčč,I.GEN	father,my father,
UT101,muʹst eʹčč;1SG.LOC father;my father;,muʹst eʹčč,,muʹst	eʹčč,1SG.LOC	father,my father,
UT103,muõrram : muõrran;tree.SG.NOM.1SG : tree.PL.NOM.1SG;my tree : my trees;,muõrram : muõrran,,muõrram	:	muõrran,tree.SG.NOM.1SG	:	tree.PL.NOM.1SG,my tree : my trees,
UT106,mii;;what;,mii,,mii,,what,
UT106,kii;;who;,kii,,kii,,who,
UT109,Tõt lij hääʹsǩes ooumaž;that be.PRS.3SG funny.ATTR person.SG.NOM;s/he is a funny person;,Tõt lij hääʹsǩes ooumaž,,Tõt	lij	hääʹsǩes	ooumaž,that	be.PRS.3SG	funny.ATTR	person.SG.NOM,s/he is a funny person,
UT111,siõʹzzid;aunt.PL.ACC;;,siõʹzzid,,siõʹzzid,aunt.PL.ACC,,
UT112,jieʹǩǩ;;fathers older brother;,jieʹǩǩ,,jieʹǩǩ,,fathers older brother,
UT112,čieʹcc;;fathers younger brother;,čieʹcc,,čieʹcc,,fathers younger brother,
UT112,jeän;;mothers brother;,jeän,,jeän,,mothers brother,
UT113,kuäʹsǩǩ;;mothers older sister;,kuäʹsǩǩ,,kuäʹsǩǩ,,mothers older sister,
UT113,mueʹđđ;;mothers younger sister;,mueʹđđ,,mueʹđđ,,mothers younger sister,
UT113,jieʹǩǩ;;fathers older brother;,jieʹǩǩ,,jieʹǩǩ,,fathers older brother,
UT113,čieʹcc;;fathers younger brother;,čieʹcc,,čieʹcc,,fathers younger brother,
UT116,paarr [paːrːᵃ] couple.NOM.SG,paarr ,,paːrːᵃ,couple.NOM.SG,,
UT116,paar [paːrᵃ] couple.GEN.SG,paar ,,paːrᵃ,couple.GEN.SG,,
UT117,võrr [vɘrːːᵃ] blood.SG.NOM,võrr ,,vɘrːːᵃ,blood.SG.NOM,,
UT117,võõr [vɘːrᵃ] blood.SG.GEN,võõr ,,vɘːrᵃ,blood.SG.GEN,,
UT119,mädd [mædːːᵃ] soil.SG.NOM,mädd ,,mædːːᵃ,soil.SG.NOM,,
UT119,määdd [mæːdːᵃ] soil.SG.GEN,määdd ,,mæːdːᵃ,soil.SG.GEN,,
UT120,mõʹnne [mɘːnʲːe] go.PRT.3PL,mõʹnne ,,mɘːnʲːe,go.PRT.3PL,,
UT120,mõõnnâd [mɘːnːᴈd] go.INF,mõõnnâd ,,mɘːnːᴈd,go.INF,,
UT120,mõõnam [mɘːnam] go.PRS.1SG,mõõnam ,,mɘːnam,go.PRS.1SG,,
UT121,äälǥam [æːl.ɣam] begin.PRS.1SG,äälǥam ,,æːl.ɣam,begin.PRS.1SG,,
UT122,võõnâs [ˈvɘː.nᴈs] 'boat',võõnâs ,ˈvɘː.nᴈs,,,boat,
UT122,maaiʹlmest [ˈmɑːjlʲ.mest] world.SG.LOC,maaiʹlmest ,,ˈmɑːjlʲ.mest,world.SG.LOC,,
UT124,âʹnškueʹtted [ᴈnʲ.ʃkuetʲːed] 'to begin to use',âʹnškueʹtted ,ᴈnʲ.ʃkuetʲːed,,,to begin to use,
UT125,aʹrvveed [ˈarʲvv.ˌeːd] ʹguessʹ,,,,,,
UT132,ceäʹlǩǩed [t͡sĕælʲcːed] 'say',ceäʹlǩǩed ,t͡sĕælʲcːed,,,say,
UT140,ekka [ekːa] 'at night',ekka ,ekːa,,,at night,
UT140,äkka [ækːa] old woman.SG.ILL,,,,,,
UT141,kruugg [kruːgːᵃ] 'circle',kruugg ,kruːgːᵃ,,,circle,
UT142,mainsted [mainᵃsted] 'to speak',mainsted ,mainᵃsted,,,to speak,
UT143,maaiʹlmest [ˈmɑːjlʲ.mest] world.SG.LOC,maaiʹlmest ,,ˈmɑːjlʲ.mest,world.SG.LOC,,
UT144,veerstast [veːrstast] verst.SG.LOC,veerstast ,,veːrstast,verst.SG.LOC,,
UT146,mââʹnn [mᴈːnʲːᵉ] egg,mââʹnn ,,mᴈːnʲːᵉ,egg,,
UT146,mâânn [mᴈːnːᵃ] go.PRS.3SG,mâânn ,,mᴈːnːᵃ,go.PRS.3SG,,
UT148,ǩiõll [ciɘllᵃ] 'language',ǩiõll ,ciɘllᵃ,,,language,
UT149,njargg [ɲargːᵃ] 'cape',njargg ,ɲargːᵃ,,,cape,
UT150,villj [viʎːːᵃ] 'brother',villj ,viʎːːᵃ,,,brother,
UT151,šõŋŋ [ʃɘŋːːᵃ] 'weather',šõŋŋ ,ʃɘŋːːᵃ,,,weather,
UT152,ceäʹlǩǩed [t͡sĕælʲcːed] 'say',ceäʹlǩǩed ,t͡sĕælʲcːed,,,say,
UT153,čääʹcc [t͡ʃæːcːᵉ] 'water',čääʹcc ,t͡ʃæːcːᵉ,,,water,
UT154,suõnn [suɘnːᵃ] 'blood vessel',suõnn ,suɘnːᵃ,,,blood vessel,
UT154,šuõnn [ʃuɘnːᵃ] 'sunbeam',šuõnn ,ʃuɘnːᵃ,,,sunbeam,
UT154,strääšš [stræːʃː] 'horror',strääšš ,stræːʃː,,,horror,
UT155,kõõddâs [kɘːdːᴈs] 'threshold',kõõddâs ,kɘːdːᴈs,,,threshold,
UT159,hä'lbb [hælʲbːᵉ],,,,,,
UT160,jooǥǥâst [joːɣːᴈst] river.SG.LOC,jooǥǥâst ,,joːɣːᴈst,river.SG.LOC,,
UT161,uhss [uxsːᵃ] 'door',uhss ,uxsːᵃ,,,door,
UT161,ähšš [æxʃ'ːᵃ] 'axe',ähšš ,æxʃ'ːᵃ,,,axe,
UT162,teâđam [teᴈðam] know.PRS.1SG,teâđam ,,teᴈðam,know.PRS.1SG,,
UT163,põõllâd [pɘːwːᴈd] 'to fear',põõllâd ,pɘːwːᴈd,,,to fear,
UT164,"fiinâs [fiːnᴈs] 'fine, tidy'",fiinâs ,fiːnᴈs,,,"fine, tidy",
UT165,tie'tted [tietːed] 'to know',tie'tted ,tietːed,,,to know,
UT165,teâđam [teᴈðam] know.PRS.1SG,teâđam ,,teᴈðam,know.PRS.1SG,,
UT166,muõrr [muɘrːᵃ] wood.SG.NOM,muõrr ,,muɘrːᵃ,wood.SG.NOM,,
UT166,muõr [muɘrᵃ] wood.SG.GEN,muõr ,,muɘrᵃ,wood.SG.GEN,,
