ID,Name,South.Saami,Source,Example,Comment
UT031,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 3Sg?,0,Richard Kowalik (p.c. 2019),,
UT032,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 1Sg?,0,Richard Kowalik (p.c. 2019),,No morphological marking. A modal verb can be used to express hortative.
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Richard Kowalik (p.c. 2019),,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Richard Kowalik (p.c. 2019),,
UT035,Is there reflexive conjugation?,0,Richard Kowalik (p.c. 2019),,
UT036,Are there syntactically ditransitive verbs?,0,Richard Kowalik (p.c. 2019),,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Richard Kowalik (p.c. 2019),,
UT038,Can an impersonal (or passive) form be used instead of a finite plural form with an overt subject expression?,0,Richard Kowalik (p.c. 2019),,Not attested.
UT039,Can third person plural verb forms be used for impersonal reference?,1,Richard Kowalik (p.c. 2019),UT039,"In addition, 3SG verb forms can be used for impersonal reference, e.g. daesnie maahta gööledh (here can.PRS.3SG fish.INF) 'Here you can fish'/ 'One can fish here'."
UT040,Can second person singular verb forms be used in generic meaning?,0,Richard Kowalik (p.c. 2019),,Not attested.
UT042,Are clauses with only infinitive predicates possible?,0,Richard Kowalik (p.c. 2019),,Not attested.
UT043,Can verbs in purposive subordinate clauses be in bare infinitive form?,0,Richard Kowalik (p.c. 2019),,
UT044,Are there sentences without overt verbal arguments (e.g. weather verbs)?,1,Richard Kowalik (p.c. 2019),UT044,
UT045,Is copula needed for predicate nominals in the 3rd person form of the present tense?,0,Richard Kowalik (p.c. 2019),,"Copula is not needed, e.g.: dihte saemie (3SG Saami) 's/he is a Saami'."
UT046,Is a copula needed for predicate nominals in the past and/or future tense?,1,Richard Kowalik (p.c. 2019),UT046,"However, the copula in the past tense is sometimes dropped."
UT047,Can locative adverbial phrases act as predicates without a copula?,1,Richard Kowalik (p.c. 2019),UT047,
UT048,"Can the same coordinating conjunction be used for NPs, VPs, and clauses?",1,Richard Kowalik (p.c. 2019),"UT048-1, UT048-2, UT048-3",
UT049,Does existential negation have a separate operator?,0,Richard Kowalik (p.c. 2019),,Standard and existential negation are expressed with the negative auxiliary + the connegative form of the main verb.
UT050,Can standard negation be asymmetric in the present tense?,1,Richard Kowalik (p.c. 2019),UT050,
UT051,Can non-finite dependent clauses use the standard negation construction?,1,Richard Kowalik (p.c. 2019),,"Negation is always marked with a negative auxiliary. However, there is some variation which form of the negative auxiliary is used. "
UT052,Is there a special negator that combines with non-finite forms?,0,Richard Kowalik (p.c. 2019),,"However, the use of the fully inflected negative auxiliary is moving towards being used as a negative particle in this context."
UT053,Are there special negative non-finite forms?,0,Richard Kowalik (p.c. 2019),,
UT054,Is there an impersonal passive construction?,0,Richard Kowalik (p.c. 2019),,
UT055,"Are there nonfinite forms specialized on the relativization of particular core participants, e.g. subjects (S/A), direct objects (P), absolutive participants (S/P)?",0,Richard Kowalik (p.c. 2019),,
UT056,"Are there nonfinite forms that can relativize at least all core participants (S/A/P) and possibly also some noncore participants, e.g. locative adverbials, instruments, etc.?",0,Richard Kowalik (p.c. 2019),,
UT057,"Are there nonfinite forms that can relativize at least some noncore participants, e.g. locative adverbials or instruments, but cannot relativize all or some of the core participants, e.g. subjects?",0,Richard Kowalik (p.c. 2019),,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negation marker?",0,Richard Kowalik (p.c. 2019),,
UT059,Is there a future participle?,0,Richard Kowalik (p.c. 2019),,
UT060,Are there participles that can encode their subject by possessive suffixes?,0,Richard Kowalik (p.c. 2019),,
UT061,Can subject in at least some participial subordinate clauses be encoded in the same way as in independent clauses?,1,Richard Kowalik (p.c. 2019),,
UT062,Are there participles that obligatorily agree with the nouns they modify in case and number (in all contexts)?,0,Richard Kowalik (p.c. 2019),,
UT063,Are there nonfinite forms that can be used both as participles and action nominalizations?,1,Richard Kowalik (p.c. 2019),"UT063-1, UT063-2",
UT064,Are there nonfinite forms that can be used both as participles and agentive nominalizations?,0,Richard Kowalik (p.c. 2019),,
UT065,"Are there nonfinite forms that can be used both as participles and converbs without any additional morphological material, such as case markers?",0,Richard Kowalik (p.c. 2019),,
UT066,Is OV the neutral order in affirmative imperative clauses?,0,Richard Kowalik (p.c. 2019),UT066,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,1,Richard Kowalik (p.c. 2019),"UT067-1, UT067-2",
UT068,Are there preverbs?,0,Richard Kowalik (p.c. 2019),,
UT069,Are there verbal prefixes?,0,Richard Kowalik (p.c. 2019),,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Richard Kowalik (p.c. 2019),,
UT071,Can modifiers of action nominalization in agent and patient roles both be encoded like possessors?,?,Richard Kowalik (p.c. 2019),,
UT072,"Can the modifier of action nominalization in patient role (e.g. ""drinking of coffee"") be encoded like the direct object?",1,Richard Kowalik (p.c. 2019),UT072,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,0,Richard Kowalik (p.c. 2019),,
UT074,Is it possible to form synthetic superlative?,1,Richard Kowalik (p.c. 2019),UT074,
UT075,Can adpositions have person/number marking?,0,Richard Kowalik (p.c. 2019),,
UT076,"Are there separate adpositions to express goal, source, and location (without there being syncretism)?",1,Richard Kowalik (p.c. 2019),"UT076-1, UT076-2, UT076-3",
UT077,Is case compounding possible?,0,Richard Kowalik (p.c. 2019),,"However, the comitative plural could be analysed as noun + GEN.PL + COM.PL, e.g. gärja-j-gujmie 'with the books'. "
UT078,Are there case categories only found in pronouns?,0,Richard Kowalik (p.c. 2019),,
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,Richard Kowalik (p.c. 2019),,The nominative case is used.
UT080,Is the singular form of the noun also used with numerals bigger than 1?,0,Richard Kowalik (p.c. 2019),,
UT081,Is there a genitive case that has an affix?,1,Richard Kowalik (p.c. 2019),UT081,
UT082,Is there a case used to express indirect object/receiver/goal (different from a local case)?,0,Richard Kowalik (p.c. 2019),,
UT083,Is there a terminative case?,0,Richard Kowalik (p.c. 2019),,
UT084,Is there a separate case to indicate without what/who an action takes place / does not take place?,0,Richard Kowalik (p.c. 2019),,
UT085,Is there a separate case to mark the motion along or by the referent of the noun (prolative)?,0,Richard Kowalik (p.c. 2019),,
UT086,Is there a locative case that marks goal?,1,Richard Kowalik (p.c. 2019),"UT086-1, UT086-2",Illative has two allomorphs.
UT087,Is there a locative case that marks location?,1,Richard Kowalik (p.c. 2019),UT087,
UT088,Is there a locative case that marks source?,1,Richard Kowalik (p.c. 2019),UT088,
UT089,Is there case syncretism of goal and location marking?,0,Richard Kowalik (p.c. 2019),,
UT090,Is there case syncretism of location and source marking?,0,Richard Kowalik (p.c. 2019),,
UT091,Are there two sets of local cases?,0,Richard Kowalik (p.c. 2019),,Adpositions are used.
UT092,Is there a third set of local cases?,0,Richard Kowalik (p.c. 2019),,Adpositions are used.
UT093,Is there a separate case for marking the means by which something is carried out (instrumental) and/or accompaniement (comitative)?,1,Richard Kowalik (p.c. 2019),"UT093-1, UT093-2",
UT094,"Is there a separate case for marking accompaniment, which is different from the instrumental?",0,Richard Kowalik (p.c. 2019),,
UT095,Is there a separate case for marking the result of change (translative) and/or a state of being (essive)?,1,Richard Kowalik (p.c. 2019),,The essive is used in both contexts.
UT096,"Is there a separate case for marking the state of being (essive), which is different from the translative?",0,Richard Kowalik (p.c. 2019),,
UT097,Is there a separate morphological marker for expressing equative meaning?,0,Richard Kowalik (p.c. 2019),,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Richard Kowalik (p.c. 2019),,
UT099,Is there in addition to the basic declension a declension different from a possessive declension? ,0,Richard Kowalik (p.c. 2019),,
UT100,Is it possible to use singular with paired body parts/clothing/accessories that accompany them?,0,Richard Kowalik (p.c. 2019),,
UT101,Can the marking of the possessor in the attributive construction vary?,0,Richard Kowalik (p.c. 2019),,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,Richard Kowalik (p.c. 2019),,
UT103,Is non-singular possession marked in the possessive declension?,0,Richard Kowalik (p.c. 2019),,
UT104,Can 2Sg possessive suffix be used to mark definiteness?,0,Richard Kowalik (p.c. 2019),,
UT105,Can 3Sg possessive suffix be used to mark definiteness?,0,Richard Kowalik (p.c. 2019),,
UT106,Is there human vs. non-human distinction distinction in independent interrogative pronouns?,1,Richard Kowalik (p.c. 2019),"UT106-1, UT106-2",
UT107,"When used as a relative pronoun, is it common to use 'who' for animates other than humans?",0,Richard Kowalik (p.c. 2019),,"However, mij 'what' is used with animates/humans. "
UT108,"When used as a relative pronoun, is it common to use 'who' for inanimates?",0,Richard Kowalik (p.c. 2019),,"However, mij 'what' is used with animates/humans. "
UT109,Can a demonstrative stem be used in the function of a pronoun with 3rd person singular human referent?,1,Richard Kowalik (p.c. 2019),"UT109-1, UT109-2","dïhte 'he/she, it'"
UT110,Are there possessive suffixes whose position in relation to case/number suffixes can vary? ,0,Richard Kowalik (p.c. 2019),,There is alternation.
UT111,Is the order of number and case suffixes fixed across the paradigm the same?,N/A,Richard Kowalik (p.c. 2019),,"They are portmanteau suffixes. Synchronically, a segmentable PL marker cannot be identified."
UT112,Are there different words for mother’s brother and father’s brother?,1,Richard Kowalik (p.c. 2019),"UT112-1, UT112-2",
UT113,Are there different words for younger and older relative for other relations than siblings?,1,Richard Kowalik (p.c. 2019),"UT113-1, UT113-2, UT113-3, UT113-4",
UT114,Is there animacy distinction for both concepts 'new/young' and 'old'?,0,Richard Kowalik (p.c. 2019),,"There is a distinction only for 'young' but not for 'old': noere maana 'young child' and orre gärja 'new book', but cf. båeries alma 'old man' and båeries gärja 'old book'."
UT115,Is there distinction for both 'warm' and 'cold' based on whether referring to weather or to temperature of objects?,0,Richard Kowalik (p.c. 2019),,
UT116,Is there contrastive length of consonants?,0,Richard Kowalik (p.c. 2019),,"There is no phonemic contrast in consonant length. However, there are short and long consonants. I ascribe this the phonotactic structure and vowel lentgh."
UT117,Is there contrastive length of vowels?,1,Richard Kowalik (p.c. 2019),"UT117-1, UT117-2",/a/ vs. /a:/
UT118,Is there contrast between short and long unstressed vowels?,1,Richard Kowalik (p.c. 2019),"UT118-1, UT118-2",/i:/ vs. /i/
UT119,Is there contrast in duration of geminate consonants?,0,Richard Kowalik (p.c. 2019),,"Geminates exist, but they are not phonologically relevant. "
UT120,Are there more than two phonological quantities?,0,Richard Kowalik (p.c. 2019),,
UT121,Are there extralong syllables?,1,Richard Kowalik (p.c. 2019),UT121,
UT122,Is the main foot structure trochaic?,1,Richard Kowalik (p.c. 2019),"UT122-1, UT122-2","Also 'baa.koe 'word', 'lop.me 'snow' etc."
UT123,Is there lexically distinctive word stress?,0,Richard Kowalik (p.c. 2019),,
UT124,Is there morphologically conditioned stress?,0,Richard Kowalik (p.c. 2019),,
UT125,Is there fixed primary stress?,1,Richard Kowalik (p.c. 2019),"UT125-1, UT125-2",
UT126,Is there stress in heavy syllables?,0,Richard Kowalik (p.c. 2019),,
UT127,Is there non-initial primary stress?,0,Richard Kowalik (p.c. 2019),,
UT128,Is there palatal vowel harmony?,0,Richard Kowalik (p.c. 2019),,
UT129,Is there velar vowel harmony?,0,Richard Kowalik (p.c. 2019),,
UT130,Is there labial vowel harmony?,0,Richard Kowalik (p.c. 2019),,
UT131,Are there rising diphthongs?,0,Vinka and Kråik 2012: 33,,"On a phonological level, there are no raising diphtongs jaevrie [jäuri], sovkedh [souket], gååvnesidh [gounesit], gaavnedh [gaunet]."
UT132,Are there lowering diphthongs?,1,Vikka and Kråik 2012,"UT132-1, UT132-2",
UT133,Is there qualitative contrast between subsets of short and long vowels?,1,Richard Kowalik (p.c. 2019),"UT133-1, UT133-2, UT133-3, UT133-4",
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Richard Kowalik (p.c. 2019),,
UT135,Is there front high rounded vowel ü [y]?,0,Richard Kowalik (p.c. 2019),,"On a phonetic level, [y] appears marginally. There is no phonological contrast (bygkedh = bigkedh)."
UT136,Is there front midhigh rounded vowel ö [ø]?,1,Richard Kowalik (p.c. 2019),UT136,"However, there are only few minimal pairs: gööles 'rich in fish' vs. geeles 'tame', but göökte = geekte 'two'."
UT137,Is there back high unrounded vowel ï [ɯ]?,0,Richard Kowalik (p.c. 2019),,"Despite the grapheme <ï> in the official South Saami orthography, the sound is not part of the vowel inventory."
UT138,Is there back midhigh unrounded vowel ë [ɤ]?,0,Richard Kowalik (p.c. 2019),,
UT139,Is there back low round vowel [ɒ]?,1,Richard Kowalik (p.c. 2019),,
UT140,Is there contrast between low and mid front vowels (ä [æ] vs. e [e])?,1,Richard Kowalik (p.c. 2019),"UT140-1, UT140-2",
UT141,Are there word-initial consonant clusters?,1,Richard Kowalik (p.c. 2019),UT141,
UT142,Are there word-internal consonant clusters in syllable onset?,0,Richard Kowalik (p.c. 2019),,No counterexample found. 
UT143,Are there consonant clusters in syllable coda?,1,Richard Kowalik (p.c. 2019),UT143,
UT144,Are there clusters of three or more consonants in a word between vowels?,1,Richard Kowalik (p.c. 2019),UT144,It is possible but only marginally.
UT145,Are there word-final clusters of three or more consonants?,0,Richard Kowalik (p.c. 2019),,
UT146,Are there palatalized dentals?,0,Richard Kowalik (p.c. 2019),,
UT147,Are there palatalized labials and velars?,0,Richard Kowalik (p.c. 2019),,
UT148,Is there palatal stop [c]?,0,Richard Kowalik (p.c. 2019),,
UT149,Is there palatal nasal [ɲ]?,1,Richard Kowalik (p.c. 2019),UT149,
UT150,Is there palatal lateral [ʎ]?,0,Richard Kowalik (p.c. 2019),,
UT151,Is there phonemic velar nasal [ŋ]?,1,Richard Kowalik (p.c. 2019),"UT151-1, Ut151-2",
UT152,Is there dental affricate [t͡s]?,0,Richard Kowalik (p.c. 2019),,"Not on a phonological level. However, [ts] can appear as an allophone of [tj]: tjaetsie = tjaetjie 'water'."
UT153,"Is there non-alveolar affricate (e.g. [t͡ʃ], [͡cɕ])?",1,Richard Kowalik (p.c. 2019),UT153,"There is the phoneme /ʨ/, with the allophones ʨ, ʦ and ʧ."
UT154,Is there a phonological contrast between [s] and postalveolar sibilant [ʃ]?,1,Richard Kowalik (p.c. 2019),"UT154-1, UT154-2",
UT155,"Are there voiced plosives [b, g, d]?",0,Richard Kowalik (p.c. 2019),,"There is no contrast between voiced and unvoiced plosives, but [b] occurs as an allophone of /p/, e.g. balve 'cloud', gaamege 'shoe', darjedh 'to do'."
UT156,Is there glottal stop [ˀ]?,0,Richard Kowalik (p.c. 2019),,
UT157,Is there phonological contrast between plain and labial velar consonants (e.g. [k] vs. [kʷ])?,0,Richard Kowalik (p.c. 2019),,
UT158,Is there a constraint on word-initial r?,0,Richard Kowalik (p.c. 2019),,
UT159,Is there laryngeal fricative [h]?,1,Richard Kowalik (p.c. 2019),UT159,
UT160,Is there voiced velar fricative [ɣ]?,0,Richard Kowalik (p.c. 2019),,
UT161,Is there voiceless velar fricative [x]?,0,Richard Kowalik (p.c. 2019),,
UT162,Is there voiced dental fricative [ð]?,0,Richard Kowalik (p.c. 2019),,
UT163,Is there phonemic labio-velar approximant [w]?,0,Richard Kowalik (p.c. 2019),,
UT164,Is there voiceless labiodental fricative [f]?,1,Richard Kowalik (p.c. 2019),UT164,
UT165,Is there radical qualitative consonant gradation?,0,Richard Kowalik (p.c. 2019),,
UT166,Is there quantitative consonant gradation?,0,Richard Kowalik (p.c. 2019),,
