ID,Name,Inari.Saami,Source,Example,Comment
UT018,Is there a grammatical device for progressivity?,1,"Petter Morottaja, p.c.",Mun lam luhâmin;1SG be-1SG read-ACT.ESS;I am reading;,
UT019,Is it common to use a verb in the present tense for future time reference? ,1,"Petter Morottaja, p.c.",Mun vuálgám itten kuálástiđ;1SG go-PRS.1SG tomorrow fish-INF;I am going to go fishing tomorrow;,There is no future tense in Inari Saami. The present tense can be used to mean something that will happen in the future.
UT020,Is there a grammatical device for immediate future?,1,"Petter Morottaja, p.c.",Juná lii vyelgimin;train be.3SG leave.ACT.ESS;The train is about to leave;,"Depending on the verb aspect, the structure 'is happening' can mean immediate future."
UT021,Is there a grammatical device for pluperfect?,1,"Petter Morottaja, p.c.","Ko mun poottim, sun lâi jo vuálgám;when 1SG come-PST.1SG 3SG be-PST.3SG already leave.PRF.PTCP;When I came he had already left;",
UT022,Can aspect be expressed overtly on the negative marker?,0,"Petter Morottaja, p.c.",,
UT023,Can tense be expressed overtly on the negative marker?,0,"Petter Morottaja, p.c.",,
UT024,Is there grammatical marking of mirativity?,0,"Petter Morottaja, p.c.",,
UT025,Is there morphological marking on the verb dedicated to the expression of desire or wish?,0,"Petter Morottaja, p.c.",,
UT026,Is there morphological marking for irrealis (e.g. hypothetical state of affairs)?,1,"Petter Morottaja, p.c.","Mun vuálgáččim, jis puávtáččim;1SG go-COND.1SG if 1SG can-COND.1SG;I would go if I could;",
UT027,Are verbs marked in a specific mood in counterfactual conditional clauses?,1,"Petter Morottaja, p.c.","Jis tun liččih liäibum kááhu, mun purâččim tom;if 2SG be-COND.2SG bake-PRF-PCPL cake-ACC 1SG eat-COND.1SG it-ACC;If you would have baked a cake, I would eat it;",
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,"Petter Morottaja, p.c.",,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility? ,1,"Petter Morottaja, p.c.",Äšši čielgiš itten;thing-NOM clear-POT.3SG tomorrow;The matter will probably be solved tomorrow;,There is potential.
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility? ,0,"Petter Morottaja, p.c.",,
UT031,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 3Sg?,1,"Petter Morottaja, p.c.",Puáđus teehi;come-IMP.3SG here;Let him come here;,
UT032,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 1Sg?,0,"Petter Morottaja, p.c.",,The IMP.1SG form is included in the Inari Saami dictionary (Sammallahti & Morottaja 1993) but there are no examples of the usage. It can be speculated to be used like this: Čáállum reeivâ (write-IMP.1SG letter-ACC) 'I should write a letter'.
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will? ,0,"Petter Morottaja, p.c.",,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,"Petter Morottaja, p.c.",,
UT035,Is there reflexive conjugation?,0,"Petter Morottaja, p.c.",,
UT036,Are there syntactically ditransitive verbs?,0,"Petter Morottaja, p.c.",,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,"Petter Morottaja, p.c.",,
UT038,Can an impersonal (or passive) form be used instead of a finite plural form with an overt subject expression?,0,"Petter Morottaja, p.c.",,
UT039,Can third person plural verb forms be used for impersonal reference?,1,"Petter Morottaja, p.c.",Tääbbin puáhtá uáđđiđ;here can.3PL sleep.INF;It is possible to sleep here;,
UT040,Can second person singular verb forms be used in generic meaning?,0,"Petter Morottaja, p.c.",,
UT042,Are clauses with only infinitive predicates possible?,0,"Petter Morottaja, p.c.",,
UT043,Can verbs in purposive subordinate clauses be in bare infinitive form?,0,"Petter Morottaja, p.c.",,
UT044,Are there sentences without overt verbal arguments (e.g. weather verbs)?,1,"Petter Morottaja, p.c.",Arva;rain.3SG;It is raining;,
UT045,Is copula needed for predicate nominals in the 3rd person form of the present tense?,1,"Petter Morottaja, p.c.",Sun lii máttáátteijee;3SG be.3SG teacher; S/he is a teacher;,
UT046,Is a copula needed for predicate nominals in the past and/or future tense?,1,"Petter Morottaja, p.c.",Sun lâi máttáátteijee;3SG be-PST.3SG teacher;S/he is a teacher;,
UT047,Can locative adverbial phrases act as predicates without a copula?,0,"Petter Morottaja, p.c.",,
UT048,"Can the same coordinating conjunction be used for NPs, VPs, and clauses? ",1,"Petter Morottaja, p.c.",Ánná já Petter;;Anna and Petter;|Ánná lohá já sárgu;;Anna reads and draws;|Ánná lohá já Petter sárgu;;Anna reads and Petter draws;,
UT049,Does existential negation have a separate operator?,0,"Petter Morottaja, p.c.",,
UT050,Can standard negation be asymmetric in the present tense?,1,"Petter Morottaja, p.c.",Mun luuvâm;1SG read-1SG;I read;|Mun jiem luuvâ;1SG NEG.PRS.1SG read.CNG;I don't read',
UT051,Can non-finite dependent clauses use the standard negation construction?,0,"Petter Morottaja, p.c.",,
UT052,Is there a special negator that combines with non-finite forms?,0,"Petter Morottaja, p.c.",,
UT053,Are there special negative non-finite forms?,1,"Petter Morottaja, p.c.",jäämmiđ : jämi-hánnáá;die-INF : die-ABE;to die : without dying;,"There is also a caritive derivation for nouns and also for verbs, e.g.  viste > viste-ttem 'house - houseless', jäämmiđ > jämi-mettum 'to die - never dying'. There is also an abessive case, meaning 'without': viste : viste-ttáá 'house' : 'without house'."
UT054,Is there an impersonal passive construction?,1,"Petter Morottaja, p.c.",Säämist kuálásteh ennuv;Lapland.LOC fish.3PL a lot;People fish a lot in Lapland;,
UT055,"Are there nonfinite forms specialized on the relativization of particular core participants, e.g. subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,"Petter Morottaja, p.c.",lohhee kandâ;;a reading boy;|luuhâm kandâ;;a boy who has been reading;|luhhum kandâ;;a boy who has read;,luuhâm ja luhhum are the same form of a participle but from a different verb (luuhâđ 'to read' ja luhhuđ 'to be read').
UT056,"Are there nonfinite forms that can relativize at least all core participants (S/A/P) and possibly also some noncore participants, e.g. locative adverbials, instruments, etc.?",0,"Petter Morottaja, p.c.",,
UT057,"Are there nonfinite forms that can relativize at least some noncore participants, e.g. locative adverbials or instruments, but cannot relativize all or some of the core participants, e.g. subjects?",0,"Petter Morottaja, p.c.",,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negation marker?",1,"Petter Morottaja, p.c.",Luvâ-hánnáá kirje;read.ABE book;A book that is not read;,
UT059,Is there a future participle?,0,"Petter Morottaja, p.c.",,
UT060,Are there participles that can encode their subject by possessive suffixes?,0,"Petter Morottaja, p.c.",,
UT061,Can subject in at least some participial subordinate clauses be encoded in the same way as in independent clauses?,0,"Petter Morottaja, p.c.",,
UT062,Are there participles that obligatorily agree with the nouns they modify in case and number (in all contexts)?,0,"Petter Morottaja, p.c.",,
UT063,Are there nonfinite forms that can be used both as participles and action nominalizations?,1,"Petter Morottaja, p.c.",Mun lam luuhâm kirje;;I have read a book;|Kirje luuhâm kandâ;;A boy who has read a book;,Participle perfect can be used as action nominalization.
UT064,Are there nonfinite forms that can be used both as participles and agentive nominalizations?,1,"Petter Morottaja, p.c.",Mun lam lohhee;;I am a reader;|Mu lam kirje lohhee kandâ;;I am a boy who reads a book;,Participle present can be used as agent.
UT065,"Are there nonfinite forms that can be used both as participles and converbs without any additional morphological material, such as case markers?",0,"Petter Morottaja, p.c.",,
UT066,Is OV the neutral order in affirmative imperative clauses?,0,"Petter Morottaja, p.c.",Juuvâ teejâ!;drink.IMP.2SG tea-ACC;Drink tea!;,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions? ,1,"Petter Morottaja, p.c.",Ele ustevijd vájáldit!;NEG.IMP friend.PL.ACC forget.CNG;Don’t forget friends;,
UT068,Are there preverbs?,1,"Petter Morottaja, p.c.",oovdân-pyehtiđ;forward-bring;to show;|vuástá-väldiđ;against-take;to receive;,There are some verbs with preverbal morphemes fused into them.
UT069,Are there verbal prefixes?,0,"Petter Morottaja, p.c.",,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,"Petter Morottaja, p.c.",,"There are diminutive (perhaps not hypocoristic) verbal derivates, e.g. smakkiđ > smakkii-stiđ 'to taste - to taste a little'."
UT071,Can modifiers of action nominalization in agent and patient roles both be marked like possessors?,0,"Petter Morottaja, p.c.",,
UT072,"Can the modifier of action nominalization in patient role (e.g. ""drinking of coffee"") be marked like the direct object?",0,"Petter Morottaja, p.c.",,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,"Petter Morottaja, p.c.",Kaandah láá kuheh;boy.PL.NOM be-3PL tall.PL.NOM;The boys are tall;,
UT074,Is it possible to form synthetic superlative?,1,"Petter Morottaja, p.c.",muččâd : muččâdub : muččâdumos;beautiful : beautiful-COMP : beautiful-SPRL;beautiful : more beautiful : the most beautiful;,
UT075,Can adpositions have person/number marking?,0,"Petter Morottaja, p.c.",,
UT076,"Are there separate adpositions to express goal, source, and location (without there being syncretism)?",0,"Petter Morottaja, p.c.",,There is the same case for source and location (locative case).
UT077,Is case compounding possible?,0,"Petter Morottaja, p.c.",,
UT078,Are there case categories only found in pronouns?,0,"Petter Morottaja, p.c.",,
UT079,Does the numeral modification of a noun have an effect on its case selection? ,1,"Petter Morottaja, p.c.","ohtâ kandâ;one.NOM boy.NOM;one boy;|kyehti kaandâ;two.NOM boy.GEN;two boys;|
čiččâm kandâd;seven.NOM boy.PART;seven boys;","If NP is in Nominative or Accusative case, the noun can have three different cases, 1 - Nominative, 2-6 - Genitive (accusative) or 7- ... - Partitive. If NP is in any other case, the noun can be inflected to any case and the number will partially agree with the noun."
UT080,Is the singular form of the noun also used with numerals bigger than 1?,1,"Petter Morottaja, p.c.","ohtâ kandâ;one.NOM boy.NOM;one boy;|kyehti kaandâ;two.NOM boy.GEN;two boys;|
čiččâm kandâd;seven.NOM boy.PART;seven boys;",
UT081,Is there a genitive case that has an affix?,1,"Petter Morottaja, p.c.",tot : to-n;it : it-GEN;it : its;,The genitive suffix appears only in demonstrative pronouns. Otherwise the genitive forms differ only by stem changes.
UT082,Is there a dative case used to express indirect object/receiver/goal (different from a local case)?,0,"Petter Morottaja, p.c.",,
UT083,Is there a terminative case?,0,"Petter Morottaja, p.c.",,
UT084,Is there a separate case to indicate without what/who an action takes place / does not take place?,1,"Petter Morottaja, p.c.","Mun vuolgim paargon pursâttáá;1SG leave-PST-1SG work-ILL handbag-ABE;I left for work without a/the handbag;
",
UT085,Is there a separate case to mark the motion along or by the referent of the noun (prolative)?,0,"Petter Morottaja, p.c.",,
UT086,Is there a locative case that marks goal?,1,"Petter Morottaja, p.c.",Mun vuálgám paargon;1SG go.1SG work.ILL;I go to work;,
UT087,Is there a locative case that marks location?,0,"Petter Morottaja, p.c.",,The locative case marks both location and source.
UT088,Is there a locative case that marks source?,0,"Petter Morottaja, p.c.",,The locative case marks both location and source.
UT089,Is there case syncretism of goal and location marking?,0,"Petter Morottaja, p.c.",,
UT090,Is there case syncretism of location and source marking?,1,"Petter Morottaja, p.c.",Mun lam käävpist;1SG be-1SG  groecery_store-LOC;I am at a/the grocery store;|Mun puáđám käävpist;1SG come-1SG grocery_store-LOC;I come from a/the grocery store;,The locative case marks for location and source.
UT091,Are there two sets of local cases?,0,"Petter Morottaja, p.c.",,
UT092,Is there a third set of local cases?,0,"Petter Morottaja, p.c.",,
UT093,Is there a separate case for marking the means by which something is carried out (instrumental) and/or accompaniement (comitative)?,1,"Petter Morottaja, p.c.",Sun porá pastemáin;3SG eat.3SG spoon.COM;He eats with a spoon;,Comitative case is used in the instrumental and comitative function.
UT094,"Is there a separate case for marking accompaniment, which is different from the instrumental?",0,"Petter Morottaja, p.c.",,
UT095,Is there a separate case for marking the result of change (translative) and/or a state of being (essive)?,1,"Petter Morottaja, p.c.",Sun parga máttáátteijen;3SG work.3SG teacher.ESS;S/he works as a teacher;|Sun šadda máttáátteijen;3SG become.3SG teacher.ESS;S/he becomes a teacher;,"There is essive case, which has both essive and translative function."
UT096,"Is there a separate case for marking the state of being (essive), which is different from the translative?",0,"Petter Morottaja, p.c.",,
UT097,Is there a separate morphological marker for expressing equative meaning?,0,"Petter Morottaja, p.c.",,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,"Petter Morottaja, p.c.",,
UT099,Is there in addition to the basic declension a declension different from a possessive declension? ,0,"Petter Morottaja, p.c.",,
UT100,Is it possible to use singular with paired body parts/clothing/accessories that accompany them?,0,"Petter Morottaja, p.c.",,
UT101,Can the marking of the possessor in the attributive construction vary?,0,"Petter Morottaja, p.c.",,
UT102,Can the possessor in the attributive construction be marked with the nominative?,0,"Petter Morottaja, p.c.",,
UT103,Is non-singular possession marked in the possessive declension?,1,"Petter Morottaja, p.c.",Mun puurâm kuálán;1SG eat.1SG fish.ACC.POSS.1SG;I eat my fish;|Mun puurâm kuolijdân;1SG eat.1SG fish. ACC.POSS.1PL;I eat my fishes;,In certain cases there is a difference.
UT104,Can 2Sg possessive suffix be used to mark definiteness? ,0,"Petter Morottaja, p.c.",,
UT105,Can 3Sg possessive suffix be used to mark definiteness? ,0,"Petter Morottaja, p.c.",,
UT106,Is there animacy distinction in independent interrogative pronouns?,1,"Petter Morottaja, p.c.",kii/kote;;who;|mii;;what;,
UT107,"When used as a relative pronoun, is it common to use 'who' for animates other than humans?",0,"Petter Morottaja, p.c.",,
UT108,"When used as a relative pronoun, is it common to use 'who' for inanimates?",0,"Petter Morottaja, p.c.",,
UT109,Can a demonstrative stem be used in the function of a pronoun with 3rd person singular human referent?,1,"Petter Morottaja, p.c.",Tot puátá kolliđ muu onne;it come-3SG visit-INF 1SG-ACC today;S/he (lit. it) is coming to visit me today;,tot 'it' can be used instead of sun 's/he'.
UT110,Is the order of possessive suffix and case suffix across the paradigm the same?,0,"Petter Morottaja, p.c.",,"Usually the order is case+px (tálu-st-is, house-LOC-POSS.3SG). There is an exception for abessive, where the order is px+case (e.g. táálusttáá, house-POSS.3SG-ABE). In comitative and abessive plural, the possessive suffix has divided the case suffix (e.g. tálu-id-ân-guin, house-COM-POSS.3SG-COM).
"
UT111,Is the order of number and case suffixes fixed across the paradigm the same?,N/A,"Petter Morottaja, p.c.",,"The number is fused with the case morpheme or with the stem, which makes the question impossible to answer."
UT112,Are there different words for mother’s brother and father’s brother?,1,"Petter Morottaja, p.c.",iänui;;mother's brother;|eehi;;father's older brother;|čeeci;;father's younger brother;,
UT113,Are there different words for younger and older relative for other relations than siblings?,1,"Petter Morottaja, p.c.","kuáski;;mother’s older sister;|muáđá;;mother’s younger sister;|eehi;;father’s older brother;|
čeeci;;father’s younger brother;
",
UT114,Is there animacy distinction for both concepts 'new/young' and 'old'?,0,"Petter Morottaja, p.c.",,
UT115,Is there distinction for both 'warm' and 'cold' based on whether referring to weather or to temperature of objects?,0,"Petter Morottaja, p.c.",,
UT116,Is there contrastive length of consonants?,1,"Petter Morottaja, p.c.","páál*u [pæːlu] ball.GEN vs. páálu [pæːllu] pole.GEN, ša'lde [ʃɑlde] bridge.GEN/ACC.SG vs. šalde [ʃɑlːde] bridge.NOM.SG",
UT117,Is there contrastive length of vowels?,1,"Petter Morottaja, p.c.","kandâ [kɑnːdɤ] boy.NOM vs. kaandâ [kɑːndɤ] boy.GEN, kuáddá [kuædːdæ] pillow.NOM vs. kuáddáá [kuædːdæː] small_pillow.GEN","In the first example, the length of the consonant also co-varies, the second example contains a pure minimum pair."
UT118,Is there contrast between short and long unstressed vowels?,0,"Petter Morottaja, p.c.",,Long non-initial vowels are secondary stressed in Inari Saami.
UT119,Is there contrast in duration of geminate consonants?,1,"Helen Türk, p.c.","muoṛâ /muorrɤ/ tree.NOM : muorrâd /muorːrɤd/ tree.ACC, kome ghost.GEN : komme ghost.NOM",There are half-long and long geminates (see Türk 2019).
UT120,Are there more than two phonological quantities? ,1,"Helen Türk, p.c.",määli /mææli/ soup.ACC/GEN : määḷi /mæælli/ soup.NOM : määllid /mæælːlid/ soup.ACC  ,"There is a three-way opposition: short, half-long, long (see Markus et al. 2012, Türk 2019)."
UT121,Are there extralong syllables? ,1,"Petter Morottaja, p.c.","kaandâ [kɑːndɤ] boy.GEN, ráánnud",
UT122,Is the main foot structure trochaic?,1,"Petter Morottaja, p.c.","kan.dâ ['kɑnː.dɤ] boy.NOM, máá.tu ['mææ.tu] worm.NOM, tupe ['tu.pe] house.NOM",
UT123,Is there lexically distinctive word stress?,0,"Petter Morottaja, p.c.",,
UT124,Is there morphologically conditioned stress?,1,"Petter Morottaja, p.c.","väziškyettiđ ['væ.ziˌʃkyetː.tið],  'ka.vâs.tâl'škyet.tiđ 'to start yawning'","For example, 1st syllable of the derivate -škyettiđ is always stressed independent of what kind of verb it is attached to."
UT125,Is there fixed primary stress?,1,"Petter Morottaja, p.c.",máá.tu [mæːtu] worm.NOM,See also UT122.
UT126,Is there stress in heavy syllables?,0,"Petter Morottaja, p.c.",,
UT127,Is there non-initial primary stress?,0,"Petter Morottaja, p.c.",,
UT128,Is there palatal vowel harmony?,0,"Petter Morottaja, p.c.",,
UT129,Is there velar vowel harmony?,0,"Petter Morottaja, p.c.",,
UT130,Is there labial vowel harmony? ,0,"Petter Morottaja, p.c.",,
UT131,Are there rising diphthongs? ,0,"Petter Morottaja, p.c.",,
UT132,Are there lowering diphthongs?,1,"Petter Morottaja, p.c.","kuobžâ bear.NOM, kuossâđ 'to fall', kyeli fish.NOM, kieđâ hand.GEN, kuálán fish-ILL, čiärum cry-1SG","Lowering diphtongs are uo, ye, ie, uá, iä."
UT133,Is there qualitative contrast between subsets of short and long vowels?,0,"Petter Morottaja, p.c.",,
UT134,Are there full vs. reduced vowels as contrastive subsets? ,0,"Petter Morottaja, p.c.",,
UT135,Is there front high rounded vowel ü [y]?,1,"Petter Morottaja, p.c.","kye'le [kyele] fish.GEN/ACC.SG, pygálys [pygælys] reindeer_round-up.NOM","ü [y] may be part of the diphthong ye (as in kye'le), besides that it just appears in some words, e.g. pygálys, pövkkyr."
UT136,Is there front midhigh rounded vowel ö [ø]?,0,"Petter Morottaja, p.c.",,ö [ø] is present only in two loanwords: pövkkyr (< Fin. pöykkyri) and ministeriö (< Fin. ministeriö).
UT137,Is there back high unrounded vowel ï [ɯ]?,0,"Petter Morottaja, p.c.",,
UT138,Is there back midhigh unrounded vowel ë [ɤ]?,1,"Petter Morottaja, p.c.",ennuv [ɤnːnuv] 'a lot',"However, it can also be pronounced as [enːnuv]."
UT139,Is there back low round vowel [ɒ]?,0,"Petter Morottaja, p.c.",,
UT140,Is there contrast between low and mid front vowels (ä [æ] vs. e [e])?,1,"Petter Morottaja, p.c.",čääci 'water' vs. čeeci 'uncle',
UT141,Are there word-initial consonant clusters?,1,"Petter Morottaja, p.c.","steevvil 'boot', styeres 'big',  šnuákkuđ 'to peck'",
UT142,Are there word-internal consonant clusters in syllable onset?,0,"Petter Morottaja, p.c.",,
UT143,Are there consonant clusters in syllable coda?,1,"Petter Morottaja, p.c.",puárskudiđ 'to blunder',
UT144,Are there clusters of three or more consonants in a word between vowels?,1,"Petter Morottaja, p.c.",puárskudiđ 'to blunder',
UT145,Are there word-final clusters of three or more consonants?,0,"Petter Morottaja, p.c.",,
UT146,Are there palatalized dentals? ,1,"Petter Morottaja, p.c.",njamma 'tit',
UT147,Are there palatalized labials and velars? ,0,"Petter Morottaja, p.c.",,
UT148,Is there palatal stop [c]?,0,"Petter Morottaja, p.c.",,
UT149,Is there palatal nasal [ɲ]?,1,"Petter Morottaja, p.c.",njaalâ 'arctic fox',
UT150, Is there palatal lateral [ʎ]?,1,"Petter Morottaja, p.c.",pelji 'ear',
UT151,Is there phonemic velar nasal [ŋ]?,1,"Petter Morottaja, p.c.","maŋa 'after', juŋŋâ 'lingonberry'",
UT152,Is there dental affricate [t͡s]?,1,"Petter Morottaja, p.c.",ucce 'small',
UT153,"Is there non-alveolar affricate (e.g. [t͡ʃ], [͡cɕ])?",1,"Petter Morottaja, p.c.",kaččâđ 'to run',
UT154,Is there a phonological contrast between [s] and postalveolar sibilant [ʃ]?,1,"Petter Morottaja, p.c.",šahe 'pig',
UT155,"Are there voiced plosives [b, g, d]?",0,"Petter Morottaja, p.c.",,"When long,  they are voiced, e.g. kobbâ 'white reindeer', säggi 'splinter', koddeđ 'to kill'."
UT156,Is there glottal stop [ˀ]?,0,"Petter Morottaja, p.c.",,
UT157,Is there phonological contrast between plain and labial velar consonants (e.g. [k] vs. [kʷ])?,0,"Petter Morottaja, p.c.",,
UT158,Is there a constraint on word-initial r?,0,"Petter Morottaja, p.c.",,
UT159,Is there laryngeal fricative [h]?,1,"Petter Morottaja, p.c.",lohá read.3SG 's/he reads',
UT160,Is there voiced velar fricative [ɣ]?,0,"Petter Morottaja, p.c.",,
UT161,Is there voiceless velar fricative [x]?,0,"Petter Morottaja, p.c.",,
UT162,Is there voiced dental fricative [ð]?,1,"Petter Morottaja, p.c.",tiäđám know-1SG 'I know',
UT163,Is there phonemic labio-velar approximant [w]?,0,"Petter Morottaja, p.c.",,[v] and [w] are in complementary distribution. 
UT164,Is there voiceless labiodental fricative [f]?,1,"Petter Morottaja, p.c.",fáámu 'power',
UT165,Is there radical qualitative consonant gradation?,1,"Petter Morottaja, p.c.",peehiđ [peːhið] 'to creep' : piäv*ám ['piæv.væm] creep-1SG 'I creep',
UT166,Is there quantitative consonant gradation?,1,"Petter Morottaja, p.c.",keessiđ [keːssið] 'to pull' : kiäsám [kiæsæm] pull-1SG,
