ID,Name,Tver.Karelian,Source,Example,Comment
UT039,Can third person plural verb forms be used for impersonal reference?,0,"Irina Novak, p.c.",,
UT040,Can second person singular verb forms be used in generic meaning?,1,"Irina Novak, p.c.",Mua-lla elä-t mua-n tavalla;land-ADE live-2SG land-GEN according;In a land one lives according to the land's customs;,
UT042,Are clauses with only infinitive predicates possible?,0,"Irina Novak, p.c.",,
UT043,Can verbs in purposive subordinate clauses be in bare infinitive form?,1,"Irina Novak, p.c.",Tul-i-n tänne opaštu-mah;come-PST-1SG here study-SUP;I came here to study;,
UT044,Are there sentences without overt verbal arguments (e.g. weather verbs)?,1,"Irina Novak, p.c.",Vihmuu;rain.3SG;It is raining;,
UT045,Is copula needed for predicate nominals in the 3rd person form of the present tense?,0,"Irina Novak, p.c.",,"Nowadays it is common to drop the copula, which can be regarded as Russian influence, e.g. Miun muamo (on) opaštaja (1SG-GEN mother (be.3SG) teacher) 'My mother is a teacher'."
UT046,Is a copula needed for predicate nominals in the past and/or future tense?,1,"Irina Novak, p.c.",Miu-n mauamo lieu opaštaja-na;1SG-GEN mother will_be.3SG teacher.ESS;My mother will be a teacher;,
UT047,Can locative adverbial phrases act as predicates without a copula?,0,"Irina Novak, p.c.",,
UT048,"Can the same coordinating conjunction be used for NPs, VPs, and clauses?",1,"Irina Novak, p.c.",tanhuo-šša i pert´i-s's'ä;barn-INE and house-INE;in the barn and in the house;|otat i tuot;take-2SG and bring-2SG;you take and bring;,
UT049,Does existential negation have a separate operator?,0,"Irina Novak, p.c.",,
UT050,Can standard negation be asymmetric in the present tense?,1,"Irina Novak, p.c.",mie ota-n : mie en ota;1SG take-1SG : 1SG NEG.PRS.1SG take.CNG;I take : I don’t take;,
UT051,Can non-finite dependent clauses use the standard negation construction?,0,"Irina Novak, p.c.",,
UT052,Is there a special negator that combines with non-finite forms?,0,"Irina Novak, p.c.",,
UT053,Are there special negative non-finite forms?,1,"Irina Novak, p.c.",elämätöin eländä;;the unlived life;,
UT054,Is there an impersonal passive construction?,1,"Irina Novak, p.c.",Täššä ele-täh hyvin;here live-IPS.PRS well;Here (people) live well;,
UT055,"Are there nonfinite forms specialized on the relativization of particular core participants, e.g. subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,"Irina Novak, p.c.",lugi-ja poiga;read-ACT.PRS.PTCP boy;a reading boy;,
UT056,"Are there nonfinite forms that can relativize at least all core participants (S/A/P) and possibly also some noncore participants, e.g. locative adverbials, instruments, etc.?",0,"Irina Novak, p.c.",,
UT057,"Are there nonfinite forms that can relativize at least some noncore participants, e.g. locative adverbials or instruments, but cannot relativize all or some of the core participants, e.g. subjects?",0,"Irina Novak, p.c.",,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negation marker?",0,"Irina Novak, p.c.",,
UT059,Is there a future participle?,0,"Irina Novak, p.c.",,
UT060,Are there participles that can encode their subject by possessive suffixes?,0,"Irina Novak, p.c.",,
UT061,Can subject in at least some participial subordinate clauses be encoded in the same way as in independent clauses?,0,"Irina Novak, p.c.",,
UT062,Are there participles that obligatorily agree with the nouns they modify in case and number (in all contexts)?,1,"Irina Novak, p.c.",laule-ttuo-šša virre-ššä;sing-PASS.PST.PTCP-INE song-INE;in a song that has been sung;,
UT063,Are there nonfinite forms that can be used both as participles and action nominalizations?,0,"Irina Novak, p.c.",,
UT064,Are there nonfinite forms that can be used both as participles and agentive nominalizations?,1,"Irina Novak, p.c.","opaštu-ja;study-AG.NMLZ;student;|opaštu-ja tyttö;study-AG.NMLZ girl;a girl, who is studying;",
UT065,"Are there nonfinite forms that can be used both as participles and converbs without any additional morphological material, such as case markers?",0,"Irina Novak, p.c.",,
UT066,Is OV the neutral order in affirmative imperative clauses?,0,"Irina Novak, p.c.",Juo čuojuo!;drink.IMP.2SG tea-PRT;Drink tea!;,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,0,"Irina Novak, p.c.",,
UT068,Are there preverbs?,0,"Irina Novak, p.c.",,
UT069,Are there verbal prefixes?,0,"Irina Novak, p.c.",,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,"Irina Novak, p.c.",,
UT071,Can modifiers of action nominalization in agent and patient roles both be encoded like possessors?,1,"Irina Novak, p.c.",Poja-n peže-ndä;boy-GEN wash-NMLZ;washing of the boy/washing the boy;,
UT072,"Can the modifier of action nominalization in patient role (e.g. ""drinking of coffee"") be encoded like the direct object?",1,"Irina Novak, p.c.",kirjaze-n kirjuta-nda;letter-GEN write-NMLZ;writing a letter;|kirjuta-n kirjas´e-n;write-1SG letter-GEN;I'll write a letter;,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,"Irina Novak, p.c.",Poja-t ol-lah korgie-t;boy-PL be-IPS.PRS high-PL;The boys are tall;,
UT074,Is it possible to form synthetic superlative?,0,"Irina Novak, p.c.",,
UT075,Can adpositions have person/number marking?,0,"Irina Novak, p.c.",,
UT076,"Are there separate adpositions to express goal, source, and location (without there being syncretism)?",0,"Irina Novak, p.c.",,
UT077,Is case compounding possible?,0,"Irina Novak, p.c.",,
UT078,Are there case categories only found in pronouns?,1,"Irina Novak, p.c.",,"The accusative is used  only with pronouns, e.g. miut 'me', miät 'us'."
UT079,Does the numeral modification of a noun have an effect on its case selection?,1,"Irina Novak, p.c.",yksi piirua : kakši piirua-da;one pie.NOM.SG : two pie-PRT.SG,
UT080,Is the singular form of the noun also used with numerals bigger than 1?,1,"Irina Novak, p.c.",yksi piirua : kakši piirua-da;one pie.NOM.SG : two pie-PRT.SG,
UT081,Is there a genitive case that has an affix?,1,"Irina Novak, p.c.",poja-n;boy-GEN;boy's;,
UT082,Is there a case used to express indirect object/receiver/goal (different from a local case)?,0,"Irina Novak, p.c.",,
UT083,Is there a terminative case?,0,"Irina Novak, p.c.",,
UT084,Is there a separate case to indicate without what/who an action takes place / does not take place?,1,"Irina Novak, p.c.",Ole-n viä-ttä;be-1SG power-ABE;I am powerless;,
UT085,Is there a separate case to mark the motion along or by the referent of the noun (prolative)?,0,"Irina Novak, p.c.",,
UT086,Is there a locative case that marks goal?,0,"Irina Novak, p.c.",,"Goal and location are marked the same way, e.g. naize-lla woman-ALL/ADE."
UT087,Is there a locative case that marks location?,0,"Irina Novak, p.c.",,"Goal and location are marked the same way, e.g. naize-lla woman-ALL/ADE."
UT088,Is there a locative case that marks source?,1,"Irina Novak, p.c.",Tule-n mečä-štä;come-1SG forest-ELA;I am coming from the forest;,
UT089,Is there case syncretism of goal and location marking?,1,"Irina Novak, p.c.",,See UT086 and UT87.
UT090,Is there case syncretism of location and source marking?,0,"Irina Novak, p.c.",,
UT091,Are there two sets of local cases?,1,"Irina Novak, p.c.",,External and internal local cases are used.
UT092,Is there a third set of local cases?,0,"Irina Novak, p.c.",,There are some indications that a third set started to develop but it never fully developed.
UT093,Is there a separate case for marking the means by which something is carried out (instrumental) and/or accompaniement (comitative)?,1,"Irina Novak, p.c.",lapše-nke;child-COM;with a child;|lužika-nke;spoon-COM;with a spoon;,
UT094,"Is there a separate case for marking accompaniment, which is different from the instrumental?",0,"Irina Novak, p.c.",,
UT095,Is there a separate case for marking the result of change (translative) and/or a state of being (essive)?,1,"Irina Novak, p.c.",Mie opaššu-n opaštaja-kši;1SG learn-1SG teacher-TRA;I am learrning to become a teacher;,
UT096,"Is there a separate case for marking the state of being (essive), which is different from the translative?",1,"Irina Novak, p.c.",Mie rua-n opaštaja-na;1SG work-1SG teacher-ESS;I am working as a teacher;,
UT097,Is there a separate morphological marker for expressing equative meaning?,0,"Irina Novak, p.c.",,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,"Irina Novak, p.c.",,A postposition is used.
UT099,Is there in addition to the basic declension a declension different from a possessive declension? ,0,"Irina Novak, p.c.",,
UT100,Is it possible to use singular with paired body parts/clothing/accessories that accompany them?,0,"Irina Novak, p.c.",,
UT101,Can the marking of the possessor in the attributive construction vary?,0,"Irina Novak, p.c.",,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,"Irina Novak, p.c.",,
UT103,Is non-singular possession marked in the possessive declension?,0,"Irina Novak, p.c.",,
UT104,Can 2Sg possessive suffix be used to mark definiteness?,0,"Irina Novak, p.c.",,
UT105,Can 3Sg possessive suffix be used to mark definiteness?,0,"Irina Novak, p.c.",,
UT106,Is there human vs. non-human distinction distinction in independent interrogative pronouns?,1,"Irina Novak, p.c.",mi;;what;|ken;;who;,
UT107,"When used as a relative pronoun, is it common to use 'who' for animates other than humans?",1,"Irina Novak, p.c.","Koira-t, ke-t ~ kumbaze-d issu-tah;dog-PL who-PL ~ which-PL sit-IPS.PRS;The dogs that are sitting;","Still, kumb 'which' is more commonly used."
UT108,"When used as a relative pronoun, is it common to use 'who' for inanimates?",0,"Irina Novak, p.c.",,
UT109,Can a demonstrative stem be used in the function of a pronoun with 3rd person singular human referent?,0,"Irina Novak, p.c.",,
UT110,Are there possessive suffixes whose position in relation to case/number suffixes can vary? ,1,"Irina Novak, p.c.",Mie nä-i-n tuattu-a-ni;1SG see-PST-1SG father-PRT-POSS.1SG;I saw my father;,The order is case suffix + possessive suffix.
UT111,Is the order of number and case suffixes fixed across the paradigm the same?,1,"Irina Novak, p.c.",,The order is number + case suffix.
UT112,Are there different words for mother’s brother and father’s brother?,0,"Irina Novak, p.c.",,
UT113,Are there different words for younger and older relative for other relations than siblings?,0,"Irina Novak, p.c.",,
UT114,Is there animacy distinction for both concepts 'new/young' and 'old'?,0,"Irina Novak, p.c.",,"Vanha/vahna 'old' can be used for inanimates as well as animates, however, there is a separate lexeme to denote old people - ruavaš."
UT115,Is there distinction for both 'warm' and 'cold' based on whether referring to weather or to temperature of objects?,0,"Irina Novak, p.c.",,
UT116,Is there contrastive length of consonants?,1,"Irina Novak, p.c.",kana [ˈka.na] 'hen' vs. kanna [ˈkan.na] carry.IMP.2SG,
UT117,Is there contrastive length of vowels?,1,"Irina Novak, p.c.",tuli [ˈtu.lʲiˑ] ‘fire’ vs. tuuli [ˈtuː.lʲi]  ‘wind’,
UT118,Is there contrast between short and long unstressed vowels?,1,"Irina Novak, p.c.",puhu [ˈpu.huˑ] blow.IMP.2SG vs. puhuu [ˈpu.huː] blow.PRS.3SG,
UT119,Is there contrast in duration of geminate consonants?,0,"Irina Novak, p.c.",,
UT120,Are there more than two phonological quantities?,0,"Irina Novak, p.c.",,
UT121,Are there extralong syllables?,1,"Irina Novak, p.c.",tuatto [ˈtuat.to] 'father',
UT122,Is the main foot structure trochaic?,1,"Irina Novak, p.c.",kana [ˈka.naˑ] ’hen’,
UT123,Is there lexically distinctive word stress?,0,"Irina Novak, p.c.",,
UT124,Is there morphologically conditioned stress?,1,"Irina Novak, p.c.",meččäńiekka [ˈmet͡ʃ.t͡ʃæˌnʲiek.ka] 'forester',
UT125,Is there fixed primary stress?,1,"Irina Novak, p.c.",kana [ˈka.naˑ] 'hen',
UT126,Is there stress in heavy syllables?,0,"Irina Novak, p.c.",,
UT127,Is there non-initial primary stress?,0,"Irina Novak, p.c.",,
UT128,Is there palatal vowel harmony?,1,"Irina Novak, p.c.","eländä [ˈe.læn.dæ] 'life', riehtilä [ˈrieh.ti.læ] 'pan'",
UT129,Is there velar vowel harmony?,0,"Irina Novak, p.c.",,
UT130,Is there labial vowel harmony?,0,"Irina Novak, p.c.",,
UT131,Are there rising diphthongs?,1,"Irina Novak, p.c.","laulu [ˈlau.lu] 'song, singing'",
UT132,Are there lowering diphthongs?,1,"Irina Novak, p.c.","tuohuš [ˈtuo.huʃ] 'candle', piä [piæ] 'head'",
UT133,Is there qualitative contrast between subsets of short and long vowels?,0,"Irina Novak, p.c.",,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,"Irina Novak, p.c.",,
UT135,Is there front high rounded vowel ü [y]?,1,"Irina Novak, p.c.",pöly [ˈpø.lyˑ] 'dust',
UT136,Is there front midhigh rounded vowel ö [ø]?,1,"Irina Novak, p.c.",pöly [ˈpø.lyˑ] 'dust',
UT137,Is there back high unrounded vowel ï [ɯ]?,1,"Irina Novak, p.c.","kondye  [ˈkon.dɯe] 'bear', tuldyh [ˈtul.dɯh], bryha [ˈbrɯ.ha] 'boy'",
UT138,Is there back midhigh unrounded vowel ë [ɤ]?,0,"Irina Novak, p.c.",,
UT139,Is there back low round vowel [ɒ]?,0,"Irina Novak, p.c.",,
UT140,Is there contrast between low and mid front vowels (ä [æ] vs. e [e])?,1,"Irina Novak, p.c.",päŕe [ˈpæ.rʲeˑ] ‘pine splinter’ vs. pereh [ˈpe.reh] ‘family’,
UT141,Are there word-initial consonant clusters?,1,"Irina Novak, p.c.","klakukaš [ˈkla.ku.kaʃ] 'towy', stauttša [ˈstaut.t͡ʃa] 'bowl' ",
UT142,Are there word-internal consonant clusters in syllable onset?,0,"Irina Novak, p.c.",,
UT143,Are there consonant clusters in syllable coda?,1,"Irina Novak, p.c.","huršti [ˈhurʃ.tʲi]  '(linen) fabric, towel, carpet'",
UT144,Are there clusters of three or more consonants in a word between vowels?,1,"Irina Novak, p.c.","huršti [ˈhurʃ.tʲi]  '(linen) fabric, towel, carpet'  ",
UT145,Are there word-final clusters of three or more consonants?,0,"Irina Novak, p.c.",,
UT146,Are there palatalized dentals?,1,"Irina Novak, p.c.",pal´l´aš [ˈpalʲ.lʲaʃ] 'naked',
UT147,Are there palatalized labials and velars?,0,"Irina Novak, p.c.",,
UT148,Is there palatal stop [c]?,0,"Irina Novak, p.c.",,
UT149,Is there palatal nasal [ɲ]?,0,"Irina Novak, p.c.",,
UT150,Is there palatal lateral [ʎ]?,0,"Irina Novak, p.c.",,
UT151,Is there phonemic velar nasal [ŋ]?,0,"Irina Novak, p.c.",,"ŋ is an allophone, e.g. henged [ˈheŋ.ged] 'souls'"
UT152,Is there dental affricate [t͡s]?,0,"Irina Novak, p.c.",,"Only in loanwords, e.g. cuari [ˈt͡sua.ri] 'czar'. "
UT153,"Is there non-alveolar affricate (e.g. [t͡ʃ], [͡cɕ])?",1,"Irina Novak, p.c.",meččä [ˈmet͡ʃ.t͡ʃæ] 'forest',
UT154,Is there a phonological contrast between [s] and postalveolar sibilant [ʃ]?,1,"Irina Novak, p.c.","šualis [ˈʃua.lʲis] 'prey, fair game', šoma [ˈʃo.ma] 'nice' ",
UT155,"Are there voiced plosives [b, g, d]?",1,"Irina Novak, p.c.","nagoĺe [ˈna.go.lʲe] 'always', kodi [ˈko.di]  'house', briha [ˈbrɯ.ha] 'boy' ",
UT156,Is there glottal stop [ˀ]?,0,"Irina Novak, p.c.",,
UT157,Is there phonological contrast between plain and labial velar consonants (e.g. [k] vs. [kʷ])?,0,"Irina Novak, p.c.",,
UT158,Is there a constraint on word-initial r?,0,"Irina Novak, p.c.",,
UT159,Is there laryngeal fricative [h]?,1,"Irina Novak, p.c.",raha [ˈra.haˑ] 'money',
UT160,Is there voiced velar fricative [ɣ]?,0,"Irina Novak, p.c.",,
UT161,Is there voiceless velar fricative [x]?,0,"Irina Novak, p.c.",,
UT162,Is there voiced dental fricative [ð]?,0,"Irina Novak, p.c.",,
UT163,Is there phonemic labio-velar approximant [w]?,0,"Irina Novak, p.c.",,
UT164,Is there voiceless labiodental fricative [f]?,0,"Irina Novak, p.c.",,
UT165,Is there radical qualitative consonant gradation?,1,"Irina Novak, p.c.",lauda [ˈlau.da] 'plank' vs. lauvat [ˈlau.vat] 'planks',
UT166,Is there quantitative consonant gradation?,1,"Irina Novak, p.c.",šukka [ˈʃuk.ka] 'stocking' vs. šukat [ˈʃu.kat] 'stockings',
