ID,Name,South.Selkup,Source,Example,Comment
UT020,Is there grammatical marking of the immediate future?,1,Klumpp and Budzisch 2023:918,,The desiderative derivation in -(n)čə can have the meaning of immediate future (prospective).
UT021,Is there grammatical marking of the pluperfect?,1,Klumpp and Budzisch 2023:917; Kuznecova 1987,,"Aspect derivation + past tense in finite clauses, anterior converb in non-finite clauses."
UT022,Can aspect be expressed overtly in the negative marker?,0,Klumpp and Budzisch 2023:929,,Selkup has only negation by particle.
UT023,Can tense be expressed overtly in the negative marker?,0,Klumpp and Budzisch 2023:929,,Selkup has only negation by particle.
UT024,Is there grammatical marking of mirativity?,0,Klumpp and Budzisch 2023:in passim,,Only general evidential-mirative marker (mood in -ntV-).
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,1,Klumpp and Budzisch 2023:918,,A desiderative derivation (-(n)čə ) in origin.
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Klumpp and Budzisch 2023:918-919,,Subjunctive.
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Klumpp and Budzisch 2023:918-919,,Conditional.
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,1,Klumpp and Budzisch 2023:919-920; Harder 2021:36,UT028,"Destinative/necessive participle in -(s)sodi. Not present in Ket, but elsewhere."
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,0,Klumpp and Budzisch 2023:918-920,,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Klumpp and Budzisch 2023:918-920,,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Klumpp and Budzisch 2023:918,,Jussive (i.e. imperative 3rd person).
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",1,Klumpp and Budzisch 2023:918,,Hortative (i.e. imperative 1st person).
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,1,Gerson Klumpp (p.c. 2020),,"However, such a structure is rarely attested."
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Klumpp and Budzisch 2023:918-919,,
UT035,Is there a reflexive conjugation?,0,Klumpp and Budzisch 2023:in passim,,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,1,Klumpp and Budzisch 2023:910,,In possessive declension.
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,0,Klumpp and Budzisch 2023:in passim,,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,1,Gerson Klumpp (p.c. 2020),,As in Russian.
UT201,Can an infinitival verb form be used in a directive function?,?,Gerson Klumpp (p.c. 2020),,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,Klumpp and Budzisch 2023:928,,
UT044,Are there sentences without overt verbal arguments?,1,Kuznecova 1987:170,UT044,
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,Ajanki et al. 2022:987,,
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,"Ajanki et al. 2022:984, 987",,"However, it is also possible that no copula is used."
UT047,Can locative constructions commonly occur without a copula?,1,Klumpp and Budzisch 2023:924,,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",0,Klumpp and Budzisch 2023:923,,"Traditionally rather not, in 20th cent. probably yes, with Russ. da."
UT049,Does existential negation have a special negator?,1,Klumpp and Budzisch 2023:929,,E.g. Ket tʼɑːŋɡu.
UT050,Can standard negation be asymmetric in the present tense?,0,Klumpp and Budzisch 2023:929,,
UT051,Can non-finite dependent clauses use the standard negation construction?,1,Klumpp and Budzisch 2023:929,,
UT052,Is there a special negator that combines with non-finite forms?,0,Klumpp and Budzisch 2023:929,,
UT053,Are there special negative non-finite forms?,1,Klumpp and Budzisch 2023:919-920,UT053,Caritive participle in -kVtɨ.
UT054,Is there an impersonal passive construction?,0,Gerson Klumpp (p.c. 2020),,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",0,Gerson Klumpp (p.c. 2020),,Orientation depends exclusively on verb semantics.
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,1,"Klumpp and Budzisch 2023:919-920, 926",,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,0,Gerson Klumpp (p.c. 2020),,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Klumpp and Budzisch 2023:919-920,,Caritive participle in -kVtɨ.
UT059,Is there a future participle?,0,Klumpp and Budzisch 2023:919-920,,
UT060,Are there participles that can encode their subject with possessive suffixes?,0,Gerson Klumpp (p.c. 2020),,"Very rarely attested, possible in North Selkup.."
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,Gerson Klumpp (p.c. 2020),,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,0,Gerson Klumpp (p.c. 2020),,
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,0,Gerson Klumpp (p.c. 2020),,"Agentive nominalization is realized by participle and nominalizer noun, e.g., ‘hunter’ = ‘hunting man’."
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Klumpp and Budzisch 2023:919-920,,
UT066,Is OV the neutral order in affirmative imperative clauses?,1,Gerson Klumpp (p.c. 2020),,In later 20th century texts often VO as in Russian.
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,1,Wagner-Nagy 2011:71; Ermakova 1998,,Only object pronouns can intervene.
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Klumpp and Budzisch 2023:in passim,,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,?,Gerson Klumpp (p.c. 2020),,
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,1,Gerson Klumpp (p.c. 2020),,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Gerson Klumpp (p.c. 2020),UT073,
UT074,Is there a bound superlative degree marker on property words?,0,Klumpp and Budzisch 2023:911,,
UT075,Can adpositions have person/number marking?,1,Gerson Klumpp (p.c. 2020),,Possible with so called serial postpositions.
UT076,Are there adpositions that show a tripartite system?,1,Klumpp and Budzisch 2023:921-922,,
UT077,Is there case compounding?,0,Klumpp and Budzisch 2023:in passim,,
UT078,Are there morphological cases only used with pronouns?,0,Klumpp and Budzisch 2023:905-913,,
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,Klumpp and Budzisch 2023:905,,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Pozdeeva 2015; Klumpp and Budzisch 2023:905,,"In general, the singular is also used with numerals greater than one. In Ket, however, with numerals greater than two, the plural tends to be used"
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,1,Klumpp and Budzisch 2023:905,,"The dative-allative is the case of recipients and beneficiaries, and is used primarily with animate referents; it also functions as an animate goal case"
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Klumpp and Budzisch 2023:905-910,,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,Klumpp and Budzisch 2023:906,,
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,1,Klumpp and Budzisch 2023:908,,
UT086,Is there a locative case that expresses goal?,1,Klumpp and Budzisch 2023:906,,Illative is the case for the goal (cf. UT082). 
UT087,Is there a locative case that expresses location?,1,Klumpp and Budzisch 2023:905-910,,
UT088,Is there a locative case that expresses source?,1,Klumpp and Budzisch 2023:907,,
UT089,Is there case syncretism for goal and location marking?,1,Klumpp and Budzisch 2023:910,,There is syncretism in possessive declension.
UT090,Is there case syncretism for location and source marking?,1,Klumpp and Budzisch 2023:910,,There is syncretism in possessive declension.
UT091,Are there two sets of local cases?,1,Klumpp and Budzisch 2023:905-910,,There are animate and inanimate local cases.
UT092,Are there three or more sets of local cases?,0,Klumpp and Budzisch 2023:905-910,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,Klumpp and Budzisch 2023:908,,
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Klumpp and Budzisch 2023:908,,The instrumental-sociative case is used.
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,1,Klumpp and Budzisch 2023:910,,
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Gerson Klumpp (p.c. 2020),,
UT097,Is there a dedicated case that expresses equativity?,0,Klumpp and Budzisch 2023:908,,The instrumental-sociative case is used.
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Klumpp and Budzisch 2023:905,,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Klumpp and Budzisch 2023:in passim,,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,1,Pozdeeva 2015,,
UT101,Can the marking of the possessor in the attributive construction vary?,1,Bekker et al. 1995:83; Klumpp and Budzisch 2023:911,,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,1,Klumpp and Budzisch 2023:911,,
UT204,Are singular and plural possessee distinguished in the possessive declension? ,1,Klumpp and Budzisch 2023:910,,
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,0,Klumpp and Budzisch 2023:in passim,,Not in South Selkup.
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,1,Klumpp and Budzisch 2023:911,,
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Gerson Klumpp (p.c. 2020),,"kuttɯ ‘who’, qɑj ‘what’"
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,1,Klumpp and Budzisch 2023:926,,Relative clauses introduced with a pronoun are most likely a structural loan from Russian.
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Gerson Klumpp (p.c. 2020),,
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,0,Klumpp and Budzisch 2023:911-913,,"There is a difference between tep ‘s/he’ and demonstratives (taw ‘this’, tona ‘that’, na ‘that’)."
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",1,Klumpp and Budzisch 2023:910,,
UT205,Are case and number marked cumulatively across the paradigm?,0,Gerson Klumpp (p.c. 2020),,
UT112,Are there different words for mother’s brother and father’s brother?,0,Gerson Klumpp (p.c. 2020),,
UT113,Are there different words for younger and older relatives for relations other than siblings?,1,Gerson Klumpp (p.c. 2020),,
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,1,Gerson Klumpp (p.c. 2020),,"E.g., Ket kvendigaj ‘old (persons)’ vs. tēbij ‘old (things)’."
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Gerson Klumpp (p.c. 2020),,
UT116,Is there contrastive length for consonants?,1,Gerson Klumpp (p.c. 2020),,Only in Ket.
UT117,Is there contrastive length for vowels?,1,Gerson Klumpp (p.c. 2020),,
UT118,Is there a contrast between short and long unstressed vowels?,1,Gerson Klumpp (p.c. 2020),,
UT119,Is there a contrast in the length of geminate consonants?,0,Gerson Klumpp (p.c. 2020),,
UT120,Are there more than two phonological quantities?,0,Gerson Klumpp (p.c. 2020),,
UT121,Are there extralong syllables?,0,Gerson Klumpp (p.c. 2020),,
UT122,Is the main foot structure trochaic?,1,Gerson Klumpp (p.c. 2020),,
UT123,Is there lexically distinctive word stress?,0,Gerson Klumpp (p.c. 2020),,
UT124,Is there morphologically conditioned stress?,1,Gerson Klumpp (p.c. 2020),,"E.g., some Ket verb derivation markers (semelfactive -ol, inchoative -æ, desiderative marker -ændʒ) attract stress."
UT125,Is there fixed primary stress?,0,Gerson Klumpp (p.c. 2020),,
UT126,Is there stress in heavy syllables?,1,Gerson Klumpp (p.c. 2020),,
UT127,Is there non-initial primary stress?,0,Gerson Klumpp (p.c. 2020),,
UT128,Is there palatal vowel harmony?,0,Gerson Klumpp (p.c. 2020),,Rudimentary.
UT129,Is there velar vowel harmony?,0,Gerson Klumpp (p.c. 2020),,
UT130,Is there labial vowel harmony?,0,Gerson Klumpp (p.c. 2020),,
UT131,Are there closing diphthongs?,0,Gerson Klumpp (p.c. 2020),,
UT132,Are there opening diphthongs?,0,Gerson Klumpp (p.c. 2020),,
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Gerson Klumpp (p.c. 2020),,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Gerson Klumpp (p.c. 2020),,
UT135,Is there a high front rounded vowel /y/?,1,Gerson Klumpp (p.c. 2020),,
UT136,Is there a mid-high front rounded vowel /ø/?,1,Gerson Klumpp (p.c. 2020),,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,1,Gerson Klumpp (p.c. 2020),,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,1,Gerson Klumpp (p.c. 2020),,
UT139,Is there a low back rounded vowel /ɒ/?,1,Gerson Klumpp (p.c. 2020),,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Gerson Klumpp (p.c. 2020),,
UT141,Are there word-initial consonant clusters?,0,Gerson Klumpp (p.c. 2020),,In foreign words and in younger loans.
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Gerson Klumpp (p.c. 2020),,
UT143,Are there consonant clusters in the syllable coda?,1,Gerson Klumpp (p.c. 2020),UT143,"However, not exactly sure about syllabification."
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Gerson Klumpp (p.c. 2020),UT143,
UT145,Are there word-final clusters of three or more consonants?,1,Gerson Klumpp (p.c. 2020),,
UT146,Are there palatalized alveolar consonants?,1,Gerson Klumpp (p.c. 2020),,Not distinctive.
UT147,Are there palatalized labial and velar consonants?,1,Gerson Klumpp (p.c. 2020),,Not distinctive.
UT148,Is there a palatal stop?,1,Gerson Klumpp (p.c. 2020),,
UT149,Is there a palatal nasal /ɲ/?,1,Gerson Klumpp (p.c. 2020),,
UT150,Is there a palatal lateral /ʎ/?,1,Gerson Klumpp (p.c. 2020),,
UT151,Is there a velar nasal /ŋ/?,1,Gerson Klumpp (p.c. 2020),,
UT152,Is there an alveolar affricate /t͡s/?,0,Gerson Klumpp (p.c. 2020),,In recent Russian loans.
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Gerson Klumpp (p.c. 2020),,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,1,Gerson Klumpp (p.c. 2020),,
UT155,"Are there voiced plosives (e.g., /b g d/)?",1,Gerson Klumpp (p.c. 2020),,In intervocalic position.
UT156,Is there a glottal stop /ʔ/?,0,Gerson Klumpp (p.c. 2020),,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",1,Gerson Klumpp (p.c. 2020),,"k : kw, q : qw"
UT158,Is there a constraint on the word-initial alveolar trill /r/?,1,Gerson Klumpp (p.c. 2020),,
UT159,Is there a laryngeal fricative /h/?,1,Gerson Klumpp (p.c. 2020),,
UT160,Is there a voiced velar fricative /ɣ/?,1,Gerson Klumpp (p.c. 2020),,Free variation with ... g.
UT161,Is there a voiceless velar fricative /x/?,1,Gerson Klumpp (p.c. 2020),,Free variation with … k.
UT162,Is there a voiced dental fricative /ð/?,0,Gerson Klumpp (p.c. 2020),,
UT163,Is there a labio-velar approximant /w/?,1,Gerson Klumpp (p.c. 2020),,
UT164,Is there a voiceless labiodental fricative /f/?,1,Gerson Klumpp (p.c. 2020),,
UT165,Is there radical qualitative consonant gradation?,1,Gerson Klumpp (p.c. 2020),,In the Ket dialect.
UT166,Is there quantitative consonant gradation?,1,Gerson Klumpp (p.c. 2020),,
