ID,Name,Akkala.Saami,Source,Example,Comment
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Zaikov 1987:120-121,,
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Zaikov 1987:120-121,,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,Zaikov 1987:124,UT084,
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Zaikov 1987:116-128,,
UT086,Is there a locative case that expresses goal?,1,Zaikov 1987:120-121,UT086,
UT087,Is there a locative case that expresses location?,0,Zaikov 1987:121-122,,
UT088,Is there a locative case that expresses source?,0,Zaikov 1987:121-122,,
UT089,Is there case syncretism for goal and location marking?,0,Zaikov 1987:120-122,,
UT090,Is there case syncretism for location and source marking?,1,Zaikov 1987:121-122,"UT090-1, UT090-2",
UT091,Are there two sets of local cases?,0,Zaikov 1987:116-128,,
UT092,Are there three or more sets of local cases?,0,Zaikov 1987:116-128,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,Zaikov 1987:123-124,"UT093-1, UT093-2",
UT094,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Zaikov 1987:123-124,,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,1,Zaikov 1987:122-123,"UT095-1, UT095-2",
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Zaikov 1987:122-123,,
UT097,Is there a dedicated case that expresses equativity?,0,Zaikov 1987:116-128,,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Zaikov 1987:116-128,,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Zaikov 1987:116-128,,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,0,Zaikov 1987:in passim,,
UT101,Can the marking of the possessor in the attributive construction vary?,1,Zaikov 1987:in passim,"UT101-1, UT101-2",
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,Zaikov 1987:in passim,,
UT103,Are singular and plural possessee distinguished in the possessive declension?,0,Zaikov 1987:138-140,,
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,0,Zaikov 1987:in passim,,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,0,Zaikov 1987:in passim,,
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,1,Zaikov 1987:126,"UT106-1, UT106-2",
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,0,Zaikov 1987:in passim,,
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,0,Zaikov 1987:in passim,,
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,1,Zaikov 1987:in passim,UT093-2,
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",1,Zaikov 1987:135-138,"UT110-1, UT110-2, UT110-3, UT110-4",
UT111,Are case and number marked cumulatively across the paradigm?,1,Zaikov 1987:104-105,,
UT112,Are there different words for mother’s brother and father’s brother?,1,Zaikov 1987:175; Eliseev et al. 2007:290,"UT112-1, UT112-2","A survey of the existing corpus yields two words for 'uncle', although there is no direct evidence for the concrete meaning, the etymology suggests the semantic contrast in question."
UT113,Are there different words for younger and older relatives for relations other than siblings?,?,Ilya Egorov (p.c. 2025),,"There is no evidence for the semantic contrast in question in Akkala Saami. However, it is likely to have existed in Akkala Saami, since it is present in the better-documented neighbouring Saami languages. In the absence of evidence, we are forced to mark this feature with '?'."
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,0,Genetz 1891:in passim,,"There is an animacy distinction only for 'new/young', one adjective 'old' is used for animate and inanimate. However, there is a specialized adjective 'eldest'."
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Genetz 1891:in passim,,
UT116,Is there contrastive length for consonants?,1,Zaikov 1987:65-68,"UT116-1, UT116-2","The length of consonants and vowels is interconnected:long vowels appear before short consonants, and short vowels before long consonants. However, beyond the phonological section of Zaikov's grammar, there are many deviations from this pattern. While Zaikov (1987) attempts to argue for a phonological basis for vowel quality opposition. However, there is a clear contrast between single and geminated consonants. The situation remains somewhat unclear."
UT117,Is there contrastive length for vowels?,1,Zaikov 1987:33-34,"UT117-1, UT117-2, UT117-3","The length of consonants and vowels is interconnected:long vowels appear before short consonants, and short vowels before long consonants. However, beyond the phonological section of Zaikov's grammar, there are many deviations from this pattern. While Zaikov (1987) attempts to argue for a phonological basis for vowel quality opposition, the situation remains somewhat unclear."
UT118,Is there a contrast between short and long unstressed vowels?,1,Zaikov 1987:37,"UT118-1, UT118-2",There is a contrast between short and long vowels /i/ vs /iː/ and /ɛ/ vs /ɛː/. At least the opposition /i/ vs /iː/ is independent of the quantity of consonants.
UT119,Is there a contrast in the length of geminate consonants?,1,Zaikov 1987:33-34,"UT117-1, UT117-2","Zaikov (1987) does not claim it explicitly, however, qualitative opposition in vowels in some examples should correlate to the contrast in duration of geminate consonants."
UT120,Are there more than two phonological quantities?,1,"Zaikov 1987:33-37, 65-68","UT120-1, UT120-2","If geminates before short vowels can be interpreted as long geminates, one can distinguish three consonant quantities. However, it is not possible to establish a minimum triple."
UT121,Are there extralong syllables?,1,Zaikov 1987:90,"UT121-1, UT121-2",
UT122,Is the main foot structure trochaic?,1,Zaikov 1987:in passim,"UT122-1, UT122-2",Trisyllabic dactyl feet are also possible.
UT123,Is there lexically distinctive word stress?,0,Zaikov 1987:in passim,,
UT124,Is there morphologically conditioned stress?,?,Ilya Egorov (p.c. 2025),,"There is no evidence for morphologically conditioned stress, as there are no accentuated texts. However, since some morphemes in neighbouring Saami languages require obligatory secondary stress, it can be assumed that this is also the case in Akkala Saami. In the absence of evidence, we are forced to mark this feature with '?'."
UT125,Is there fixed primary stress?,1,Zaikov 1987:in passim,"UT125-1, UT125-2",
UT126,Is there stress in heavy syllables?,0,Zaikov 1987:in passim,,
UT127,Is there non-initial primary stress?,0,Zaikov 1987:in passim,,
UT128,Is there palatal vowel harmony?,0,Zaikov 1987:in passim,,
UT129,Is there velar vowel harmony?,0,Zaikov 1987:in passim,,
UT130,Is there labial vowel harmony?,0,Zaikov 1987:in passim,,
UT131,Are there closing diphthongs?,0,Buzanov et al. 2023,,"Zaikov (1987:41) lists some rising diphthongs, but this is the result of misinterpreting single vowels followed by glides."
UT132,Are there opening diphthongs?,1,Zaikov 1987:40-41,"UT132-1, UT132-2, UT132-3",
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Zaikov 1987:28-33,,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Zaikov 1987:28-33,,
UT135,Is there a high front rounded vowel /y/?,0,Zaikov 1987:28-33,,
UT136,Is there a mid-high front rounded vowel /ø/?,0,Zaikov 1987:28-33,,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,0,Zaikov 1987:28-33,,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,0,Zaikov 1987:28-33,,
UT139,Is there a low back rounded vowel /ɒ/?,1,Zaikov 1987:28-33,"UT139-1, UT139-2",
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Zaikov 1987:28-33,UT140,
UT141,Are there word-initial consonant clusters?,1,Zaikov 1987:74,"UT141-1, UT141-2",
UT142,Are there word-internal consonant clusters in the syllable onset?,1,Zaikov 1987:89,"UT142-1, UT142-2",
UT143,Are there consonant clusters in the syllable coda?,1,Zaikov 1987:75,"UT143-1, UT143-2",
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Zaikov 1987:85-89,"UT144-1, UT144-2, UT142-1",
UT145,Are there word-final clusters of three or more consonants?,0,Zaikov 1987:in passim,,
UT146,Are there palatalized alveolar consonants?,1,Zaikov 1987:43-58,"UT146-1, UT146-2, UT146-3",
UT147,Are there palatalized labial and velar consonants?,1,Zaikov 1987:43-58,"UT147-1, UT147-2, UT147-3",
UT148,Is there a palatal stop?,1,Zaikov 1987:43-58,"UT148-1, UT148-2",
UT149,Is there a palatal nasal /ɲ/?,1,Zaikov 1987:43-58,"UT149-1, UT149-2",
UT150,Is there a palatal lateral /ʎ/?,0,Zaikov 1987:43-58,,
UT151,Is there a velar nasal /ŋ/?,1,Zaikov 1987:43-58,"UT151-1, UT151-2",
UT152,Is there an alveolar affricate /t͡s/?,1,Zaikov 1987:43-58,"UT143-2, UT152-1",
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Zaikov 1987:43-58,"UT153-1, UT153-2",
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,1,Zaikov 1987:43-58,"UT154-1, UT154-2",
UT155,"Are there voiced plosives (e.g., /b g d/)?",1,Zaikov 1987:43-58,"UT155-1, UT155-2, UT155-3",
UT156,Is there a glottal stop /ʔ/?,0,Zaikov 1987:43-58,,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Zaikov 1987:43-58,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Zaikov 1987:43-58,,
UT159,Is there a laryngeal fricative /h/?,1,Zaikov 1987:43-58,"UT159-1, UT159-2",
UT160,Is there a voiced velar fricative /ɣ/?,1,Zaikov 1987:43-58,"UT160-1, UT160-2",Allophone of /g/ occurring in the word-final position after a vowel and in intervocalic position.
UT161,Is there a voiceless velar fricative /x/?,1,Zaikov 1987:43-58,"UT161-1, UT161-2",
UT162,Is there a voiced dental fricative /ð/?,0,Zaikov 1987:43-58,,
UT163,Is there a labio-velar approximant /w/?,1,Zaikov 1987:43-58,"UT163-1, UT163-2",
UT164,Is there a voiceless labiodental fricative /f/?,1,Zaikov 1987:43-58,"UT164-1, UT164-2",/f/ occurs in Russian borrowings only.
UT165,Is there radical qualitative consonant gradation?,1,Zaikov 1987:65-68,"UT165-1, UT165-2",
UT166,Is there quantitative consonant gradation?,1,Zaikov 1987:65-68,"UT166, UT116-1, UT117-1",
