ID,Name,Value,Source,Example,Comment
UT020,Is there grammatical marking of the immediate future?,0,Lytkin 1962:in passim,,
UT021,Is there grammatical marking of the pluperfect?,1,F. Gulyás Nikolett (p.c. 2020),UT021,
UT022,Can aspect be expressed overtly in the negative marker?,0,F. Gulyás Nikolett (p.c. 2020),,
UT023,Can tense be expressed overtly in the negative marker?,1,Lytkin 1962:245-246,UT023,
UT024,Is there grammatical marking of mirativity?,0,Lytkin 1962:in passim,,
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,F. Gulyás Nikolett (p.c. 2020),,
UT026,Is there morphological marking on the verb dedicated to irrealis?,0,F. Gulyás Nikolett (p.c. 2020),,
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,0,F. Gulyás Nikolett (p.c. 2020),,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,F. Gulyás Nikolett (p.c. 2020),,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,0,F. Gulyás Nikolett (p.c. 2020),,The respective marker (potential) has been lost.
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,F. Gulyás Nikolett (p.c. 2020),,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",0,F. Gulyás Nikolett (p.c. 2020),,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",0,F. Gulyás Nikolett (p.c. 2020),,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,F. Gulyás Nikolett (p.c. 2020),,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,F. Gulyás Nikolett (p.c. 2020),,
UT035,Is there a reflexive conjugation?,0,F. Gulyás Nikolett (p.c. 2020),,Reflexivity is expressed by means of a separate word.
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,1,Bartens 2000:187; Lytkin 1962:254,UT037,Only in negative forms of the II (evidential) Past
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,1,Lytkin 1962:247,UT200,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,1,Lytkin 1962:247,UT040,
UT201,Can an infinitival verb form be used in a directive function?,0,Nikolay Kuznetsov (p.c. 2020),,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,F. Gulyás Nikolett (p.c. 2020),,
UT044,Are there sentences without overt verbal arguments?,1,Lytkin 1962:247-248,UT044,"It is, however, common to use se 'this'."
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,F. Gulyás Nikolett (p.c. 2020),,
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,"F. Gulyás Nikolett (p.c. 2020), Lytkin 1962:254",UT202,
UT047,Can locative constructions commonly occur without a copula?,1,Gribanov 1940:15,UT047,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,F. Gulyás Nikolett (p.c. 2020),"UT048-1, UT048-2, UT048-3",
UT049,Does existential negation have a special negator?,1,Gribanov 1940:156,UT049,A separate operator is used for the present tense.
UT050,Can standard negation be asymmetric in the present tense?,1,Lytkin 1962:253,UT050,
UT051,Can non-finite dependent clauses use the standard negation construction?,0,F. Gulyás Nikolett (p.c. 2020),,
UT052,Is there a special negator that combines with non-finite forms?,1,Gribanov 1940:176,"UT052-1, UT052-2",
UT053,Are there special negative non-finite forms?,1,"Gribanov 1940:176, 180","UT053-1, UT053-2",
UT054,Is there an impersonal passive construction?,0,F. Gulyás Nikolett (p.c. 2020),,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Gribanov 1940:175-176,"UT055, UT063-1",
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,0,Gribanov 1940:176,,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,1,F. Gulyás Nikolett (p.c. 2020),UT057,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Gribanov 1940:176,UT058,
UT059,Is there a future participle?,0,F. Gulyás Nikolett (p.c. 2020),,
UT060,Are there participles that can encode their subject with possessive suffixes?,0,Bartens 2000:341,,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,F. Gulyás Nikolett (p.c. 2020),,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,1,"Lytkin 1962:205, 280; Mayshev 1940:72","UT063-1, UT063-2",
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,1,F. Gulyás Nikolett (p.c. 2020),"UT064-1, UT064-2",
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Lytkin 1962:in passim,,
UT066,Is OV the neutral order in affirmative imperative clauses?,1,F. Gulyás Nikolett (p.c. 2020),"UT066-1, UT066-2",Both OV and VO are possible.
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,1,F. Gulyás Nikolett (p.c. 2020),UT067,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Lytkin 1962:260,,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,0,Lytkin 1962:in passim,,
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,1,F. Gulyás Nikolett (p.c. 2020),UT072,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Lytkin 1962:217-218,UT073,
UT074,Is there a bound superlative degree marker on property words?,1,Lytkin 1962:216,UT074,An analythic superlative is used as well.
UT075,Can adpositions have person/number marking?,1,Lytkin 1962:307,"UT075-1, UT075-2",
UT076,Are there adpositions that show a tripartite system?,1,Lytkin 1962:306; Мayshev 1940:77,"UT076-1, UT076-2, UT076-3",
UT077,Is there case compounding?,1,F. Gulyás Nikolett (p.c. 2020),UT077,
UT078,Are there morphological cases only used with pronouns?,0,F. Gulyás Nikolett (p.c. 2020),,
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,F. Gulyás Nikolett (p.c. 2020),,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Lytkin 1962:227,UT080,
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,1,Lytkin 1962:185,UT082,
UT083,Is there a dedicated case that expresses a terminative meaning?,1,Lytkin 1962:193,"UT083-1, UT083-2",
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,Lytkin 1962:188-189,UT084,
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,1,Lytkin 1962:191-192,UT085,
UT086,Is there a locative case that expresses goal?,1,Lytkin 1962:191,UT086,
UT087,Is there a locative case that expresses location?,1,Lytkin 1962:189-190,UT087,
UT088,Is there a locative case that expresses source?,1,Lytkin 1962:190-191,UT088,
UT089,Is there case syncretism for goal and location marking?,1,Bartens 2000:111,UT089,There is syncretism between the illative and inessive in the possessive declention.
UT090,Is there case syncretism for location and source marking?,0,Bartens 2000:78,,
UT091,Are there two sets of local cases?,1,Bartens 2000:108; Tsypanov 1999:41-42,"UT091-1, UT091-2",
UT092,Are there three or more sets of local cases?,1,Tsypanov 1999:41-49,"UT091-1, UT091-2, UT092",
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,Lytkin 1962:187-188,UT093,
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",1,"
Lytkin 1962:188-189",UT203,
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,0,Bartens 2000:78,,
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Bartens 2000:78,,
UT097,Is there a dedicated case that expresses equativity?,0,Bartens 2000:78,,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,F. Gulyás Nikolett (p.c. 2020),,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Lytkin 1962:177,,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,0,Lytkin 1962:14,,"Due to Russian influence, a plural form is typical nowdays."
UT101,Can the marking of the possessor in the attributive construction vary?,1,Lytkin 1962:184-185,UT101,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,1,"
Lytkin 1962:184-185",UT102,
UT204,Are singular and plural possessee distinguished in the possessive declension? ,0,Bartens 2000:112; Mayshev 1940:27-37,,
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,1,Mayshev 1940:26,UT104,
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,1,Mayshev 1940:26,UT105,
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,0,Lytkin 1962:239,,
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,1,F. Gulyás Nikolett; Karavaev et al. 1940:76-77,UT107,
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,1,F. Gulyás Nikolett; Karavaev et al. 1940:76-77,UT108,
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,1,"Lytkin 1962:233, 238-239",UT109,The demonstrative stem сiя is the same as the 3rd person pronoun.
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",0,Tsypanov 1999:50-52,,
UT205,Are case and number marked cumulatively across the paradigm?,0,Gribanov 1940:27,,
UT112,Are there different words for mother’s brother and father’s brother?,?,F. Gulyás Nikolett (p.c. 2020),,
UT113,Are there different words for younger and older relatives for relations other than siblings?,?,F. Gulyás Nikolett (p.c. 2020),,
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,1,F. Gulyás Nikolett (p.c. 2020),"UT114-1, UT114-2",
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,F. Gulyás Nikolett (p.c. 2020),,
UT116,Is there contrastive length for consonants?,0,Lytkin 1962:in passim,,
UT117,Is there contrastive length for vowels?,0,F. Gulyás Nikolett (p.c. 2020),,
UT118,Is there a contrast between short and long unstressed vowels?,0,F. Gulyás Nikolett (p.c. 2020),,
UT119,Is there a contrast in the length of geminate consonants?,0,F. Gulyás Nikolett (p.c. 2020),,
UT120,Are there more than two phonological quantities?,0,F. Gulyás Nikolett (p.c. 2020),,
UT121,Are there extralong syllables?,0,F. Gulyás Nikolett (p.c. 2020),,
UT122,Is the main foot structure trochaic?,0,F. Gulyás Nikolett (p.c. 2020),,
UT123,Is there lexically distinctive word stress?,1,Lytkin 1962:94,"UT123-1, UT123-2",
UT124,Is there morphologically conditioned stress?,1,Lytkin 1962:94,"UT124-1, UT124-2",
UT125,Is there fixed primary stress?,0,F. Gulyás Nikolett (p.c. 2020),,
UT126,Is there stress in heavy syllables?,0,F. Gulyás Nikolett (p.c. 2020),,"Many affixes take stress, but not because they are heavy syllables."
UT127,Is there non-initial primary stress?,1,Lytkin 1962:93,"UT127-1, UT127-2",Primary stress can fall on many derivational suffixes.
UT128,Is there palatal vowel harmony?,0,F. Gulyás Nikolett (p.c. 2020),,
UT129,Is there velar vowel harmony?,0,F. Gulyás Nikolett (p.c. 2020),,
UT130,Is there labial vowel harmony?,0,F. Gulyás Nikolett (p.c. 2020),,
UT131,Are there closing diphthongs?,0,F. Gulyás Nikolett (p.c. 2020),,
UT132,Are there opening diphthongs?,0,Lytkin 1962:76,,"There are some exceptions, e.g., юöр 'message'."
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,F. Gulyás Nikolett (p.c. 2020),,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,F. Gulyás Nikolett (p.c. 2020),,
UT135,Is there a high front rounded vowel /y/?,0,F. Gulyás Nikolett (p.c. 2020),,
UT136,Is there a mid-high front rounded vowel /ø/?,0,F. Gulyás Nikolett (p.c. 2020),,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,1,F. Gulyás Nikolett (p.c. 2020),UT137,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,1,F. Gulyás Nikolett (p.c. 2020),UT138,
UT139,Is there a low back rounded vowel /ɒ/?,0,F. Gulyás Nikolett (p.c. 2020),,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,0,F. Gulyás Nikolett (p.c. 2020),,
UT141,Are there word-initial consonant clusters?,1,Lytkin 1962:79,"UT141-1, UT141-2, UT141-3","Only in loan words, descriptive words, and few exceptions."
UT142,Are there word-internal consonant clusters in the syllable onset?,?,F. Gulyás Nikolett (p.c. 2020),,
UT143,Are there consonant clusters in the syllable coda?,1,F. Gulyás Nikolett (p.c. 2020),UT143,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,F. Gulyás Nikolett (p.c. 2020),UT144,
UT145,Are there word-final clusters of three or more consonants?,0,Lytkin 1962:in passim,,
UT146,Are there palatalized alveolar consonants?,0,Lytkin 1962:in passim,,
UT147,Are there palatalized labial and velar consonants?,0,F. Gulyás Nikolett (p.c. 2020),,
UT148,Is there a palatal stop?,1,Lytkin 1962:73-74,UT148,
UT149,Is there a palatal nasal /ɲ/?,1,Lytkin 1962:74,UT149,
UT150,Is there a palatal lateral /ʎ/?,1,Nikolay Kuznetsov (p.c. 2020),UT150,
UT151,Is there a velar nasal /ŋ/?,0,Lytkin 1962:in passim,,
UT152,Is there an alveolar affricate /t͡s/?,0,Nikolay Kuznetsov (p.c. 2020),,"It is found in new loanwords (Lytkin 1962: 74), e.g., улица 'street'"
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Lytkin 1962:74,UT153,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,1,Nikolay Kuznetsov (p.c. 2020),UT154,
UT155,"Are there voiced plosives (e.g., /b g d/)?",1,Lytkin 1962:72,"UT155-1, UT155-2, UT155-3",
UT156,Is there a glottal stop /ʔ/?,0,Nikolay Kuznetsov (p.c. 2020),,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,F. Gulyás Nikolett (p.c. 2020),,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,F. Gulyás Nikolett (p.c. 2020),,
UT159,Is there a laryngeal fricative /h/?,0,F. Gulyás Nikolett (p.c. 2020),,Only in loanwords.
UT160,Is there a voiced velar fricative /ɣ/?,0,F. Gulyás Nikolett (p.c. 2020),,
UT161,Is there a voiceless velar fricative /x/?,0,F. Gulyás Nikolett (p.c. 2020),,
UT162,Is there a voiced dental fricative /ð/?,0,F. Gulyás Nikolett (p.c. 2020),,
UT163,Is there a labio-velar approximant /w/?,0,F. Gulyás Nikolett (p.c. 2020),,
UT164,Is there a voiceless labiodental fricative /f/?,0,F. Gulyás Nikolett (p.c. 2020),,Only in loanwords.
UT165,Is there radical qualitative consonant gradation?,0,F. Gulyás Nikolett (p.c. 2020),,
UT166,Is there quantitative consonant gradation?,0,Nikolay Kuznetsov (p.c. 2020),,
