ID,Name,Courland.Livonian,Source,Example,Comment
UT022,Can aspect be expressed overtly in the negative marker?,0,Blokland 2025:385-386; Viitso 2008:321,,
UT023,Can tense be expressed overtly in the negative marker?,1,Blokland 2025:385-386; Viitso 2008:321,UT023,
UT024,Is there grammatical marking of mirativity?,0,Viitso 2025:319-320,,
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Viitso 2025:319-320,,
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Viitso 2025:319-320,UT026,
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Viitso 2025:319-320,UT027,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,1,"Laakso 2022:386; Viitso 2008:324, 344",UT028,The so called debitive forms are commonly used to convey deontic necessity.
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,0,Viitso 2008:319-320,,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Viitso 2008:319-320,,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Blokland 2025:386,UT031,"The jussive form is used; however, there is no distinction between different persons in the singular (see also UT032)."
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",1,Blokland 2025:386,UT032,"The jussive form is used; however, there is no distinction between different persons in the singular (see also UT031)."
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,1,Kurpniece 2023:60-61,UT033,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Viitso 2008:319-320,,
UT035,Is there a reflexive conjugation?,0,Blokland 2025:381-383,,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,1,Blokland 2025:386,UT037,
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,1,Viitso 2008:321,UT200,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,1,Miina Norvik (p.c. 2019),,
UT201,Can an infinitival verb form be used in a directive function?,0,Miina Norvik (p.c. 2019),,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,0,Miina Norvik (p.c. 2019),,"In Livonian,  it is more common to use laz + the jussive form."
UT044,Are there sentences without overt verbal arguments?,1,Viitso 2008:343,UT044,"Still,  the subject place may also be occupied,  e.g. by vī'm 'rain',  lu'm 'snow' etc."
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,1,Miina Norvik (p.c. 2019),UT045,
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,Miina Norvik (p.c. 2019),UT202,
UT047,Can locative constructions commonly occur without a copula?,0,Viitso 2008:343,,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Blokland 2025:401,"UT048-1, UT048-2",
UT049,Does existential negation have a special negator?,0,Viitso 2008:in passim; Blokland 2025:in passim,,
UT050,Can standard negation be asymmetric in the present tense?,1,"Blokland 2025:382, 385","UT050-1, UT050-2",
UT051,Can non-finite dependent clauses use the standard negation construction?,1,Miina Norvik (p.c. 2019),UT051,
UT052,Is there a special negator that combines with non-finite forms?,0,Miina Norvik (p.c. 2019),,
UT053,Are there special negative non-finite forms?,1,Blokland 2025:391-392; Viitso 2008:324,UT053,
UT054,Is there an impersonal passive construction?,1,Norvik 2015,UT054,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Kehayov et al. 2025:443,"UT055-1, UT055-2",
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,0,Kehayov et al. 2025:in passim,,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,1,Kehayov et al. 2025:443,UT057,"In Livonian, the passive present participle can relativize the P argument but in addition to that it can also relativize obliques."
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",0,Miina Norvik (p.c. 2019),,
UT059,Is there a future participle?,0,Blokland 2025:392; Viitso 2008:322-324,,
UT060,Are there participles that can encode their subject with possessive suffixes?,0,Blokland 2025:377,,Possessive suffixes have been lost.
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,Miina Norvik (p.c. 2019),,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,0,Kehayov et al. 2025:441,,The action nominal is formed with the suffix -imi.
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,1,Blokland 2025:391-393; Viitso 2008:324-325,"UT064-1, UT064-2","Livonian also has a separate active present participle but it is rearly used,  the agentive nominalization tends to be used instead."
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Blokland 2025:391-393; Viitso 2008:322-324,,
UT066,Is OV the neutral order in affirmative imperative clauses?,0,Viitso 2008:341-342,,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,1,Miina Norvik (p.c. 2019),UT067,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Viitso 2008:in passim; Blokland 2025:in passim,,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,1,Viitso 2008:343,"UT071-1, UT071-2","The possessor is expressed with the genitive, which can also be employed to encode action nominalizations in agent and patient roles."
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,1,Viitso 2008:326,"UT072-1, UT072-2",The genitive case can be used in both instances.
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Viitso 2008:324,UT073,
UT074,Is there a bound superlative degree marker on property words?,0,Blokland 2025:380; Viitso 2008:330,,
UT075,Can adpositions have person/number marking?,0,Blokland 2025:377; Viitso 2008:336,,Possessive suffixes have been lost.
UT076,Are there adpositions that show a tripartite system?,1,Viitso 2008:333-334,UT076,"In Livonian one can also encounter syncretism,  especially in the case of adpositions expressing external location."
UT077,Is there case compounding?,0,Blokland 2025:374-377; Viitso 2025:325-330,,
UT078,Are there morphological cases only used with pronouns?,0,Viitso 2008:325-330,,
UT079,Does the numeral modification of a noun have an effect on its case selection?,1,Blokland 2025:400,UT079,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Blokland 2025:400,UT079,
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,1,Blokland 2025:20; Viitso 2008:326-327,UT082,"Untypically for a Finnic language, Livonian has the dative case."
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Blokland 2025:374; Viitso 2025:325-330,,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,0,Blokland 2025:377,,The abessive case has been replaced by the prepositional construction bäs 'without' + a noun in the partitive case.
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Blokland 2025:374; Viitso 2025:325-329,,
UT086,Is there a locative case that expresses goal?,1,Viitso 2008:327,UT086,
UT087,Is there a locative case that expresses location?,1,Viitso 2008:327,UT087,
UT088,Is there a locative case that expresses source?,1,Viitso 2008:328,UT088,
UT089,Is there case syncretism for goal and location marking?,1,Blokland 2025:376,UT089,The addessive and allative (not included in the case paradigm nowadays) show conflation.
UT090,Is there case syncretism for location and source marking?,0,Blokland 2025:374-377; Viitso 2025:325-330,,
UT091,Are there two sets of local cases?,0,"Blokland 2025: 374, 376",,The external local cases occur in fossilized adverbs.
UT092,Are there three or more sets of local cases?,0,Blokland 2025:374,,
UT093,Is there a dedicated case that expresses the means by which something is carried out (instrumental) and/or accompaniment (comitative)?,1,Viitso 2008:327,"UT093-1, UT093-2",The so-called instrumental case is used in both functions.
UT203,"Is there a case that expresses the means by which something is carried out (instrumental), which is different from a case that expresses accompaniment (comitative) or other relations?",0,Viitso 2008:327,,The accompaniment is expressed by what is called the instrumental case (see GB093).
UT095,Is there a dedicated case that expresses the result of a change of state (translative) and/or a state of being (essive)?,0,Viitso 2008:327-328,,The translative has collapsed withe the instrumental case; there are only lexicalized examples of the essive case.
UT096,"Is there a case that expresses a state of being (essive), which is different from a case that expresses the result of a change of state (translative) or other relations?",0,Viitso 2008:328; Blokland 2025:377,,"There is no dedicated translative case, but the instrumental case is used (see GB093)."
UT097,Is there a dedicated case that expresses equativity?,0,Blokland 2025:in passim; Viitso 2008:in passim,,
UT098,Is there an inflectional nominal marker for expressing benefactive or destinative semantics independent from the dative?,0,Blokland 2025:374-377; Viitso 2025:325-330,,
UT099,Is there (in addition to the basic declension) a declension different from a possessive declension? ,0,Blokland 2025:374,,
UT100,Is it possible to use the singular with the paired body parts/clothing/accessories that accompany them?,0,Miina Norvik (p.c. 2019),,
UT101,Can the marking of the possessor in the attributive construction vary?,0,Viitso 2008:343,,
UT102,Can the possessor in the attributive construction be encoded with the nominative?,0,Viitso 2008:343,,"In Livonian, the nominative and genitive forms rarely differ. However,  formally the genitive case is used in attributive constructions."
UT204,Are singular and plural possessee distinguished in the possessive declension? ,0,Blokland 2025:377,,There are no possessive suffixes.
UT104,Can a 2Sg possessive suffix be used to mark definiteness?,0,Blokland 2025:377,,There are no possessive suffixes.
UT105,Can a 3Sg possessive suffix be used to mark definiteness?,0,Blokland 2025:377,,There are no possessive suffixes.
UT106,Is there a human vs. non-human distinction in independent interrogative pronouns?,0,Viitso 2008:331-332,,
UT107,Does 'who' commonly appear as a relative pronoun used for animates other than humans?,1,Viitso 2008:331-332,UT107,
UT108,Does 'who' commonly appear as a relative pronoun used for inanimates?,1,Viitso 2008:331-332,UT108,"However,  the usage of 'who' with inanimates is not very common."
UT109,Can a demonstrative stem be used as a pronoun with a 3Sg human referent?,1,Viitso 2008:332,UT109,
UT110,"Are there possessive suffixes, the position of which varies in relation to case/number suffixes?",0,Blokland 2025:377,,There are no possessive suffixes.
UT205,Are case and number marked cumulatively across the paradigm?,0,Miina Norvik (p.c. 2025),,"Possible in some cases but not across the entire paradigm, e.g., vanāǟma-d-õn (grandmother-PL-DAT) ’to the grandmothers’."
UT112,Are there different words for mother’s brother and father’s brother?,0,Viitso and Ernštreits 2012,,
UT113,Are there different words for younger and older relatives for relations other than siblings?,0,Viitso and Ernštreits 2012,,
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,0,Viitso and Ernštreits 2012,,
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Viitso and Ernštreits 2012,,
UT116,Is there contrastive length for consonants?,1,Laakso 2022:383,"UT116-1, UT116-2",
UT117,Is there contrastive length for vowels?,1,Laakso 2022:383,"UT117-1, UT117-2",
UT118,Is there a contrast between short and long unstressed vowels?,0,Lehiste et al. 2008:16,,
UT119,Is there a contrast in the length of geminate consonants?,1,Lehiste et al. 2008:94; Markus et al. 2012:229-233,"Ut119-1, UT119-2",
UT120,Are there more than two phonological quantities?,1,Pajusalu 2012:203-205,"UT120-1, UT120-2",
UT121,Are there extralong syllables?,1,Laakso 2022:383,UT121,
UT122,Is the main foot structure trochaic?,1,Viitso 2008:313,UT122,
UT123,Is there lexically distinctive word stress?,0,Viitso 2008:313,,
UT124,Is there morphologically conditioned stress?,1,Viitso 2008:313,UT124,
UT125,Is there fixed primary stress?,1,Viitso 2012:13,UT125,
UT126,Is there stress in heavy syllables?,0,Viitso 2008:313-315,,
UT127,Is there non-initial primary stress?,0,Viitso 2012:13,,
UT128,Is there palatal vowel harmony?,0,Lehiste et al. 2008:16,,
UT129,Is there velar vowel harmony?,0,Pajusalu 2012:217-219,,
UT130,Is there labial vowel harmony?,0,Lehiste et al. 2008:16,,
UT131,Are there closing diphthongs?,1,Tuisk 2016:131-132,UT131,
UT132,Are there opening diphthongs?,1,Tuisk 2016:131-132,UT132,
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Lehiste et al. 2008:91,,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Lehiste et al. 2008:91,,
UT135,Is there a high front rounded vowel /y/?,0,Tuisk 2016:128,,
UT136,Is there a mid-high front rounded vowel /ø/?,0,Tuisk 2016:128,,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,1,Tuisk 2016:128,UT137,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,1,Tuisk 2016:128,UT138,
UT139,Is there a low back rounded vowel /ɒ/?,0,Vihman 1971:83,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Lehiste et al. 2008:84-91,"UT140-1, UT140-2",
UT141,Are there word-initial consonant clusters?,1,Viitso 2008:313; Pajusalu 2012: 212-213,UT141,
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Viitso 2007:49,,
UT143,Are there consonant clusters in the syllable coda?,1,Viitso 2007; Lehiste et al. 2008:56-57,UT143,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Viitso 2007,UT143,
UT145,Are there word-final clusters of three or more consonants?,1,"Viitso 2007; Kettunen 1938:XXVII, XXXIX",UT145,
UT146,Are there palatalized alveolar consonants?,1,Tuisk 2016:123-125,"UT146-1, UT146-2",
UT147,Are there palatalized labial and velar consonants?,0,Tuisk 2016:124,,
UT148,Is there a palatal stop?,0,Tuisk 2016:124,,
UT149,Is there a palatal nasal /ɲ/?,0,Tuisk 2016:124,,
UT150,Is there a palatal lateral /ʎ/?,0,Tuisk 2016:124,,
UT151,Is there a velar nasal /ŋ/?,0,Tuisk 2016:124,,
UT152,Is there an alveolar affricate /t͡s/?,1,Tuisk 2018:195-196,UT152,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",1,Tuisk 2018:195-196,UT153,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,1,Tuisk 2016:124,UT154,
UT155,"Are there voiced plosives (e.g., /b g d/)?",1,Tuisk 2016:123-124,UT155,
UT156,Is there a glottal stop /ʔ/?,0,Viitso 2008:267,,
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Tuisk 2016:124,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Tuisk 2016:124-125,,
UT159,Is there a laryngeal fricative /h/?,0,Laakso 2022:382; Kettunen 1938:XXXV,,
UT160,Is there a voiced velar fricative /ɣ/?,0,Tuisk 2016:124,,
UT161,Is there a voiceless velar fricative /x/?,0,Tuisk 2016:124,,
UT162,Is there a voiced dental fricative /ð/?,0,Tuisk 2016:124,,
UT163,Is there a labio-velar approximant /w/?,0,Tuisk 2016:124,,
UT164,Is there a voiceless labiodental fricative /f/?,0,Tuisk 2016:125,,Occurs only in foreign words.
UT165,Is there radical qualitative consonant gradation?,0,Viitso 2007; Pajusalu 2012:203-205,,
UT166,Is there quantitative consonant gradation?,1,Viitso 2007; Pajusalu 2012:203-205,"UT166-1, UT166-2",
