ID,Name,Description,ColumnSpec,Area,Contribution_ID,Feature_Description,Source
UT012,Does object marking depend on the verb conjugation form?,,,Syntax,UT,"
The marking of the direct object may depend on the verb form (see also UT010 and UT011). For instance, in Estonian, the imperative verb form takes an object in the nominative case (1a) and the negative verb form requires an object in the partitive case (1b). 

(1) Estonian<br/>
>a. *Võta         **võti**!*<br/>
>   take.IMP.2SG  key.NOM<br/>
>   ‘Take the key’

>b. *Ära võta **võtit**!*<br/>
>   ära           võta      võti-t<br/>
>   NEG.IMP.2SG   take.CNG  key-PRT<br/>
>   ‘Don’t take the key!’

## Coding

The value is '1' if the verb conjugation form can have an effect on the case selection of the object (as in Estonian). When answering the question, only finite forms were considered; object conjugation was not considered.",
UT013,Is there differential subject marking?,,,Syntax,UT,"
In addition to differential object marking (see UT010-UT012), languages may also show differential subject marking (DSM). In a broad sense, a different case for a subject, or a different agreement or position for a subject can already count as DSM; in a narrower sense, such differences ought to depend on the features of the subject in some way to be regarded as DSM ([Woolford 2009](sources.bib?label=Woolford+2009#cldf:Woolford2009):17). Here, we are only interested in differences in case marking in finite clauses that depend on the features of the subject. For example, in Estonian, the nominative case may be used for identification or expressing a definite amount of something (1a), whereas the partitive case may be used to express an indefinite amount of something (1b). The Estonian examples are both instances of an existential clause.

(1) Estonian<br/>
>a. *Laual on **leib***<br/>
>laua-l on leib<br/>
>table-ADE be.3SG bread.NOM<br/>
>‘There is the bread on the table’

>b. *Laual on **leiba***<br/>
>laua-l on leiba<br/>
>table-ADE  be.3SG bread.PRT<br/>
>‘There is some bread on the table’

## Coding

The value is '1', if subject marking differs depending on the features of the subject. When answering the question, only finite clauses were considered.
",Woolford2009
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",,,Syntax,UT,"
""If two clauses within a complex sentence have an argument in common, a syntactic pivot may determine which co-referetial participants within a sentence can be ellipsed, and which not"" ([Aikhenvald 2015](sources.bib?label=Aikhenvald+2015#cldf:aikhenvald_2015):257). If S (= subject in an intransitive sentence) and A (=subject in a transitive sentence) can be conflated, the language has an 'accusative' pivot (cf. UT015 for ergative pivot). This is true for Estonian (1), where Ø can only be understood to refer to the subject (i.e., it was the thief and not the woman who ran away).

(1) Estonian<br/>
>***Varas** (A) lõi naist (P) ja Ø (S) jooksis ära*<br/>
>varas lõ-i nais-t ja jooks-is ära<br/>
>thief hit-PST.3SG woman-PRT and run-PST.3SG away<br/>
>‘The thief hit the woman and ran away’

## Coding

The value is '1' if the shared argument that is omitted functions as the subject.
",aikhenvald_2015
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",,,Syntax,UT,"
Apart from languages where S and A can be conflated across clause boundaries (cf. UT014) there are also languages that can combine S (= subject in an intransitive sentence) and P (= object in a transitive sentence), which implies an 'ergative' pivot (see [Aikhenvald 2015](sources.bib?label=Aikhenvald+2015#cldf:aikhenvald_2015):258). East Mansi (1) shows this possibility.

(1) East Mansi<br/>
>***tolmax** (A) neem (P) senktǝstǝ, Ø il xajtǝs*<br/>
>tolmax nee-m senktǝ-stǝ, il xajtǝs<br/>
>thief woman-ACC hit-PST.SG>3SG away run-PST.3SG<br/>
>'The thief hit the woman, and she ran away'

## Coding

The value is '1' if S and P can be conflated (as in East Mansi). The value is '0' if the shared argument that is omitted functions as S or A (cf. UT014).
",aikhenvald_2015
UT016,Is there grammatical marking of habituality?,,,Syntax,UT,"
The habitual expresses a situation (an event or state of affairs)that can be viewed as characteristic of an extended period of time ([Comrie 1976](sources.bib?label=Comrie+1976#cldf:comrie_1976): 27-28). This question asks whether a language has means  other than lexical ones to express habituality. In Tundra Nenets, there is an morphological marker for conveying habituality (1), whereas in Meadow Mari a periphrastic device (a compound past tense) is used (2). 

(1) Tunda Nenets<br/>
>*mənc°ras´ətid°m*<br/> 
>mənc°ra-s´əti-d°m<br/> 
>work-HAB-1SG<br/>
>‘I usually work’<br/>
>([Nikolaeva 2014](sources.bib?label=Nikolaeva+2014#cldf:nikolaeva_grammar_2014):84)

(2) Meadow Mari<br/>
>*Йыван ончыч тамак-ым **ок шупш ыле***<br/>
>jəvɑn ont͡ɕət͡ɕ tɑmɑk-əm ok ʃupʃ əʎe<br/>
>Yyvan before tobacco-ACC NEG.3SG smoke.CNG be.PST1.3SG<br/>
>'Yyvan didn’t use to smoke'<br/>
>([Riese et al. 2019](sources.bib?label=Riese+et+al.+2019#cldf:riese_mari_2019):224)<br/>

## Coding

The value is '1' if the expression of habituality can be clearly attributed to a grammatical device.
",comrie_1976;nikolaeva_grammar_2014;riese_mari_2019
UT017,Is there grammatical marking of frequentativity?,,,Morphology,UT,"
The frequentative is used to describe a situation (an event or state of affairs) as frequently repeating. The aim of this question is to determine whether frequentativity can be expressed by means other than lexical ones. Both in North Mansi (1) and Hungarian (2), a derivational suffix is used to convey frequentativity.

(1) North Mansi<br/>
>*suns-* vs. *suns-**iyl**-*<br/>
>'to watch' vs. 'to watch repeatedly'<br/>
>([Riese 2001](sources.bib?label=Riese+2001#cldf:riese_vogul_2001):58)

(2) Hungarian <br/>
>*olvas* vs. *olvas-**gat***<br/> 
>'to read' vs. 'to read repeatedly'

## Coding

The value is '1' if the expression of frequentativity can be clearly attributed to a grammatical device. If only lexical means are available in a language, the answer is '0'.
",riese_vogul_2001
UT018,Is there grammatical marking of progressivity?,,,Syntax,UT,"
The progressive views the situation “as ongoing at a single point in time, but it does not exhaustively localize the event” ([Bertinetto et al. 2000](sources.bib?label=Bertinetto+et+al.+2000#cldf:bertinetto_et_al_2000):527). Historically, progressives often have locative sources, and development into progressives has involved erosion of the locative meaning (e.g., B[ybee et al. 1994](sources.bib?label=ybee+et+al.+1994#cldf:bybee_et_al_1994)). This question asks whether a language contains a dedicated means to express progressivity. Finnish and South Saami use a periphrastic construction consisting of an auxiliary 'be' + a non-finite verb form (1-2). In South Saami, the auxiliary verb may be dropped.

(1) Finnish<br/>
>***Olen kirjoittamassa** pientä artikkelia*<br/>
>ole-n kirjoitta-ma-ssa pien-tä artikkelia<br/>
>be-1SG read-SUP-INE snall-PRT article.PRT<br/>
>‘I am writing a small article’

(2) South Saami<br/> 
>*Manne Staaresne **årroeminie***<br/>
>1SG Staare.INE live.PROG<br/> 
>‘I am living in Östersund’

## Coding

The value is '1' if there is a grammatical device that can be associated with the expression of progressivity. The value is '1' even if in some contexts the corresponding device may appear with a non-progressive (such as locative) meaning.
",bertinetto_et_al_2000;bybee_et_al_1994
UT019,Is it common to use a verb in the present tense for future time reference?,,,Syntax,UT,"
Future time reference (FTR) may be expressed in several ways. One option is to use the present tense form of the lexical verb and deduce the future meaning from the context, e.g., a temporal adverb (such as 'tomorrow', 'next year') may give rise to a future reading; aspectual relations may also play a role ([Dahl 2000](sources.bib?label=Dahl+2000#cldf:Dahl_2000)). Usage of the present tense for FTR is common, for instance, in Hungarian (1).

(1) Hungarian<br/>
>*Jövő télen **veszek** egy új autót*<br/>
>jövő tél-en vesz-ek egy új autó-t<br/>
>next winter-SUPESS buy-PRS.1SG a new car-ACC<br/>
>‘Next winter I will buy a new car’<br/>
>([Rounds 2001](sources.bib?label=Rounds+2001#cldf:rounds_hungarian_2001):50)

## Coding

The value is '1' if FTR is commonly expressed using the verb in its present tense form. If a language has a dedicated future marker (an inflection, auxiliary, or derivation), the answer is usually '0'.
",Dahl_2000;rounds_hungarian_2001
UT020,Is there grammatical marking of the immediate future?,,,Syntax,UT,"
A language may contain more than one means for expressing future time reference. For instance, there may be a separate device for expressing the immediate future (B[ybee et al. 1994](sources.bib?label=ybee+et+al.+1994#cldf:bybee_et_al_1994)). For the immediate future, a situation can be viewed as about to take place. Whereas in Nganasan, the resultative has this function (1), in Estonian, a periphrastic device may be used (2).

(1) Nganasan<br/> 
>*tǝuɁkiɁinǝ*<br/> 
>tǝu-Ɂki-Ɂi-nǝ<br/> 
>fly-RES-AOR.RFL-1SG.RFL<br/> 
>'I'm just flying to Dudinka'<br/>
>([Wagner-Nagy 2018](sources.bib?label=Wagner-Nagy+2018#cldf:wagner-nagy_grammar_2018):212)

(2) Estonian<br/> 
>*Rong **on väljumas***<br/> 
>rong on välju-ma-s<br/> 
>train be.3SG leave-SUP-INE<br/> 
>'The train is about to leave'

## Coding

The value is '1' if there is a grammatical device (either morphological or periphrastic), which can be used to express an action that is about to happen (regardless of other possible functions the corresponding device may have). Instances of a lexical verb used in the past tense form to convey an immediate activity were not considered (e.g., Estonian *Läksime!* go.PST.1PL ‘Off we go!’, cf. Russian *пошли*).
",bybee_et_al_1994;wagner-nagy_grammar_2018
UT021,Is there grammatical marking of the pluperfect?,,,Syntax,UT,"
The pluperfect is used to locate a situation in the past prior to a reference point that is also in the past; thus, it can be regarded as 'past in the past' ([Comrie 1985](sources.bib?label=Comrie+1985#cldf:comrie_1985):65). Whereas in example (1) the referece point is established by the subordinate clause, example (2) shows that the reference time is not necessarily expressed in the same sentence. Both periphrastic (1) as well as morphological means (2) suffice for '1'.

(1) Estonian<br/>
>*Kui ma saabusin, **oli** ta juba **lahkunud***<br/>
>kui ma saabu-si-n, ol-i ta juba lahku-nud<br/>
>when 1SG arrive-PST-1SG be-PST.3SG 3SG already leave-ACT.PST.PTCP<br/>
>‘When I arrived, s/he had already left’

(2) Nganasan<br/>
>*sɨtɨ bǝðürbüǝ ńemɨnǝ sǝd'ǝǝ-mǝnu **kontud'üǝd'ǝǝ***<br/>
>sɨtɨ bǝðürbüǝ ńemɨ-nǝ sǝd'ǝǝ-mǝnu kontu-d'üǝd'ǝǝ<br/>
>s/he dead.man.[ACC] mother-GEN.1SGPOSS way-PROL carry-PPF.[3SG]<br/>
>'He had carried a dead body across my mother's way'<br/>
>([Wagner-Nagy 2018](sources.bib?label=Wagner-Nagy+2018#cldf:wagner-nagy_grammar_2018))

## Coding

The value is '1' if there is a dedicated pluperfect device, either periphrastic or morphological.
",comrie_1985;wagner-nagy_grammar_2018
UT022,Can aspect be expressed overtly in the negative marker?,,,Morphology,UT,"
Languages that allow grammatical categories to occur in the negative marker (typically called the *negative auxiliary*) differ as to which grammatical categories can be expressed in the negative auxiliary and which in the lexical verb. This question investigates whether aspect can occur in the negative marker. For instance, in Nganasan, the iterative suffix *-kǝ* and habitual suffix *-muŋha* (both derivational) appear in the negative auxiliary ([Gusev 2015](sources.bib?label=Gusev+2015#cldf:gusev_2015):107).

(1) Nganasan<br/>
>*munugǝtu*  vs.  ***ńigǝti̮** munǝˀ*<br/>
>munu-gǝ-tu  vs.  ńi-gǝ-ti̮ munǝ-ˀ<br/>
>say-ITER-PRS.3SG vs. NEG-ITER-PRS.3SG say-CNG<br/>
>'(S)he regularly says' vs. '(S)he doesn't (regularly) say'<br/>
([Gusev 2015](sources.bib?label=Gusev+2015#cldf:gusev_2015):107)

## Coding

The value is '1' if aspect can be expressed overtly in the negative marker. The value is '0' if such marking is not possible.
",gusev_2015
UT023,Can tense be expressed overtly in the negative marker?,,,Morphology,UT,"
Languages that allow grammatical categories to occur in the negative marker (usually called the *negative auxiliary*) differ as to which grammatical categories can be expressed in the negative auxiliary and which in the lexical verb (cf. also UT022). The aim of this question is to determine whether tense can be expressed in the negative marker, as in South Saami (cf. 1a and 1b).

(1) South Saami<br/>
>a. ***Im** lohkh*<br/>
>NEG.1SG read.CNG<br/>
>‘I do not read’

>b. ***Idtjim** lohkh*<br/>
>NEG.PST.1SG read.CNG<br/>
>‘I did not read’

## Coding

The value is '1' if tense can be overtly expressed in the negative marker. If no such marking is possible, the value is '0'.",
UT024,Is there grammatical marking of mirativity?,,,Morphology,UT,"
Mirativity is a grammatical category used to denote new, unexpected, and/or surprising situations. Although mirativity may be viewed as a subcategory of evidentiality (inferentiality) since it often arises as an extension of evidentiality, there are also reasons to view it separately: (i) an unexpected situation is not necessarily inferred; (ii) it may emerge as an extension of tense or mood [](sources.bib?label=#cldf:oudb_ob-ugric_2017)([OUDB)](sources.bib?label=OUDB%29#cldf:oudb_ob-ugric_2017). Mirativity is regarded as a separate category in North Mansi (example 1), where it is shown to have evolved through desubordination (see [Skribnik 2005](sources.bib?label=Skribnik+2005#cldf:skribnik_complex_2005)). In Khanty dialects, the categories of evidentiality and mirativity reveal different origins ([Nikolaeva 1999](sources.bib?label=Nikolaeva+1999#cldf:nikolaeva_semantics_1999)).

(1) North Mansi<br/>
>*Anʲ aːm jujipaːlumt taj maːkoləŋ oːjka ta **joːmiɣt-aneːte***<br/>
>Anʲ aːm jujipaːl-um-t taj maːkoləŋ oːjka ta joːmiɣt-aneː-te<br/>
>now  I  behind-SG<1SG-LOC EMPH bear ACT1 lunge.out-MIR.PRS-3SG<br/>
>‘There is a bear lunging out behind meǃ’<br/>
>[](sources.bib?label=#cldf:oudb_ob-ugric_2017)([OUDB)](sources.bib?label=OUDB%29#cldf:oudb_ob-ugric_2017)

## Coding

The value is '1' if there is a dedicated marker to denote new, unexpected, and/or surprising situations. Both morphological and periphrastic means count.
",nikolaeva_semantics_1999;oudb_ob-ugric_2017;skribnik_complex_2005
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,,,Morphology,UT,"
Desiderative modality expresses a desire or wish of the subject referent to bring about a particular state of affairs. For example, Mari has a separate desiderative mood marked with *-ne* (1); it has no verb meaning 'to want' ([Riese et al. 2019](sources.bib?label=Riese+et+al.+2019#cldf:riese_mari_2019):238-246). (The term *optative* may also be used.)

(1) Meadow Mari<br/>
>*луднем : луднет* etc.<br/>
>lud-ne-m : lud-ne-t etc.<br/>
>read-DES-1SG : read-DES-2SG<br/>
>‘I, you etc. want to/intend to read'<br/>
([Riese et al. 2019](sources.bib?label=Riese+et+al.+2019#cldf:riese_mari_2019):238)

## Coding

The value is '1' if there is a dedicated marker for the expression of a desire or wish and the marker is available with at least some lexical verbs and it occurs in different persons. Examples of a conditional mood used in a similar meaning do not suffice for '1', since the situation is regarded as possible only under certain conditions.
",riese_mari_2019
UT026,Is there morphological marking on the verb dedicated to irrealis?,,,Morphology,UT,"
It is possible to distinguish between events that have actualised (*realis*) and events that can only be imagined or wished for (*irrealis*) ([Mithun 1995](sources.bib?label=Mithun+1995#cldf:Mithun1995)). This question asks whether morphological marking is used to encode events regarded as nonactualised; see the conditional marking used in example (1). (Various terms may be used, e.g., *conditional*, *conjunctive*, *subjunctive*.) 

(1) Estonian<br/>
>*Ma **elaksin** maal, kui **saaksin***<br/>
>Ma ela-ksi-n maa-l, kui saa-ksi-n<br/>
>1SG live-COND-1SG country_side-ADE if can-COND-1SG<br/>
>'I would live in the countryside if I could' 

## Coding

The value is '1' if morphological marking is used to denote events regarded as nonactualised. In order to suffice for ‘1’ morphological marking has to be available at least for some lexical verbs. Thus, instances where irrealis is only expressed by phonologically independent means (such as particles or auxiliaries) count as '0'. <br/>
",Mithun1995
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,,,Morphology,UT,"
Counterfactuality may be defined as the “fictitious creation of a possible world which does not correspond to the actual world and therefore is “contrary to fact”"" ([Squartini 2016](sources.bib?label=Squartini+2016#cldf:squartini_2016):64). Counterfactuality may be expressed in connection with past, present, and future. In all cases, the protasis is contrary to fact, false, or unlikely. This question investigates whether the verb of the protasis is marked with a specific mood (the terms *conditional*, *irrealis* may be used). For example, Finnish (1) and Nganasan (2) make use of conditional marking.  

(1) Finnish<br/>
>*Jos **olisit** leiponut kakun, söisin sen*<br/>
>jos ol-isi-t leipo-nut kaku-n, sö-isi-n se-n<br/>
>if be-COND-2SG bake-ACT.PST.PTCP  cake-GEN eat-COND-1SG it-GEN<br/>
>’If you had baked a cake, I would eat it’

(2) Nganasan<br/>
>*mɨŋ ŋəməɁkəsuə **ihünüɁ** ńaagəiɁ kuntubaaðəińüɁ*<br/> 
>mɨŋ ŋəmə-Ɂkə-suə i-hü-nüɁ ńaagəi-Ɂ kuntu-baaðəi-ńüɁ<br/> 
>we eat-RES-PST.[3SG] be-COND-OBL.1PLPOSS good-ADV sleep-IRR.RFL-1PL.RFL<br/>
>‘If we had eaten, we would have slept well’<br/>
([Wagner-Nagy 2018](sources.bib?label=Wagner-Nagy+2018#cldf:wagner-nagy_grammar_2018)) 

## Coding

The value is '1' if in counterfactual conditional clauses verbs of the protasis (typically the 'if'-clause) are marked with a non-indicative mood.
",squartini_2016;wagner-nagy_grammar_2018
