Feature_ID,Feature,Value,Source,Comment,Example,
GB071,Are there morphological cases for pronominal core arguments (i.e. S/A/P)?,1,Nikolaeva (2014:47-50),,GB135,
GB072,Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?,1,Nikolaeva (2014:60-72),,GB273,
GB073,Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?,1,"Nikolaeva (2014:47-50, 61-62, 177)","A genitive pronominal case exists but use is rare, generally reserved for the oblique object of adjectival/postpositional phrases.",GB305,
GB074,Are there prepositions?,0,Nikolaeva (2014:1-511),Not mentioned.,,
GB075,Are there postpositions?,1,"Nikolaeva (2014:9, 51-52)",,GB075,
GB079,"Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",0,Nikolaeva (2014:8),,,
GB080,"Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",1,"Nikolaeva (2014:8-9, 44-46)",,"GB117-2, GB323",
GB081,Is there productive infixation in verbs?,0,Nikolaeva (2014:1-511),Not mentioned.,,
GB082,Is there overt morphological marking of present tense on verbs?,0,Nikolaeva (2014:80-81),,,
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,Nikolaeva (2014:81-82),,GB083,
GB084,Is there overt morphological marking on the verb dedicated to future tense?,1,Nikolaeva (2014:82-83),,GB084,
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,1,Nikolaeva (2014:45-46),"There is a fairly large number of derivational suffixes associated with perfective or imperfective aspect. For instance, the imperfectivizing suffix -(m)pe- ~-bə- expresses durative meaning: tola- 'to count, to read' > toal-bə- 'to keep counting, to keep reading'.",,
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?,1,Nikolaeva (2014:78-80),,GB084,
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,"Nikolaeva (2014:8, 78-80)",,,
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?,1,Nikolaeva (2014:78-80),,"GB105, GB134",
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,"Nikolaeva (2014:8, 78-80)",,,
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?,1,Nikolaeva (2014:78-80),,"GB105, GB134",
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,"Nikolaeva (2014:8, 78-80)",,,
GB095,Are variations in marking strategies of core participants based on TAM distinctions?,0,"Nikolaeva (2014:9, 78-110)",,,
GB096,Are variations in marking strategies of core participants based on verb classes?,0,"Nikolaeva (2014:9, 78-81)",,,
GB098,Are variations in marking strategies of core participants based on person distinctions?,0,"Nikolaeva (2014:9, 78-110)",,,
GB099,Can verb stems alter according to the person of a core participant?,?,Nikolaeva (2014:24-25),"There are several irregular stems which undergo vowel change, but the alternation seems motivated by tense and mood rather than person.",,
GB103,Is there a benefactive applicative marker on the verb (including indexing)?,0,"Nikolaeva (2014:78, 234-236)",,,
GB104,Is there an instrumental applicative marker on the verb (including indexing)?,0,"Nikolaeva (2014:63-64, 78, 234-236)",,,
GB105,Can the recipient in a ditransitive construction be marked like the monotransitive patient?,1,Nikolaeva (2014:224-239),,GB105,
GB107,"Can standard negation be marked by an affix, clitic or modification of the verb?",0,Nikolaeva (2014:272-274),,,
GB108,Is there directional or locative morphological marking on verbs?,0,Nikolaeva (2014:78),,,
GB109,Is there verb suppletion for participant number?,0,Nikolaeva (2014:24-25),Not mentioned.,,
GB110,Is there verb suppletion for tense or aspect?,1,Nikolaeva (2014:24-25),See comment GB300.,,
GB111,Are there conjugation classes?,1,Nikolaeva (2014:78-79),,"GB111-1, GB111-2",
GB113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,1,Nikolaeva (2014:230-231),,GB113,
GB114,Is there a phonologically bound reflexive marker on the verb?,0,"Nikolaeva (2014:48-50, 394-396)",,,
GB115,Is there a phonologically bound reciprocal marker on the verb?,0,"Nikolaeva (2014:48-50, 396-398)",,,
GB116,"Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?",0,Nikolaeva (2014:1-511),,,
GB117,Is there a copula for predicate nominals?,1,"Nikolaeva (2014:29-30, 250-256)",In the future tense and in oblique moods (e.g. probabilitive) the copula is required.,"GB117-1, GB117-2",
GB118,Are there serial verb constructions?,0,"Nikolaeva (2014:10, 425)",,,
GB119,"Can mood be marked by an inflecting word (""""auxiliary verb"""")?",1,Nikolaeva (2014:110-111),"Forms of the conditional exist whereby verb 'to be' acts as auxiliary, taking agreement marking and/or further mood marking.",GB117-2,
GB120,"Can aspect be marked by an inflecting word (""""auxiliary verb"""")?",0,Nikolaeva (2014:45-46),,,
GB121,"Can tense be marked by an inflecting word (""""auxiliary verb"""")?",1,Nikolaeva (2014:29-30),The verb 'to be' can stand as auxialiary to provide tense information for nominal predicates.,GB117-1,
GB122,Is verb compounding a regular process?,?,"Nikolaeva (2014:9, 44-47)",,,
GB123,Are there verb-adjunct (aka light-verb) constructions?,0,"Nikolaeva (2014:316, 320)",Not mentioned; those verbs referred to as 'light' are noted in converb constructions.,,
GB124,Is incorporation of nouns into verbs a productive intransitivizing process?,0,"Nikolaeva (2014:9, 224-227)",,,
GB126,Is there an existential verb?,1,Nikolaeva (2014:250-251),,"GB126-1, GB126-2",
GB127,Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?,0,Nikolaeva (2014:1-511),Not mentioned.,,
GB129,"Is there a notably small number, i.e. about 100 or less, of verb roots in the language?",0,Nikolaeva (2014:1-511),Not mentioned.,,
GB130,What is the pragmatically unmarked order of S and V in intransitive clauses?,1,"Nikolaeva (2014:9-10, 39, 42)",,GB084,
GB131,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,0,Nikolaeva (2014:9-10),,,
GB132,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,0,Nikolaeva (2014:9-10),,,
GB133,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,1,"Nikolaeva (2014:9-10, 38)",,GB204-1,
GB134,Is the order of constituents the same in main and subordinate clauses?,1,Nikolaeva (2014:283-290),,GB134,
GB135,Do clausal objects usually occur in the same position as nominal objects?,1,Nikolaeva (2014:346),,GB135,
GB136,Is the order of core argument (i.e. S/A/P) constituents fixed?,0,Nikolaeva (2014:213-215),,,
GB137,Can standard negation be marked clause-finally?,1,"Nikolaeva (2014:217-219, 272-276)","Standard negation requires the periphrastic combination of a negative, TAM marked auxiliary n'i-, along with the main verb bearing the connegative suffix -q. As a strictly verb-final language, this suffix is in almost all cases clause final (including which non-verbal predicates, which require a clause-final copula also in the connegative mood).",GB137,
GB138,Can standard negation be marked clause-initially?,0,"Nikolaeva (2014:217-219, 272-276)",,,
GB139,Is there a difference between imperative (prohibitive) and declarative negation constructions?,0,Nikolaeva (2014:272-274),,,
GB140,"Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?",0,"Nikolaeva (2014:250-251, 272-274)",Existential negation is expressed via the negative copula yəŋku.,,
GB146,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,0,Nikolaeva (2014:94-97),"The inferential and reportative moods can denote involuntary/uncontrolled events, but there is no dedicated marker or clean distinction in the sense of this feature.",,
GB147,Is there a morphological passive marked on the lexical verb?,1,Nikolaeva (2014:239-245),,GB304,
GB148,Is there a morphological antipassive marked on the lexical verb?,0,Nikolaeva (2014:in passim),,,
GB149,Is there a morphologically marked inverse on verbs?,0,Nikolaeva (2014:in passim),"Not mentioned, no examples - subject/object agreement is extensive enough to be sufficient.",,
GB150,Is there clause chaining?,0,Nikolaeva (2014:10),,,
GB151,"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""""switch reference"""")?",0,Nikolaeva (2014:387),,,
GB152,Is there a morphologically marked distinction between simultaneous and sequential clauses?,0,"Nikolaeva (2014:108-109, 316-317)","Simultaneous and sequential clauses are overtly marked via participles/nominalizers, but all seem to carry (im)perfective aspect as well.",,
GB155,Are causatives formed by affixes or clitics on verbs?,1,Nikolaeva (2014:230-232),,GB113,
GB156,Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?,0,"Nikolaeva (2014:230-231, 265)",,,
GB158,Are verbs reduplicated?,0,Nikolaeva (2014:9),,,
GB159,Are nouns reduplicated?,0,"Nikolaeva (2014:9, 30-32)",,,
GB160,Are elements apart from verbs or nouns reduplicated?,0,Nikolaeva (2014:9),,,
GB165,Is there productive morphological trial marking on nouns?,0,Nikolaeva (2014:57-60),,,
GB166,Is there productive morphological paucal marking on nouns?,0,Nikolaeva (2014:57-60),,,
GB167,Is there a logophoric pronoun?,0,Nikolaeva (2014:391),,,
GB170,Can an adnominal property word agree with the noun in gender/noun class?,0,Nikolaeva (2014:29-32),No gender,,
GB171,Can an adnominal demonstrative agree with the noun in gender/noun class?,0,Nikolaeva (2014:29-32),No gender,,
GB172,Can an article agree with the noun in gender/noun class?,0,"Nikolaeva (2014:141, 206-207)",,,
GB177,"Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?",0,Nikolaeva (2014:in passim),,,
GB184,Can an adnominal property word agree with the noun in number?,1,Nikolaeva (2014:43),,GB184,
GB185,Can an adnominal demonstrative agree with the noun in number?,1,"Nikolaeva (2014:43, 142)",,GB185,
GB186,Can an article agree with the noun in number?,0,"Nikolaeva (2014:141, 206-207)",,,
GB187,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?,1,Nikolaeva (2014:136),Also denotes an affectionate/positive attitude towards the referent.,GB187,
GB188,Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?,1,Nikolaeva (2014:138-139),Also denotes a negative/distasteful attitude towards the referent.,GB188,
GB192,Is there a gender system where a noun's phonological properties are a factor in class assignment?,0,Nikolaeva (2014:29-32),No gender,,
GB193,What is the order of adnominal property word and noun?,1,"Nikolaeva (2014:71, 141-142)",,GB059-1,
GB196,Is there a male/female distinction in 2nd person independent pronouns?,0,"Nikolaeva (2014:15, 47-48)",,,
GB197,Is there a male/female distinction in 1st person independent pronouns?,0,"Nikolaeva (2014:15, 47-48)",,,
GB198,Can an adnominal numeral agree with the noun in gender/noun class?,0,Nikolaeva (2014:29-32),,,
GB203,What is the order of the adnominal collective universal quantifier ('all') and the noun?,3,Nikolaeva (2014:159-160),,,
GB204,Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?,1,Nikolaeva (2014:158-162),"The quantifier malºh 'all' is compatible with higher grammatical functions, namely, the subject, the direct object and sometimes the indirect object and the possessor. It is very marginal with other grammatical functions where the quantifying adjective xussuweyº 'each' is used.","GB204-1, GB204-2",.
GB250,Can predicative possession be expressed with a transitive 'habeo' verb?,0,Nikolaeva (2014:250-251),,,
GB252,Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?,0,Nikolaeva (2014:250-251),,,
GB253,Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?,0,Nikolaeva (2014:250-251),,,
GB254,Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?,1,Nikolaeva (2014:250-251),,GB254,
GB256,Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?,0,Nikolaeva (2014:250-251),,,
GB257,Can polar interrogation be marked by intonation only?,1,Nikolaeva (2014:267),"Polar interrogatives are associated with particular intonation, namely, pitch raising on the penultimate and ultimate syllables, which may make the sentence final vowel longer.",,
GB260,Can polar interrogation be indicated by a special word order?,0,Nikolaeva (2014:267),,,
GB262,Is there a clause-initial polar interrogative particle?,0,"Nikolaeva (2014:53, 97-98, 267)",,,
GB263,Is there a clause-final polar interrogative particle?,0,"Nikolaeva (2014:53, 97-98, 267)",,,
GB264,Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?,0,"Nikolaeva (2014:53, 97-98, 267)",,,
GB265,"Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?",0,"Nikolaeva (2014:133-134, 174-175)",,,
GB266,Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?,1,"Nikolaeva (2014:133-134, 174-175, 63-65)",The standard of comparison stands in the ablative case.,GB266,
GB270,Can comparatives be expressed using two conjoined clauses?,0,Nikolaeva (2014:174-176),,,
GB273,Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?,0,"Nikolaeva (2014:64-65, 174-176)",,,
GB275,Is there a bound comparative degree marker on the property word in a comparative construction?,1,"Nikolaeva (2014:64-65, 174-176)",comparative affix -rka,GB276,
GB276,Is there a non-bound comparative degree marker modifying the property word in a comparative construction?,1,Nikolaeva (2014:174-176),The measure of comparison can be expressed by a construction with the postpositional word p'iruwºna 'compared to'.,GB276,
GB285,Can polar interrogation be marked by a question particle and verbal morphology?,0,"Nikolaeva (2014:53, 97-98, 267)",,,
GB286,Can polar interrogation be indicated by overt verbal morphology only?,1,"Nikolaeva (2014:53, 97-98, 267)",,GB286,
GB291,Can polar interrogation be marked by tone?,0,Nikolaeva (2014:in passim),,,
GB296,Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?,0,Nikolaeva (2014:in passim),,,
GB297,Can polar interrogation be indicated by a V-not-V construction?,0,Nikolaeva (2014:267),"A similar construction to English 'or not' exists, however : """"When the whole content of the clause is presented with an alternative, the main predicate is ""doubled"" by a negative auxiliary bearing the same agreement and tense/mood features."" Nikolaeva (2014:267). e.g.,
Wera to-sa n'i-sa? [Wera come-INTER NEG-INTER] 'Did Wera come or not?'.",,
GB298,"Can standard negation be marked by an inflecting word (""""auxiliary verb"""")?",1,Nikolaeva (2014:272-274),,GB306,
GB299,"Can standard negation be marked by a non-inflecting word (""""auxiliary particle"""")?",0,Nikolaeva (2014:272-274),,,
GB300,Does the verb for 'give' have suppletive verb forms?,1,Nikolaeva (2014:24-25),"The verb ta- 'to bring, to give' has the following irregular forms: taº '3SG', taq 'CONNEG', tada~tana 'IMPRF.PTCP', taq 'IMP.2SG', tətəº 'FUT.3SG'",,
GB301,Is there an inclusory construction?,0,Nikolaeva (2014:141-171),,,
GB302,"Is there a phonologically free passive marker (""""particle"""" or """"auxiliary"""")?",1,Nikolaeva (2014:239-245),The auxiliary 'to be' appears in the future tense and non-indicative moods.,GB302,
GB303,"Is there a phonologically free antipassive marker (""""particle"""" or """"auxiliary"""")?",0,Nikolaeva (2014:in passim),,,
GB304,Can the agent be expressed overtly in a passive clause?,1,Nikolaeva (2014:239-241),,GB304,
GB305,Is there a phonologically independent reflexive pronoun?,1,Nikolaeva (2014:48-49),,GB305,
GB306,Is there a phonologically independent non-bipartite reciprocal pronoun?,1,Nikolaeva (2014:49-50),"Formed from the dual or plural forms of the noun n'a 'companion, sibling, friend, relative'. ",GB306,
GB309,"Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?",0,Nikolaeva (2014:80-83),,,
GB312,Is there overt morphological marking on the verb dedicated to mood?,1,Nikolaeva (2014:85-106),,"GB322, GB326",
GB313,Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?,1,"Nikolaeva (2014:47-50, 60-62, 66-68, 142-148)","Pronominal possessors stand in the nominative, while lexical possessors take the genitive.",GB313,
GB314,Can augmentative meaning be expressed productively by a shift of gender/noun class?,0,Nikolaeva (2014:138-139),Not mentioned.,,
GB315,Can diminutive meaning be expressed productively by a shift of gender/noun class?,0,Nikolaeva (2014:136),Not mentioned.,,
GB316,Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?,0,Nikolaeva (2014:57),,,
GB317,Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?,0,Nikolaeva (2014:57-58),"In cases where the referent is new to the discourse, the dual will normally be marked via a numeral quantifier s'id'a 'two' and a noun in the singular.",,
GB318,Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?,0,Nikolaeva (2014:59-60),,,
GB319,Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?,0,Nikolaeva (2014:57-60),,,
GB320,Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?,0,Nikolaeva (2014:57-60),,,
GB321,Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?,0,Nikolaeva (2014:29-32),No gender,,
GB322,Is there grammatical marking of direct evidence (perceived with the senses)?,1,Nikolaeva (2014:113-115),,GB322,
GB323,"Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?",1,Nikolaeva (2014:93-106),"A great number of moods, formed by suffixation -inferential, reportative, dubitative, probablitative, approximative, reputative and debitive - which all denote some form of inferential causation.",GB323,
GB324,"Is there an interrogative verb for content interrogatives (who?, what?, etc.)?",1,Nikolaeva (2014:265-266),There are at least two question verbs:  xəqman- 'to say what' and its 'emphatic' variant xəqməl'e- ' to say what on earth'.,GB324,
GB325,Is there a count/mass distinction in interrogative quantifiers?,0,"Nikolaeva (2014:156, 162)",,,
GB326,Do (nominal) content interrogatives normally or frequently occur in situ?,1,"Nikolaeva (2014:266, 308-309)","Non-verbal word order is free in a simple clause - in situ interrogatives seem no more or less common than fronted forms, being marked by raised intonation rather than dedicated syntactic positioning. Coded 1 as in situ is the default position within the dependent clause.",GB326,
GB327,Can the relative clause follow the noun?,0,"Nikolaeva (2014:141, 295-296, 315-316)",,,
GB328,Can the relative clause precede the noun?,1,"Nikolaeva (2014:141, 295-296, 315-316)",,GB328,
GB329,Are there internally-headed relative clauses?,0,"Nikolaeva (2014:141, 295-296, 315-316)",,,
GB330,Are there correlative relative clauses?,0,Nikolaeva (2014:393-394),,,
GB331,Are there adjoined relative clauses?,0,"Nikolaeva (2014:291-292, 315-316, 393-394)",,,
GB333,Is there a decimal numeral system?,1,Nikolaeva (2014:52-53),,,
GB334,Is there synchronic evidence for any element of a quinary numeral system?,?,Nikolaeva (2014:52-53),,,
GB335,Is there synchronic evidence for any element of a vigesimal numeral system?,?,Nikolaeva (2014:52-53),,,
GB336,Is there a body-part tallying system?,?,Nikolaeva (2014:52-53),,,
GB400,"Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?",0,Nikolaeva (2014:78-80),,,
GB401,Is there a class of patient-labile verbs?,1,Nikolaeva (2014:225-226),,"GB401-1, GB401-2",
GB402,Does the verb for 'see' have suppletive verb forms?,0,Nikolaeva (2014:24-25),Not mentioned.,,
GB403,Does the verb for 'come' have suppletive verb forms?,1,Nikolaeva (2014:24-25),,"GB403-1, GB403-2",
GB408,Is there any accusative alignment of flagging?,1,"Nikolaeva (2014:9, 61, 78-80)",,GB026,
GB409,Is there any ergative alignment of flagging?,0,"Nikolaeva (2014:9, 61, 78-80)",Not mentioned.,,
GB410,Is there any neutral alignment of flagging?,0,"Nikolaeva (2014:9, 40-41, 78-80)",,,
GB415,Is there a politeness distinction in 2nd person forms?,0,Nikolaeva (2014:47-50),,,
GB421,Is there a preposed complementizer in complements of verbs of thinking and/or knowing?,0,"Nikolaeva (2014:10, 284, 326, 361-362)",,,
GB422,Is there a postposed complementizer in complements of verbs of thinking and/or knowing?,0,"Nikolaeva (2014:10, 284, 326, 361-362)",,,
GB430,Can adnominal possession be marked by a prefix on the possessor?,0,"Nikolaeva (2014:8, 66-70)",,,
GB431,Can adnominal possession be marked by a prefix on the possessed noun?,0,"Nikolaeva (2014:8, 66-70)",,,
GB432,Can adnominal possession be marked by a suffix on the possessor?,1,Nikolaeva (2014:142-144),,GB065,
GB433,Can adnominal possession be marked by a suffix on the possessed noun?,1,Nikolaeva (2014:66-70),,GB433,
GB519,"Can mood be marked by a non-inflecting word (""""auxiliary particle"""")?",0,"Nikolaeva (2014:53, 85-106)",,,
GB520,"Can aspect be marked by a non-inflecting word (""""auxiliary particle"""")?",0,"Nikolaeva (2014:53, 45-46)",,,
GB521,"Can tense be marked by a non-inflecting word (""""auxiliary particle"""")?",0,"Nikolaeva (2014:53, 80-85)",,,
GB522,"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""""pro-drop"""" or """"null anaphora"""")?",1,"Nikolaeva (2014:10, 386-387)",,GB522,
