ID,Language_ID,Primary_Text,Gloss,Translated_Text,Ref,Source,Original_Script,Comment
UT021-1,Estonian,"Kui ma saabu-si-n, ol-i ta juba lahku-nud",when 1SG arrive-PST-1SG be-PST.3SG 3SG already leave-ACT.PST.PTCP,"When I arrived, s/he had already left",,,,
UT021-2,Nganasan,sɨtɨ bǝðürbüǝ ńemɨ-nǝ sǝd'ǝǝ-mǝnu kontu-d'üǝd'ǝǝ,s/he dead.man.[ACC] mother-GEN.1SGPOSS way-PROL carry-PPF.[3SG],He had carried a dead body across my morther's way,Wagner-Nagy 2018,wagner-nagy_grammar_2018,,
UT022-1,Nganasan,munu-gǝ-tu  vs.  ńi-gǝ-ti̮ munǝ-ˀ,say-ITER-PRS.3SG vs. NEG-ITER-PRS.3SG say-CNG,(S)he regularly says' vs. '(S)he doesn't (regularly) say,Gusev 2015: 107,gusev_negation_2015[107],,
UT023-1a,South Saami,Im lohkh,NEG.1SG read.CNG,I do not read,,,,
UT023-1b,South Saami,Idtjim lohkh,NEG.PST.1SG read.CNG,I did not read,,,,
UT024-1,North Mansi,Anʲ aːm jujipaːl-um-t taj maːkoləŋ oːjka tajoːmiɣt-aneː-te,now  I  behind-SG<1SG-LOC EMPH bear ACT1 lunge.out-MIR.PRS-3SG,There is a bear lunging out behind meǃ,OUDB,oudb_ob-ugric_2017,,
UT025-1,Meadow_Mari,Мый луд-не-м,I read-DES-1SG,I want to/intend to read,Riese et al. 2019,riese_mari_2019,,
UT026-1,Estonian,"Ma ela-ksi-n maa-l, kui saa-ksi-n",1SG live-COND-1SG country_side-ADE if can-COND-1SG,I would live in the countryside if I could,,,,
UT027-1,Finnish,"Jos  ol-isi-t leipo-nut kaku-n, sö-isi-n se-n",if be-COND-2SG bake-ACT.PST.PTCP  cake-GEN eat-COND-1SG it-GEN,"’If you had baked a cake, I would eat it.",,,,
UT027-2,Nganasan,mɨŋ ŋəmə-Ɂkə-suə i-hü-nüɁ ńaagəi-Ɂ kuntu-baaðəi-ńüɁ,we eat-RES-PST.[3SG] be-COND-OBL.1PLPOSS good-ADV sleep-IRR.RFL-1PL.RFL,"If we had eaten, we would have slept well.",Wagner-Nagy 2018,wagner-nagy_grammar_2018,,
UT028-1,Tundra Nenets,ŋəmke-rʹi ŋota ŋod°q sʹidʹa-ŋe° xǣ-x°r-cʹu-nʹih,what-LIM DP too 2-ESS go-PREC-NEC-1DU,"Whatever happens, we should go together.",Nikolaeva 2014: 91,nikolaeva_grammar_2014[91],,
UT029-1,Finnish,Asia ratken-nee huomenna,thing resolev-POT.3SG tomorrow,The thing should be resolved tomorrow,,,,
UT030-1,Hungarian,bejö-het-sz,in_come-POT-2SG,you may come in,,,,
UT031-1,Finnish,Hän  tul-koon sisään,s/he  come-JUSS.3SG inside,Let him/her come inside!,,,,
UT031-2,Nganasan,sɨti baðǝ-tǝ-ndi buǝ-ŋǝǝ-ցǝj,they.DU essence-LAT-OBL.3SGPOSS speak-IMP-3DU,Let they both speak.,Wagner-Nagy 2018,wagner-nagy_grammar_2018,,
UT032-1,Estonian,"Ta  soovita-s,   et ma  min-gu  ees",3SG suggest-PST.3SG that 1SG go-JUSS in_front,S/he suggested that I should go ahead,,,,
UT033-1,Hungarian,"Nem akar-ja, hogy kijöjjünk a víz-ből",NEG want-3SG.DEF that out_come.SUBJ.1PL.INDEF DEF.ART water-ELA,S/he doesen't want us to come out from the water.,Rounds 2013,,,
UT034-1,Tundra Nenets,yer°mpoy°  nʹū-mʹi  ŋanʹih  nʹi-r°wa-q    xaŋkul°-q!,INTRJ   child-1SG  again  NEG-APPR-REFL.3SG  get.ill-CONNEG,If only my child wouldn’t get ill!,Nikolaeva 2014: 90,nikolaeva_grammar_2014[90],,
UT035-1a,Central_Veps,peze-n : peze-d,wash-1SG : wash-2SG,I wash : you wash,Grünthal 2015: 143,grunthal_vepsan_2015[143],,non-reflexive conjugation
UT035-1b,Central_Veps,peze-moi : peze-toi,wash-REFL.1SG : wash-REFL.2SG,I wash myself : you wash yourself,Grünthal 2015: 143,grunthal_vepsan_2015[143],,reflexive conjugation
UT037-1,Courland_Livonian,jel-īz-tõ,live-PST-2PL/3PL,you/they lived,,,,
UT037-2,Tundra Nenets,meŋa-xəyu-d′ih,,you two/they two take (sth),Nikoleaeva 2014: 79,nikolaeva_grammar_2014[79],,
UT038-1,Central_Veps,priha-d to-das,boy-PL bring-IPS.PRS,the boys bring (sth),,,,
UT038-2,Finnish,me oste-taan,we   buy-IPS.PRS,we buy,spoken language,,,
UT039-1,South Saami,Daesnie maehtieh åeredh,here can.3PL sleep.INF,It is possible to sleep here,,,,
UT039-2,Courland_Livonian,Siz mūndakõrd vȯstīztõ būomvillizt luoimõ,then sometimes buy.PST.3PL cotton.ADJ.PRT thread.PRT,Then sometimes cotton thread was bought,Viitso 2008: 321,viitso_liivi_2008[321],,
UT040-1,Central_Veps,Olude-spai  humalstu-d,beer-ELA get_drunk-2SG,One gets drunk from beer,Grünthal 2015: 125,grunthal_vepsan_2015[125],,
UT042-1,Estonian,Ta ol-la kodu-s,s/he be-INF home-INE,S/he is said to be at home,,,,
UT043-1,Udmurt,mon mɨn-iɕko vengri-je mɑɟjɑr kɨl-ez dɨʃet-ɨnɨ,1SG go-PRS.1SG Hungary-ILL Hungarian language-ACC study-INF,,,,Мон мынӥсько Венгрие мадьяр кылэз дышетыны,"Svetlana Edygarova & Nikolay Kuznetsov, p.c."
UT043-2,Estonian,"Ma lähe-n Ungari-sse, et ungari keel-t õppi-da",1SG go-1SG Hungary-ILL in_order Hungarian language-PRT study-INF,I’m going to Hungary in order to study Hungarian,,,,
UT044-1,Finnish,Sataa,rain.3SG,It is raining,,,,
UT044-2,South Saami,Tjåetskeme,cold_weather.NMLZ,It is cold,,,,
UT045-1,Estonian,Ta on õpetaja,s/he be.3SG teacher,S/he is a teacher,,,,
UT046-1,Courland_Livonian,Se  vȯļ/līb tä’m tidār mīez,this be.PST.3SG/will_be.3SG 3SG.GEN daugther.GEN husband,This was/will be his daugther’s husband,,,,
UT047-1,South Saami,Manne ålkone,I out,I am outside,,,,
UT047-2,Finnish,Minä ole-n ulkona,I be-1SG out,I am outside.,,,,
UT048-1a,Hungarian,Anna és Péter,,Anna and Peter,,,,
UT048-1b,Hungarian,Péter olvas és tanul,,Peter is reading and studying,,,,
UT048-1c,Hungarian,Péter olvas és Anna tanul,,Peter is reading and Anna is studying,,,,
UT049-1a,Hungarian,Nincs igazság a  Föld-ön,NEG justice ART world-ADE,There is no justice in the world,Rounds 2013: 271,rounds_2013[271],,
UT049-1b,Hungarian,jövö-k : nem jövö-k,come-1SG : NEG come-1SG,I'm coming : I'm not coming,Rounds 2013: 271,rounds_2013[271],,
UT050-1a,Courland_Livonian,ma lugū-b vs.  ma äb lu’g,I read-1SG  vs.  I NEG.PRS.1SG read.CNG,I read’ vs. ‘I don’t read,,,,
UT050-1b,Courland_Livonian,mēg lu’gg-õm vs. mēg äb lu’gg-õm,we read-1PL vs. we NEG.1PL read-1PL,we read’ vs. ‘we don’t read,,,,
UT051-1a,Hungarian,"Nem lát-va a kutyá-t, megbotl-ott",NEG see-PTCP DEF dog-ACC trip.over-PST.3SG,"As he did not see the dog, he tripped over",,,,
UT051-1b,Hungarian,Nem lát-ta meg a kutyá-t és megbotl-ott,NEG see-PST.3SG PRV DEF dog and trip.over-PST.3SG,He did not see the dog and tripped over,,,,
UT052-1a,Estonian,Küsimus-t mitte mõistes ta ei vasta-nud,question-PRT not understand.CVB s/he NEG answer-ACT.PST.PTCP,"Having not understood the question, s/he did not answer",,,,
UT052-1b,Estonian,"Ta ei mõist-nud küsimus-t, seega ta ei vastanud",3SG NEG understand-ACT.PST.PTCP question-PRT so 3SG NEG answer-ACT.PST.PTCP,"S/he did not understand the question, so s/he did not reply",,,,
UT053-1a,Northern Khanty,pe:jal-ti  xo:s-li   ńa:wre:m il   su:wil-ǝ-ti  pit-ǝ-s,swim-INF can-PTCP.NEG child   down  drown-EP-INF start-EP-PST.3SG,A child who could not swim started drowning.,Nikolaeva 1999: 34; cited through Shagal 2018,nikolaeva_semantics_1999[34];shagal_overview_2018,,
UT053-1b,Northern Khanty,jo:nt-li    je:rnas śuŋ-na   xu:j-ǝ-l,sew-PTCP.NEG  dress  corner-LOC  lie-EP-NONPST.3SG,A dress which someone did not finish sewing lies in the corner.,Nikolaeva 1999: 34; cited through Shagal 2018,nikolaeva_semantics_1999[34];shagal_overview_2018,,
UT054-1a,Estonian,Kuula-takse  muusika-t,listen-IPS.PRS music-PRT,The music is being listened,,,,
UT054-1b,Estonian,Siin ela-takse hästi,here live-IPS.PRS well,People live well here’ (lit. ‘It is lived well here’),,,,
UT055-1a,Finnish,lukeva poika,read.ACT.PST.PTCP boy,"(< *poika, joka lukee* 'a boy who is reading'; *poika* 'boy' = A; thus, the active present participle relativizes subjects)",,,,
UT055-1b,Finnish,luettu kirja,read.PASS.PST.PTCP book,"(< *lukea kirjaa* 'to read a book'; *kirja* 'book' = P; thus, the passive past participle relativizes P-arguments)",,,,
UT056-1,Hill Mari,[Vas’a(-n) ə̈lə̈-šäšlə̑k] pört-ə̈m mə̈n’ stroj-en-äm,Vasya(-GEN) live-PTCP.DEB house-ACC 1SG[NOM] build-PRF-1SG,I built the house in which Vasya will live,Shagal 2018: 57,shagal_overview_2018[57],,
UT057-1a,Udmurt,[val-ez š’už’ja-n] sǝ̑na-n-z-e Vaš’a ǝ̑st-i-z,horse-3 clean-PTCP comb-PTCP-3-ACC Vasya lose-PRT-3,Vasya lost the comb with which he used to clean the horse.,"Brykina and Aralova 2012: 511, cited through Shagal 2018: 74",brykina_and_aralova_2012[511];shagal_overview_2018[74],,
UT057-1b,Udmurt,mǝ̑nam nǝ̑l-e jarat-e mǝ̑niš’tem [lǝ̑ǯ’-on] kn’iga-m-e,1SG.GEN1 daughter-1SG love-PRS.3SG 1SG.GEN2 read-PTCP book-1-ACC,My daughter loves the book that I read to her.,"Brykina and Aralova 2012: 511, cited through Shagal 2018: 74",brykina_and_aralova_2012[511];shagal_overview_2018[74],,
UT058-2,Erzya,[a / avol’ lovn-ic’a] t’ejt’er’,NEG / NEG read-PTCP.PRS girl,a girl who does not read,,,,
UT059-1,Hill Mari,kɑt͡ʃ-ʃɑʃlək kində̈,eat-PTCP.FUT bread,bread that will/should be eaten,RHM 2017: 162,krasnova_reading_2017[162],кач-шашлык киндӹ,
UT060-1,Finnish,teke-mä-ni työ,do-AG.PTCP-POSS.1SG work,Work that I did,,,,
UT061-1,Hungarian,Az Anna említ-ett-e könyv,DEF Anna mention-PTCP-POSS.3SG book,The book mentioned by Anna,,,,
UT062-1,Finnish,Puhuin eilen lähete-ty-i-stä kirje-i-stä,speak-PST-1SG yesterday send-PTCP.PST-PL-ELA letter-PL-ELA,I was speaking about the letters that were sent yesterday,,,,
UT062-2,Finnish,uus-i-sta kirje-i-stä,new-PL-ELA letter-PL-ELA,(about) new letters,,,,
UT063-1a,Komi-Zyrian,mama-li̮s’ vur-e̮m] de̮re̮m me kos’al-i,mother-GEN2 sew-PTCP shirt 1SG tear-PST,I’ve torn the shirt mother sewed.,"Serdobolskaya & Paperno 2006: 1, cited through Shagal 2018: 59",serdobolskaya_and_paperno_2006[1],,Pechora dialect
UT063-1b,Komi-Zyrian,mama-le̮n de̮re̮m vur-e̮m] meni̮m kažitс’-e̮,mother-GEN shirt sew-NMLZ 1SG.DAT like-PRS.3>br/>,I like the way mother has sewn the shirt.,"Serdobolskaya & Paperno 2006: 1, cited through Shagal 2018: 59",serdobolskaya_and_paperno_2006[1],,Pechora dialect
UT064-1a,Courland_Livonian,a'ili-ji,run-AG.NMLZ,a runner,,,,
UT064-1b,Courland_Livonian,a'ili-ji i'bbi,run-AG.NMLZ horse.NOM,a running horse’ (lit. ‘a runner horse’),,,,
UT065-1a,Udmurt,vala-mon už,understand-PTCP work,comprehesible work,,,вала-мон уж,"Nikolay Kuznetsov & Svetlana Edygarova, p.c."
UT065-1b,Udmurt,vɑlɑ-mon verɑ-ɕki-z,understand-GER speak-PST-3SG,S/he spoke comprehensibly,,,вала-мон вера-ськи-з,"Nikolay Kuznetsov & Svetlana Edygarova, p.c."
UT066-1,Udmurt,t͡ɕɑj ju,tea[ACC] drink.IMP.2SG,Drink tea!,,,чай ю!,"Nikolay Kuznetsov & Svetlana Edygarova, p.c."
UT067-1,Estonian,Ära sõpru unusta!,NEG.IMP friend.PL.PRT forget.CNG,Don’t forget friends.,,,,
UT067-2,Udmurt,En das’a s’ion!,NEG  prepare.IMP:2SG  meal.NOM,Don’t prepare a meal!,"Edygarova et al., manuscript",edygarova_et_al_2017,,
UT068-1,Hungarian,át-néztem ~ 'néztem át,,I looked through,,,,
UT069-1,Courland_Livonian,sa-kutsõnd,PFX-call,have called together,,,,
UT070-1,Mansi,"ɑkweːkw, wɑːɣ-tɑːl pɑt-əm-risj-ən",grandmother strength-CAR get-MIR.PST-DIM-2SG,"Poor grandmother, you are tired!",,,,
UT071-1a,Estonian,poisi pese-mine,boy.GEN washing,washing of the boy (i.e. done by the boy)'/ 'washing the boy,,,,
UT071-1b,Estonian,poisi tuba,boy.GEN room,boy's room,,,,
UT072-1a,Estonian,luuletuse kirjutamine,poem.GEN writing,a poem writing,,,,
UT072-1b,Estonian,kirjuta-n luuletuse,write-1SG poem.GEN,I'll write a poem,,,,
UT073-1,Hungarian,a   fiú-k   magas-ak,DEF.ART  boy-PL.NOM  tall-PL.NOM,The boys are tall,,,,
UT073-2,Estonian,poisi-d  on   pika-d,boy-PL.NOM  be.3   tall-PL.NOM,The boys are tall,,,,
UT074-1,Finnish,kaunis : kauni-impi : kaune-in,beautiful : beautiful-COMP : beautiful-SUPL,beautiful' : 'more beautiful' : 'the most beautiful,,,,
UT075-1a,Hungarian,a múzeum mellett,,next to the museum,,,,
UT075-1b,Hungarian,mellette-m,1SG,next to me,,,,
UT075-1c,Hungarian,mellette-d,2SG,next to you,,,,
UT076-1a,Finnish,Kävele-n tal-on lähe-lle,walk-1SG house-GEN near-ALL,’I walk near the house,,,,
UT076-1b,Finnish,Ole-n   talo-n  lähe-llä,be-1SG  house-GEN near-ADE,I am near the house,,,,
UT076-1c,Finnish,Tule-n   talo-n   lähe-ltä,come-1SG house-GEN near-ABL,I come from near the house,,,,
UT077-1,Udmurt,gurt-len-ez-len,village-GEN-POSS.3SG-GEN,of the one that belongs to the village,Arkhangelskij & Usacheva 2018,arkhangelskiy_case_2018,,
UT078-1,Finnish,Minä halua-n sinu-t / kirja-n,1SG want-1SG you-ACC / book-GEN,’I want you / the book,,,,
UT079-1,Finnish,yksi ystävä :  kaksi ystävää,one.NOM.SG friend.NOM.SG :  two.NOM.SG friend.PRT.SG,one friend' : 'two friends,,,,
UT080-1,Komi-Zyrian,ɘci ɲebɘg : kuim ɲebɘg,one.NOM.SG book.NOM.SG : three.NOM.SG book.NOM.SG,one book' : 'three books,,,öти небöг : куим небöг,
UT081-1,Erzya,kalo-ń jam,fish-GEN soup,fish soup,Aasmäe 2012,aasmae_2012,,
UT082-1,Courland_Livonian,Ānda sīe minn-õn!,give.IMP.2SG this.GEN 1SG-DAT,Give it to me!,,,,
UT083-1a,Hungarian,pályaudvar-ig,railway_station-TERM,until the railway station,,,,
UT083-1b,Hungarian,péntek-ig,Friday-TERM,’until Friday,,,,
UT084-1,Finnish,Lähd-i-n töi-hin käsilauku-tta-ni,leave-PST-1SG work-ILL  handbag-ABE-POSS.1SG,I left for work without my handbag.,,,,
UT085-1,Udmurt,мон ӧсэтӥ потӥсько,,I’ll go out through the door,Kel'makov 2008,kelmakov_udmurtin_2008,,
UT086-1,Finnish,Kävele-n  talo-lle,walk-1SG house-ALL<br>,I walk towards the house/to the house,,,,
UT087-1,Finnish,Ole-n talo-ssa / talo-lla,be-1SG house-INE / house-ADE,I am in the house.,,,,
UT088-1,Finnish,Tule-n talo-sta,come-1SG house-ELA,I come from (inside of) the house.,,,,
UT089-1,Central_Veps,vanhan kaži-nno,,"to the old cat, by the old cat",Grünthal 2015,grunthal_vepsan_2015,,
UT089-2,Courland_Livonian,pȭrand-õl,,"to the floor, on the floor",,,,
UT090-1a,North Saami,Mun lea-n gávppi-s,1SG be-1SG  groecery_store-LOC,I am at a/the grocery store,,,,
UT090-1b,North Saami,Mun boađá-n gávppi-s,1SG come-1SG grocery_store-LOC,I come from a/the grocery store,,,,
UT090-2,Livvi-Karelian,lattie-l,floor-ADE/ABL,"on the floor, from the floor",,,,
UT091-1a,Finnish,kori-in : kori-ssa : kori-sta,ILL : INE : ELA,into the basket : in the basket : from inside the basket,,,Internal relations
UT091-1b,Finnish,pöydä-lle : pöydä-llä : pöydä-ltä,ALL : ADE : ABL,onto the table : on the table : from top of the table,,,,External relations
UT092-1a,Hungarian,asztal-on,table-SPRESS,on the table,,,,External relations
UT092-1b,Hungarian,ház-ban,house-INE,in the house,,,,Internal relations
UT092-1c,Hungarian,ablak-nál,window-ADE,at the window,,,,Proximity relations
UT093-1a,Estonian,lusika-ga,spoon-COM,with a spoon,,,,instrumental function
UT093-1b,Estonian,lapse-ga,child-COM,with a child’</br>,,,,comitative function
UT093-2,Finnish,Hän kirjoitti kyn-i-ne-en,3SG write.PST.3SG pen-PL-COM-POSS.3,He wrote with a pen.,,,,instrumental function
UT094-1a,Komi-Zyrian,mɑm-ɨd-kɘd,mother-POSS.2SG-COM,with your mother,,,мамыдкöд,comitative
UT094-1b,Komi-Zyrian,pɑɲ-ɘn,spoon-INS,with a spoon,,,паньöн,instrumental
UT095-1a,South Saami,Dïhte sjïdti lohkehtäjjine,3SG become.PST.3SG teacher.ESS,She became a teacher,,,,
UT095-1b,South Saami,Dïhte barka lohkehtäjjine,3SG work.3SG. teacher.ESS,She works as a teacher,,,,
UT095-2a,Finnish,Hän opiskel-i opettaja-ksi,3SG study-PST.3SG teacher-TRA,She studied to become a teacher,,,,
UT095-2b,Finnish,Hän työskentele-e opettaja-na,3SG work-3SG teacher-ESS,She works as a teacher,,,,
UT097-2,Erzya,ɑlɑʃɑ-ʃkɑ,horse-EQU,as big as a horse,"Ajanki & Hamari, to appear",ajanki_and_hamari_nd,алаша-шка,also in Mokša
UT097-3,Central_Veps,mina en nägend minun tytren com-uttu-st neicukast,1SG NEG.1SG see.ACT.PST.PTCP 1SG.POSS daughter.GEN beautiful-EQU.DG-PRT girl.PRT,I didn’t see a girl as beautiful as my daughter.,,,,"Nina Zaitseva & Riho Grünthal, p.c."
UT098-1,Forest Enets,modj  tɔrse  kare-zo-d    tɔz-ta-zʔ,1SG  such  fish-DEST.SG-OBL.SG.2SG bring(pfv)-FUT-1SG.S,I will bring such fish for you.,Khanina & Shluinsky 2014: 1403,khanina_rare_2014[1403],,
UT099-1a,Erzya,kudo : kudo-ń,Nom : Gen,home,Aasmäe 2012,aasmae_2012,,Indefinite inflection
UT099-1b,Erzya,kudoś : kudońt´,Nom : Gen,the home/house,Aasmäe 2012,aasmae_2012,,Definite inflection
UT100-1,Hungarian,Koszos a cipő,dirty.NOM.SG DEF.ART shoe.NOM.SG,The shoes are dirty,Rounds 2013,rounds_2013,,
UT100-2,South Saami,måvhka,trousers.NOM.SG,trousers,,,,
UT100-3,Estonian,Raamat on minu käes,book be.3SG 1SG.GEN hand.INE,I have the book’ (Lit. ‘The book is in my hand’),,,,
UT101-1a,Udmurt,so-len eš-ez,he-GEN friend-3SG,his friend,Edygarova 2009,edygarova_2009,,
UT101-1b,Udmurt,val jir,horse.NOM head.NOM,’horse’s head,Edygarova 2009,edygarova_2009,,
UT101-1c,Udmurt,avtor-leś malpan-z-e vala-mon-ges kar-e,author-ABL idea-3SG-ACC understand-PART-COMP do-PRS/3SG,’it makes the author’s idea more understandable,Edygarova 2009,edygarova_2009,,
UT102-1,Hungarian,Kornél  kalap-ja,Kornél.NOM  hat-3SG,Kornél’s hat,Rounds 2013,rounds_2013,,
UT102-2,Udmurt,val jir,horse.NOM head.NOM,’horse’s head,Edygarova 2009,edygarova_2009,,
UT103-1,Hungarian,almá-m* vs. *almá-i-m,apple-POSS.1SG vs. apple-PL-POSS.1SG,my apple vs. my apples,,,,
UT103-2,North_Mansi,āmp-əm* vs. *āmp-aɣəm* vs. *āmp-anəm,dog-PX.1SG vs. dog-DU-PX.1SG vs. dog-PL.PX.1SG,my dog' vs. 'my two dogs' vs. 'my dogs (more than two),Riese 2001,riese_vogul_2001,,
UT104-1,Forest Enets,baʔa-d nʲe periʔ kɔlta-goo-za,bed-OBL.SG.2SG cover always wash-dur-3SG.O:SG,…she always washes the bed sheets,Khanina & Shluinsky 2017,khanina_and_shluinsky_2017,,"About a daughter in law: she can sew, her house is in order, she cooks, …"
UT105-1,Nganasan,"kou-ðu ŋǝðu-tɨ, ŋǝtu-m-hi͡atɨ",sun-3SGPOSS be.visible-AOR.3SG be.visible-TRL-INFER.3SG,"The sun is visible, it becomes visible",Wagner-Nagy 2019: 174,wagner-nagy_grammar_2018[174],,
UT107-1,Courland_Livonian,"ne ūška-d, kis jāmstabõd",these snake-PL who bite-3PL,these snakes that bite,LELS,viitso_livoki-estiki-tkisonarontoz_2012,,
UT108-1,South Estonian,"kivi man om kistavars´, kiä kivvi .ümbre aas",mill at be.3SG lever who millstone.PRT around whirl.3SG,At the mill there is a lever that makes the millstone whirl,Seto,,,
UT109-1,Estonian,Mida see ka tea-b selle-st,what this also know-3SG this-ELA,What does s/he (lit. this) knows about this,,,,
UT111-1,Komi-Zyrian,zon-jɑs-lɨ,boy-PL-DAT,to the boys,,,зонъяслы,
UT116-1,Finnish,ˈku.kaˑvs. ˈkuk.ka,,who vs. flower,,,,
UT116-2,Estonian,ˈva.ras vs. ˈvar.ras,,thief vs. rod; stick,,,,
UT117-1,Finnish,ˈtu.liˑvs. ˈtuː.li,,fire vs. wind,,,,
UT118-1,Finnish,ˈki.ven vs. ˈki.veːn,stone.GEN.SG vs. stone.ILL.SG,stone,,,,
UT119-1,Estonian,ˈlol.li vs. ˈlolː.li,stupid.GEN.SG vs. stupid.PRT.SG,stupid,,,,
UT120-1,Estonian,ˈsil.ma] vs. ˈsilː.ma,eye.GEN.SG vs. eye.PART.SG,eye,,,,
UT121-1a,Finnish,ˈjuok.se.va,run.ACT.PRS.PTCP,run,,,,
UT121-1b,Finnish,ˈsa:m.me,get.1PL,get,,,,
UT121-2,Voro_South_Estonian,ˈtryːːsʲtʲ.mæ,console.SUP,console,,,trüüstmä,
UT122-1,Finnish,ˈka.na : ˈka.la,,hen : fish,,,,
